home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Santos De Guapiles FC,Limon FC,2000-07-29,1,0,F,costa-rica,Santos De Guapiles FC (Costa Rica),Limon FC (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Seleccion De Osa,Municipal Perez Zeledon,2000-07-30,1,1,F,costa-rica,Seleccion De Osa (Costa Rica),Municipal Perez Zeledon (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
CS Herediano,Santa Barbara,2000-07-30,4,0,F,costa-rica,CS Herediano (Costa Rica),Santa Barbara (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Ld Alajuelense,Asociacion Deportiva Carmelita,2000-07-30,1,2,F,costa-rica,Ld Alajuelense (Costa Rica),Asociacion Deportiva Carmelita (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Puntarenas FC,Deportivo Saprissa,2000-07-30,2,0,F,costa-rica,Puntarenas FC (Costa Rica),Deportivo Saprissa (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Ad San Carlos,Club Sport Cartagines,2000-07-30,1,0,F,costa-rica,Ad San Carlos (Costa Rica),Club Sport Cartagines (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Municipal Perez Zeledon,Ld Alajuelense,2000-08-06,0,1,F,costa-rica,Municipal Perez Zeledon (Costa Rica),Ld Alajuelense (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Santa Barbara,Seleccion De Osa,2000-08-06,0,0,F,costa-rica,Santa Barbara (Costa Rica),Seleccion De Osa (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Limon FC,CS Herediano,2000-08-06,0,1,F,costa-rica,Limon FC (Costa Rica),CS Herediano (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Club Sport Cartagines,Puntarenas FC,2000-08-06,3,0,F,costa-rica,Club Sport Cartagines (Costa Rica),Puntarenas FC (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Asociacion Deportiva Carmelita,Ad San Carlos,2000-08-06,0,0,F,costa-rica,Asociacion Deportiva Carmelita (Costa Rica),Ad San Carlos (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Ld Alajuelense,Puntarenas FC,2000-08-18,1,0,F,costa-rica,Ld Alajuelense (Costa Rica),Puntarenas FC (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Santos De Guapiles FC,Ad San Carlos,2000-08-19,4,0,F,costa-rica,Santos De Guapiles FC (Costa Rica),Ad San Carlos (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
CS Herediano,Asociacion Deportiva Carmelita,2000-08-20,1,1,F,costa-rica,CS Herediano (Costa Rica),Asociacion Deportiva Carmelita (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Seleccion De Osa,Club Sport Cartagines,2000-08-20,2,1,F,costa-rica,Seleccion De Osa (Costa Rica),Club Sport Cartagines (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Santa Barbara,Limon FC,2000-08-20,1,0,F,costa-rica,Santa Barbara (Costa Rica),Limon FC (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Deportivo Saprissa,Municipal Perez Zeledon,2000-08-20,3,4,F,costa-rica,Deportivo Saprissa (Costa Rica),Municipal Perez Zeledon (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Deportivo Saprissa,Santos De Guapiles FC,2000-08-23,2,1,F,costa-rica,Deportivo Saprissa (Costa Rica),Santos De Guapiles FC (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Puntarenas FC,Santos De Guapiles FC,2000-08-27,1,1,F,costa-rica,Puntarenas FC (Costa Rica),Santos De Guapiles FC (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Ad San Carlos,CS Herediano,2000-08-27,3,3,F,costa-rica,Ad San Carlos (Costa Rica),CS Herediano (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Deportivo Saprissa,Santa Barbara,2000-08-27,2,1,F,costa-rica,Deportivo Saprissa (Costa Rica),Santa Barbara (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Club Sport Cartagines,Municipal Perez Zeledon,2000-08-27,1,1,F,costa-rica,Club Sport Cartagines (Costa Rica),Municipal Perez Zeledon (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Asociacion Deportiva Carmelita,Seleccion De Osa,2000-08-27,2,1,F,costa-rica,Asociacion Deportiva Carmelita (Costa Rica),Seleccion De Osa (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Ld Alajuelense,Ad San Carlos,2000-09-08,2,1,F,costa-rica,Ld Alajuelense (Costa Rica),Ad San Carlos (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Santos De Guapiles FC,Club Sport Cartagines,2000-09-09,2,2,F,costa-rica,Santos De Guapiles FC (Costa Rica),Club Sport Cartagines (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
Seleccion De Osa,Limon FC,2000-09-10,5,1,F,costa-rica,Seleccion De Osa (Costa Rica),Limon FC (Costa Rica),costa-rica,costa-rica,CR,CR,North America,North America,North America,national
