home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Africa Sports,Satellite FC,2000-01-30,0,1,F,cote-divoire,Africa Sports (Ivory Coast),Satellite FC (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Stella Club D Adjame Abidjan,Jeunesse Club D Abidjan,2000-01-30,2,0,F,cote-divoire,Stella Club D Adjame Abidjan (Ivory Coast),Jeunesse Club D Abidjan (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Man FC,Co Korhogo,2000-01-30,0,0,F,cote-divoire,Man FC (Ivory Coast),Co Korhogo (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Societe Omnisport De L Armee,Bouake,2000-01-30,4,4,F,cote-divoire,Societe Omnisport De L Armee (Ivory Coast),Bouake (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Asec Mimosas,Toumodi FC,2000-01-30,2,1,F,cote-divoire,Asec Mimosas (Ivory Coast),Toumodi FC (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Union Sportive Des Clubs De Bassam,Sewe Sport De San Pedro,2000-01-30,0,0,F,cote-divoire,Union Sportive Des Clubs De Bassam (Ivory Coast),Sewe Sport De San Pedro (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Sabe Sports De Bouna,Rfc Daoukro,2000-01-30,0,1,F,cote-divoire,Sabe Sports De Bouna (Ivory Coast),Rfc Daoukro (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Bouake,Stade D Abidjan,2000-01-30,2,1,F,cote-divoire,Bouake (Ivory Coast),Stade D Abidjan (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Jeunesse Club D Abidjan,Africa Sports,2000-02-05,0,3,F,cote-divoire,Jeunesse Club D Abidjan (Ivory Coast),Africa Sports (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Satellite FC,Stella Club D Adjame Abidjan,2000-02-05,1,1,F,cote-divoire,Satellite FC (Ivory Coast),Stella Club D Adjame Abidjan (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Societe Omnisport De L Armee,Co Korhogo,2000-02-05,1,2,F,cote-divoire,Societe Omnisport De L Armee (Ivory Coast),Co Korhogo (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Bouake,Man FC,2000-02-05,1,1,F,cote-divoire,Bouake (Ivory Coast),Man FC (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Stade D Abidjan,Asec Mimosas,2000-02-05,2,4,F,cote-divoire,Stade D Abidjan (Ivory Coast),Asec Mimosas (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Sewe Sport De San Pedro,Rfc Daoukro,2000-02-05,1,1,F,cote-divoire,Sewe Sport De San Pedro (Ivory Coast),Rfc Daoukro (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Sabe Sports De Bouna,Union Sportive Des Clubs De Bassam,2000-02-05,0,0,F,cote-divoire,Sabe Sports De Bouna (Ivory Coast),Union Sportive Des Clubs De Bassam (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Toumodi FC,Bouake,2000-02-05,1,0,F,cote-divoire,Toumodi FC (Ivory Coast),Bouake (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Satellite FC,Societe Omnisport De L Armee,2000-02-09,2,2,F,cote-divoire,Satellite FC (Ivory Coast),Societe Omnisport De L Armee (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
Africa Sports,Bouake,2000-02-09,9,0,F,cote-divoire,Africa Sports (Ivory Coast),Bouake (Ivory Coast),cote-divoire,cote-divoire,IVR,IVR,Africa,Africa,Africa,national
