home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ciudad De La Habana,Holguin,2000-10-29,0,1,F,cuba,Ciudad De La Habana (Cuba),Holguin (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Pinar Del Rio,Santiago De Cuba,2000-10-29,1,2,F,cuba,Pinar Del Rio (Cuba),Santiago De Cuba (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Villa Clara,Sancti Spiritus,2000-10-29,3,0,F,cuba,Villa Clara (Cuba),Sancti Spiritus (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Cienfuegos,Ciego De Avila,2000-10-29,0,2,F,cuba,Cienfuegos (Cuba),Ciego De Avila (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Camaguey,Industriales,2000-10-29,0,0,F,cuba,Camaguey (Cuba),Industriales (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Santiago De Cuba,Ciudad De La Habana,2000-11-02,1,1,F,cuba,Santiago De Cuba (Cuba),Ciudad De La Habana (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Industriales,Camaguey,2000-11-02,0,3,F,cuba,Industriales (Cuba),Camaguey (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Pinar Del Rio,Holguin,2000-11-02,1,0,F,cuba,Pinar Del Rio (Cuba),Holguin (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Ciego De Avila,Villa Clara,2000-11-02,0,0,F,cuba,Ciego De Avila (Cuba),Villa Clara (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Cienfuegos,Sancti Spiritus,2000-11-02,1,2,F,cuba,Cienfuegos (Cuba),Sancti Spiritus (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Ciego De Avila,Ciudad De La Habana,2000-11-07,0,1,F,cuba,Ciego De Avila (Cuba),Ciudad De La Habana (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Santiago De Cuba,Camaguey,2000-11-07,1,1,F,cuba,Santiago De Cuba (Cuba),Camaguey (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Pinar Del Rio,Sancti Spiritus,2000-11-07,2,1,F,cuba,Pinar Del Rio (Cuba),Sancti Spiritus (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Cienfuegos,Villa Clara,2000-11-07,1,0,F,cuba,Cienfuegos (Cuba),Villa Clara (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Holguin,Industriales,2000-11-07,1,0,F,cuba,Holguin (Cuba),Industriales (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Ciudad De La Habana,Villa Clara,2000-11-15,1,2,F,cuba,Ciudad De La Habana (Cuba),Villa Clara (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Industriales,Ciego De Avila,2000-11-15,2,0,F,cuba,Industriales (Cuba),Ciego De Avila (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Pinar Del Rio,Cienfuegos,2000-11-19,0,1,F,cuba,Pinar Del Rio (Cuba),Cienfuegos (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Holguin,Santiago De Cuba,2000-11-19,0,2,F,cuba,Holguin (Cuba),Santiago De Cuba (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Santiago De Cuba,Holguin,2000-11-23,0,0,F,cuba,Santiago De Cuba (Cuba),Holguin (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Ciudad De La Habana,Cienfuegos,2000-11-23,1,0,F,cuba,Ciudad De La Habana (Cuba),Cienfuegos (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Pinar Del Rio,Villa Clara,2000-11-23,0,1,F,cuba,Pinar Del Rio (Cuba),Villa Clara (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Camaguey,Ciego De Avila,2000-11-23,0,1,F,cuba,Camaguey (Cuba),Ciego De Avila (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Industriales,Sancti Spiritus,2000-11-23,0,1,F,cuba,Industriales (Cuba),Sancti Spiritus (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Cienfuegos,Industriales,2000-11-29,0,2,F,cuba,Cienfuegos (Cuba),Industriales (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Sancti Spiritus,Holguin,2000-11-29,0,0,F,cuba,Sancti Spiritus (Cuba),Holguin (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Ciudad De La Habana,Pinar Del Rio,2000-11-29,5,0,F,cuba,Ciudad De La Habana (Cuba),Pinar Del Rio (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Ciego De Avila,Santiago De Cuba,2000-11-29,2,1,F,cuba,Ciego De Avila (Cuba),Santiago De Cuba (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Villa Clara,Camaguey,2000-11-29,1,0,F,cuba,Villa Clara (Cuba),Camaguey (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Pinar Del Rio,Ciudad De La Habana,2000-12-02,0,5,F,cuba,Pinar Del Rio (Cuba),Ciudad De La Habana (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Villa Clara,Industriales,2000-12-02,1,0,F,cuba,Villa Clara (Cuba),Industriales (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Sancti Spiritus,Santiago De Cuba,2000-12-02,1,2,F,cuba,Sancti Spiritus (Cuba),Santiago De Cuba (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Holguin,Villa Clara,2000-12-07,0,2,F,cuba,Holguin (Cuba),Villa Clara (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
Santiago De Cuba,Cienfuegos,2000-12-07,0,0,F,cuba,Santiago De Cuba (Cuba),Cienfuegos (Cuba),cuba,cuba,CU,CU,North America,North America,North America,national
