home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Rksv Centro Dominguito,SV Hubentud Fortuna,2007-11-16,1,2,F,curacao,Rksv Centro Dominguito (Curacao),SV Hubentud Fortuna (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Sport Unie Brion Trappers,Crksv Jong Colombia,2007-11-19,3,0,F,curacao,Sport Unie Brion Trappers (Curacao),Crksv Jong Colombia (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Crksv Jong Holland,SV Centro Social Deportivo Barber,2007-11-20,0,1,F,curacao,Crksv Jong Holland (Curacao),SV Centro Social Deportivo Barber (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Victory Boys,Rkv FC Sithoc,2007-11-21,3,2,F,curacao,SV Victory Boys (Curacao),Rkv FC Sithoc (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Undeba Bandabou,Vesta Santa Maria,2007-11-26,0,1,F,curacao,Undeba Bandabou (Curacao),Vesta Santa Maria (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Rkv FC Sithoc,Crksv Jong Holland,2007-11-28,3,1,F,curacao,Rkv FC Sithoc (Curacao),Crksv Jong Holland (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Hubentud Fortuna,Undeba Bandabou,2007-11-30,1,0,F,curacao,SV Hubentud Fortuna (Curacao),Undeba Bandabou (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Vesta Santa Maria,SV Victory Boys,2007-12-01,2,3,F,curacao,Vesta Santa Maria (Curacao),SV Victory Boys (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Centro Social Deportivo Barber,Sport Unie Brion Trappers,2007-12-02,3,0,F,curacao,SV Centro Social Deportivo Barber (Curacao),Sport Unie Brion Trappers (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Crksv Jong Colombia,Rksv Centro Dominguito,2007-12-02,0,3,F,curacao,Crksv Jong Colombia (Curacao),Rksv Centro Dominguito (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Crksv Jong Holland,Vesta Santa Maria,2007-12-04,1,3,F,curacao,Crksv Jong Holland (Curacao),Vesta Santa Maria (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Sport Unie Brion Trappers,Rkv FC Sithoc,2007-12-05,0,2,F,curacao,Sport Unie Brion Trappers (Curacao),Rkv FC Sithoc (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Victory Boys,SV Hubentud Fortuna,2007-12-07,0,2,F,curacao,SV Victory Boys (Curacao),SV Hubentud Fortuna (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Undeba Bandabou,Crksv Jong Colombia,2007-12-08,6,1,F,curacao,Undeba Bandabou (Curacao),Crksv Jong Colombia (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Rksv Centro Dominguito,SV Centro Social Deportivo Barber,2007-12-09,0,2,F,curacao,Rksv Centro Dominguito (Curacao),SV Centro Social Deportivo Barber (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Rkv FC Sithoc,SV Hubentud Fortuna,2007-12-11,1,2,F,curacao,Rkv FC Sithoc (Curacao),SV Hubentud Fortuna (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Vesta Santa Maria,Crksv Jong Colombia,2007-12-13,3,3,F,curacao,Vesta Santa Maria (Curacao),Crksv Jong Colombia (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Rksv Centro Dominguito,Crksv Jong Holland,2007-12-14,2,1,F,curacao,Rksv Centro Dominguito (Curacao),Crksv Jong Holland (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Centro Social Deportivo Barber,SV Victory Boys,2007-12-15,1,0,F,curacao,SV Centro Social Deportivo Barber (Curacao),SV Victory Boys (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Sport Unie Brion Trappers,Undeba Bandabou,2007-12-16,1,2,F,curacao,Sport Unie Brion Trappers (Curacao),Undeba Bandabou (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Hubentud Fortuna,Vesta Santa Maria,2007-12-17,1,1,F,curacao,SV Hubentud Fortuna (Curacao),Vesta Santa Maria (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Rkv FC Sithoc,SV Centro Social Deportivo Barber,2007-12-18,0,1,F,curacao,Rkv FC Sithoc (Curacao),SV Centro Social Deportivo Barber (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Victory Boys,Sport Unie Brion Trappers,2007-12-19,0,0,F,curacao,SV Victory Boys (Curacao),Sport Unie Brion Trappers (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Undeba Bandabou,Rksv Centro Dominguito,2007-12-21,1,0,F,curacao,Undeba Bandabou (Curacao),Rksv Centro Dominguito (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Crksv Jong Colombia,Crksv Jong Holland,2007-12-23,1,3,F,curacao,Crksv Jong Colombia (Curacao),Crksv Jong Holland (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Rksv Centro Dominguito,Rkv FC Sithoc,2008-01-08,2,3,F,curacao,Rksv Centro Dominguito (Curacao),Rkv FC Sithoc (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Victory Boys,Crksv Jong Colombia,2008-01-09,4,0,F,curacao,SV Victory Boys (Curacao),Crksv Jong Colombia (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Crksv Jong Holland,Undeba Bandabou,2008-01-10,2,0,F,curacao,Crksv Jong Holland (Curacao),Undeba Bandabou (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Sport Unie Brion Trappers,SV Hubentud Fortuna,2008-01-11,3,1,F,curacao,Sport Unie Brion Trappers (Curacao),SV Hubentud Fortuna (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Centro Social Deportivo Barber,Vesta Santa Maria,2008-01-12,1,1,F,curacao,SV Centro Social Deportivo Barber (Curacao),Vesta Santa Maria (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Undeba Bandabou,SV Victory Boys,2008-01-22,2,0,F,curacao,Undeba Bandabou (Curacao),SV Victory Boys (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Vesta Santa Maria,Rksv Centro Dominguito,2008-01-23,3,1,F,curacao,Vesta Santa Maria (Curacao),Rksv Centro Dominguito (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
SV Hubentud Fortuna,SV Centro Social Deportivo Barber,2008-01-24,1,0,F,curacao,SV Hubentud Fortuna (Curacao),SV Centro Social Deportivo Barber (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
Sport Unie Brion Trappers,Crksv Jong Holland,2008-01-26,0,2,F,curacao,Sport Unie Brion Trappers (Curacao),Crksv Jong Holland (Curacao),curacao,curacao,CW,CW,North America,North America,North America,national
