home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Enosis Neon Paralimni,Apollon Limassol,1996-09-21,1,0,F,cyprus,Enosis Neon Paralimni (Cyprus),Apollon Limassol (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Alki Larnaca,Aek Larnaca,1996-09-21,0,2,F,cyprus,Alki Larnaca (Cyprus),Aek Larnaca (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Anorthosis Famagusta FC,Olympiakos Nikosia,1996-09-21,4,0,F,cyprus,Anorthosis Famagusta FC (Cyprus),Olympiakos Nikosia (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Omonia Nikosia,Nea Salamina Famagusta,1996-09-21,0,2,F,cyprus,Omonia Nikosia (Cyprus),Nea Salamina Famagusta (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Ethnikos Achna,Apep Pitsilia,1996-09-21,1,0,F,cyprus,Ethnikos Achna (Cyprus),Apep Pitsilia (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Apoel Nikosia,Apop Paphos,1996-09-21,5,4,F,cyprus,Apoel Nikosia (Cyprus),Apop Paphos (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Aris Limassol FC,Anagenisis,1996-09-21,3,1,F,cyprus,Aris Limassol FC (Cyprus),Anagenisis (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Apollon Limassol,Apoel Nikosia,1996-09-28,1,0,F,cyprus,Apollon Limassol (Cyprus),Apoel Nikosia (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Aek Larnaca,Omonia Nikosia,1996-09-28,3,2,F,cyprus,Aek Larnaca (Cyprus),Omonia Nikosia (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Anagenisis,Anorthosis Famagusta FC,1996-09-28,1,4,F,cyprus,Anagenisis (Cyprus),Anorthosis Famagusta FC (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Nea Salamina Famagusta,Enosis Neon Paralimni,1996-09-28,2,2,F,cyprus,Nea Salamina Famagusta (Cyprus),Enosis Neon Paralimni (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Olympiakos Nikosia,Alki Larnaca,1996-09-28,1,0,F,cyprus,Olympiakos Nikosia (Cyprus),Alki Larnaca (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Ethnikos Achna,Aris Limassol FC,1996-09-28,1,0,F,cyprus,Ethnikos Achna (Cyprus),Aris Limassol FC (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Apep Pitsilia,Apop Paphos,1996-09-28,2,3,F,cyprus,Apep Pitsilia (Cyprus),Apop Paphos (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Apop Paphos,Apollon Limassol,1996-10-05,0,2,F,cyprus,Apop Paphos (Cyprus),Apollon Limassol (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Anorthosis Famagusta FC,Ethnikos Achna,1996-10-05,1,0,F,cyprus,Anorthosis Famagusta FC (Cyprus),Ethnikos Achna (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
Enosis Neon Paralimni,Aek Larnaca,1996-10-05,1,2,F,cyprus,Enosis Neon Paralimni (Cyprus),Aek Larnaca (Cyprus),cyprus,cyprus,CY,CY,Europe,Europe,Europe,national
