home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Banik Ostrava,FC Hradec Kralove,1993-08-14,3,0,F,czech-republic,Banik Ostrava (Czech Republic),FC Hradec Kralove (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
Slovan Liberec,Viktoria Zizkov,1993-08-14,0,0,F,czech-republic,Slovan Liberec (Czech Republic),Viktoria Zizkov (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
Sparta Praha,FC Zbrojovka Brno,1993-08-14,5,1,F,czech-republic,Sparta Praha (Czech Republic),FC Zbrojovka Brno (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
Viktoria Plzen,Slavia Praha,1993-08-14,0,2,F,czech-republic,Viktoria Plzen (Czech Republic),Slavia Praha (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
Ceske Budjovice,FC Vitkovice,1993-08-15,1,0,F,czech-republic,Ceske Budjovice (Czech Republic),FC Vitkovice (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
Bohemians 1905,Sigma Olomouc,1993-08-15,2,1,F,czech-republic,Bohemians 1905 (Czech Republic),Sigma Olomouc (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
1 FK Drnovice,Hvzda Cheb,1993-08-15,2,1,F,czech-republic,1 FK Drnovice (Czech Republic),Hvzda Cheb (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
FC Fastav Zlin,1 FK Pribram,1993-08-15,3,0,F,czech-republic,FC Fastav Zlin (Czech Republic),1 FK Pribram (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
FC Zbrojovka Brno,1 FK Drnovice,1993-08-20,1,2,F,czech-republic,FC Zbrojovka Brno (Czech Republic),1 FK Drnovice (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
1 FK Pribram,Bohemians 1905,1993-08-21,1,2,F,czech-republic,1 FK Pribram (Czech Republic),Bohemians 1905 (Czech Republic),czech-republic,czech-republic,CZ,CZ,Europe,Europe,Europe,national
