home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Fortuna Babelsberg,Dresdner SC,1949-09-03,2,12,F,ddr,Fortuna Babelsberg (Germany),Dresdner SC (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
Hallescher FC,Glueckauf Brieske Senftenberg,1949-09-04,3,4,F,ddr,Hallescher FC (Germany),Glueckauf Brieske Senftenberg (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
Bsg Wismut Gera,FC Mecklenburg Schwerin,1949-09-04,5,1,F,ddr,Bsg Wismut Gera (Germany),FC Mecklenburg Schwerin (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
Sg Sachsen Leipzig,SV Dessau 05,1949-09-04,1,2,F,ddr,Sg Sachsen Leipzig (Germany),SV Dessau 05 (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
FC Anker Wismar,Meeraner SV,1949-09-04,1,1,F,ddr,FC Anker Wismar (Germany),Meeraner SV (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
Motor Altenburg,Rot Weiss Erfurt,1949-09-04,1,1,F,ddr,Motor Altenburg (Germany),Rot Weiss Erfurt (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
Glueckauf Brieske Senftenberg,Bsg Wismut Gera,1949-09-10,2,2,F,ddr,Glueckauf Brieske Senftenberg (Germany),Bsg Wismut Gera (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
Dresdner SC,Motor Altenburg,1949-09-10,4,0,F,ddr,Dresdner SC (Germany),Motor Altenburg (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
SV Dessau 05,FC Anker Wismar,1949-09-10,3,1,F,ddr,SV Dessau 05 (Germany),FC Anker Wismar (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
Meeraner SV,Hallescher FC,1949-09-10,2,1,F,ddr,Meeraner SV (Germany),Hallescher FC (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
1 FC Lok Stendal,Sg Sachsen Leipzig,1949-09-10,2,2,F,ddr,1 FC Lok Stendal (Germany),Sg Sachsen Leipzig (Germany),germany,germany,DE,DE,Europe,Europe,Europe,national
