home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Bk Frem Kobenhavn,B 1903 Kobenhavn,1912-09-08,1,3,F,denmark,Bk Frem Kobenhavn (Denmark),B 1903 Kobenhavn (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
Akademisk Bk,KB Koebenhavn,1912-09-08,2,5,F,denmark,Akademisk Bk (Denmark),KB Koebenhavn (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
B 93 Koebenhavn,Velo,1912-09-15,4,0,F,denmark,B 93 Koebenhavn (Denmark),Velo (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
Bk Frem Kobenhavn,Akademisk Bk,1912-09-29,4,2,F,denmark,Bk Frem Kobenhavn (Denmark),Akademisk Bk (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
KB Koebenhavn,Velo,1912-09-29,8,1,F,denmark,KB Koebenhavn (Denmark),Velo (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
B 1903 Kobenhavn,B 93 Koebenhavn,1912-10-13,0,8,F,denmark,B 1903 Kobenhavn (Denmark),B 93 Koebenhavn (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
B 93 Koebenhavn,KB Koebenhavn,1912-10-20,2,4,F,denmark,B 93 Koebenhavn (Denmark),KB Koebenhavn (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
Bk Frem Kobenhavn,Velo,1912-10-20,1,1,F,denmark,Bk Frem Kobenhavn (Denmark),Velo (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
Akademisk Bk,B 1903 Kobenhavn,1912-11-03,5,1,F,denmark,Akademisk Bk (Denmark),B 1903 Kobenhavn (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
KB Koebenhavn,Bk Frem Kobenhavn,1912-11-03,1,0,F,denmark,KB Koebenhavn (Denmark),Bk Frem Kobenhavn (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
B 93 Koebenhavn,Bk Frem Kobenhavn,1912-11-17,2,1,F,denmark,B 93 Koebenhavn (Denmark),Bk Frem Kobenhavn (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
Akademisk Bk,Velo,1912-11-17,6,3,F,denmark,Akademisk Bk (Denmark),Velo (Denmark),denmark,denmark,DK,DK,Europe,Europe,Europe,national
