home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
As Tadjourah,Hopital Balbala  Fukuzawa,2010-11-05,4,0,F,djibouti,As Tadjourah (Djibouti),Hopital Balbala  Fukuzawa (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Gendarmerie Nationale,As Du Chemin De Fer Djibouto Ethiopien  Colas,2010-11-05,1,1,F,djibouti,Gendarmerie Nationale (Djibouti),As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Guelleh Batal  Garde Republicaine,Onead  G4 Security,2010-11-05,4,0,F,djibouti,Guelleh Batal  Garde Republicaine (Djibouti),Onead  G4 Security (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
FC Societe Immobiliere,Association Sportive Port,2010-11-08,0,4,F,djibouti,FC Societe Immobiliere (Djibouti),Association Sportive Port (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Ali Sabieh Djibouti Telecom,FC Kartileh,2010-11-08,8,1,F,djibouti,As Ali Sabieh Djibouti Telecom (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Association Sportive Port,As Ali Sabieh Djibouti Telecom,2010-11-12,3,0,F,djibouti,Association Sportive Port (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Guelleh Batal  Garde Republicaine,FC Societe Immobiliere,2010-11-12,0,0,F,djibouti,Guelleh Batal  Garde Republicaine (Djibouti),FC Societe Immobiliere (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Onead  G4 Security,FC Kartileh,2010-11-12,3,2,F,djibouti,Onead  G4 Security (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,Gendarmerie Nationale,2010-11-15,0,1,F,djibouti,As Tadjourah (Djibouti),Gendarmerie Nationale (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,As Du Chemin De Fer Djibouto Ethiopien  Colas,2010-11-15,1,1,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,As Du Chemin De Fer Djibouto Ethiopien  Colas,2010-11-19,3,1,F,djibouti,As Tadjourah (Djibouti),As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Onead  G4 Security,As Ali Sabieh Djibouti Telecom,2010-11-19,1,2,F,djibouti,Onead  G4 Security (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Gendarmerie Nationale,FC Societe Immobiliere,2010-11-19,0,2,F,djibouti,Gendarmerie Nationale (Djibouti),FC Societe Immobiliere (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Guelleh Batal  Garde Republicaine,FC Kartileh,2010-11-22,8,0,F,djibouti,Guelleh Batal  Garde Republicaine (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,Association Sportive Port,2010-11-22,0,2,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),Association Sportive Port (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,As Ali Sabieh Djibouti Telecom,2010-11-26,1,2,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,Guelleh Batal  Garde Republicaine,2010-11-26,1,3,F,djibouti,As Tadjourah (Djibouti),Guelleh Batal  Garde Republicaine (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Gendarmerie Nationale,Association Sportive Port,2010-11-26,0,3,F,djibouti,Gendarmerie Nationale (Djibouti),Association Sportive Port (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Onead  G4 Security,FC Societe Immobiliere,2010-11-29,2,2,F,djibouti,Onead  G4 Security (Djibouti),FC Societe Immobiliere (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Du Chemin De Fer Djibouto Ethiopien  Colas,FC Kartileh,2010-11-29,3,0,F,djibouti,As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Du Chemin De Fer Djibouto Ethiopien  Colas,Onead  G4 Security,2010-12-03,2,3,F,djibouti,As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),Onead  G4 Security (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
FC Societe Immobiliere,As Ali Sabieh Djibouti Telecom,2010-12-03,0,4,F,djibouti,FC Societe Immobiliere (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,FC Kartileh,2010-12-03,3,3,F,djibouti,As Tadjourah (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,Gendarmerie Nationale,2010-12-06,1,0,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),Gendarmerie Nationale (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Guelleh Batal  Garde Republicaine,Association Sportive Port,2010-12-06,1,2,F,djibouti,Guelleh Batal  Garde Republicaine (Djibouti),Association Sportive Port (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Association Sportive Port,FC Kartileh,2010-12-10,5,1,F,djibouti,Association Sportive Port (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Du Chemin De Fer Djibouto Ethiopien  Colas,As Ali Sabieh Djibouti Telecom,2010-12-10,1,2,F,djibouti,As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,Guelleh Batal  Garde Republicaine,2010-12-10,2,3,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),Guelleh Batal  Garde Republicaine (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Gendarmerie Nationale,Onead  G4 Security,2010-12-13,2,1,F,djibouti,Gendarmerie Nationale (Djibouti),Onead  G4 Security (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,FC Societe Immobiliere,2010-12-13,0,3,F,djibouti,As Tadjourah (Djibouti),FC Societe Immobiliere (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
FC Societe Immobiliere,FC Kartileh,2010-12-17,2,1,F,djibouti,FC Societe Immobiliere (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,Association Sportive Port,2010-12-17,2,1,F,djibouti,As Tadjourah (Djibouti),Association Sportive Port (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Gendarmerie Nationale,As Ali Sabieh Djibouti Telecom,2010-12-17,1,8,F,djibouti,Gendarmerie Nationale (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Du Chemin De Fer Djibouto Ethiopien  Colas,Guelleh Batal  Garde Republicaine,2010-12-20,0,4,F,djibouti,As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),Guelleh Batal  Garde Republicaine (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,Onead  G4 Security,2010-12-20,1,1,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),Onead  G4 Security (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Du Chemin De Fer Djibouto Ethiopien  Colas,FC Societe Immobiliere,2010-12-24,2,0,F,djibouti,As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),FC Societe Immobiliere (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,FC Kartileh,2010-12-24,3,1,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Gendarmerie Nationale,Guelleh Batal  Garde Republicaine,2010-12-24,0,2,F,djibouti,Gendarmerie Nationale (Djibouti),Guelleh Batal  Garde Republicaine (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Onead  G4 Security,Association Sportive Port,2010-12-27,1,3,F,djibouti,Onead  G4 Security (Djibouti),Association Sportive Port (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,As Ali Sabieh Djibouti Telecom,2010-12-27,0,0,F,djibouti,As Tadjourah (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Gendarmerie Nationale,FC Kartileh,2010-12-31,6,0,F,djibouti,Gendarmerie Nationale (Djibouti),FC Kartileh (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,FC Societe Immobiliere,2010-12-31,1,0,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),FC Societe Immobiliere (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Tadjourah,Onead  G4 Security,2010-12-31,3,1,F,djibouti,As Tadjourah (Djibouti),Onead  G4 Security (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Guelleh Batal  Garde Republicaine,As Ali Sabieh Djibouti Telecom,2011-01-03,0,1,F,djibouti,Guelleh Batal  Garde Republicaine (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Du Chemin De Fer Djibouto Ethiopien  Colas,Association Sportive Port,2011-01-03,1,3,F,djibouti,As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),Association Sportive Port (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
FC Kartileh,As Ali Sabieh Djibouti Telecom,2011-01-14,1,5,F,djibouti,FC Kartileh (Djibouti),As Ali Sabieh Djibouti Telecom (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Association Sportive Port,FC Societe Immobiliere,2011-01-14,1,0,F,djibouti,Association Sportive Port (Djibouti),FC Societe Immobiliere (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
Hopital Balbala  Fukuzawa,As Tadjourah,2011-01-14,1,4,F,djibouti,Hopital Balbala  Fukuzawa (Djibouti),As Tadjourah (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
As Du Chemin De Fer Djibouto Ethiopien  Colas,Gendarmerie Nationale,2011-01-17,0,0,F,djibouti,As Du Chemin De Fer Djibouto Ethiopien  Colas (Djibouti),Gendarmerie Nationale (Djibouti),djibouti,djibouti,DJ,DJ,Africa,Africa,Africa,national
