home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Harlem Bombers,Northern Bombers,2012-08-26,0,1,F,dominica,Harlem Bombers (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Wacky Rollers,Sam Martin Pointe Michel,2012-08-26,1,2,F,dominica,Wacky Rollers (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Aicons,2012-08-26,5,2,F,dominica,Sagicor South East United (Dominica),Aicons (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Centre Bath Estate,2012-09-01,3,5,F,dominica,Grand Bazaar Dublanc (Dominica),Centre Bath Estate (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Wacky Rollers,Aicons,2012-09-02,1,1,F,dominica,Wacky Rollers (Dominica),Aicons (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Ric Kensbro,Sam Martin Pointe Michel,2012-09-02,0,3,F,dominica,Ric Kensbro (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Northern Bombers,2012-09-02,2,1,F,dominica,Sagicor South East United (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Wacky Rollers,2012-09-08,2,1,F,dominica,Harlem Bombers (Dominica),Wacky Rollers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Northern Bombers,Sam Martin Pointe Michel,2012-09-09,1,1,F,dominica,Northern Bombers (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Aicons,2012-09-09,3,1,F,dominica,Centre Bath Estate (Dominica),Aicons (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Ric Kensbro,2012-09-09,4,2,F,dominica,Grand Bazaar Dublanc (Dominica),Ric Kensbro (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Northern Bombers,2012-09-30,3,1,F,dominica,Centre Bath Estate (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Aicons,Ric Kensbro,2012-09-30,0,7,F,dominica,Aicons (Dominica),Ric Kensbro (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Aicons,Sam Martin Pointe Michel,2012-10-07,5,2,F,dominica,Aicons (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Ric Kensbro,Harlem Bombers,2012-10-07,1,1,F,dominica,Ric Kensbro (Dominica),Harlem Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Northern Bombers,Grand Bazaar Dublanc,2012-10-07,1,2,F,dominica,Northern Bombers (Dominica),Grand Bazaar Dublanc (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sam Martin Pointe Michel,Harlem Bombers,2012-10-14,5,2,F,dominica,Sam Martin Pointe Michel (Dominica),Harlem Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Ric Kensbro,Northern Bombers,2012-10-20,3,4,F,dominica,Ric Kensbro (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Grand Bazaar Dublanc,2012-10-20,5,0,F,dominica,Harlem Bombers (Dominica),Grand Bazaar Dublanc (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Sam Martin Pointe Michel,2012-10-21,3,0,F,dominica,Sagicor South East United (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Wacky Rollers,2012-10-21,3,0,F,dominica,Centre Bath Estate (Dominica),Wacky Rollers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Aicons,2012-11-10,0,4,F,dominica,Harlem Bombers (Dominica),Aicons (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Ric Kensbro,Centre Bath Estate,2012-11-11,0,1,F,dominica,Ric Kensbro (Dominica),Centre Bath Estate (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Grand Bazaar Dublanc,2012-11-11,2,1,F,dominica,Sagicor South East United (Dominica),Grand Bazaar Dublanc (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Aicons,2012-11-18,1,1,F,dominica,Grand Bazaar Dublanc (Dominica),Aicons (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Wacky Rollers,Northern Bombers,2012-11-18,1,1,F,dominica,Wacky Rollers (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Ric Kensbro,2012-11-18,0,1,F,dominica,Sagicor South East United (Dominica),Ric Kensbro (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Sam Martin Pointe Michel,2012-11-25,5,1,F,dominica,Centre Bath Estate (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Sagicor South East United,2012-11-25,2,3,F,dominica,Harlem Bombers (Dominica),Sagicor South East United (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Wacky Rollers,2012-11-25,1,1,F,dominica,Grand Bazaar Dublanc (Dominica),Wacky Rollers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Centre Bath Estate,2012-12-02,2,0,F,dominica,Harlem Bombers (Dominica),Centre Bath Estate (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Aicons,Northern Bombers,2012-12-02,4,2,F,dominica,Aicons (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Wacky Rollers,2012-12-02,3,3,F,dominica,Sagicor South East United (Dominica),Wacky Rollers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Sagicor South East United,2012-12-09,2,0,F,dominica,Centre Bath Estate (Dominica),Sagicor South East United (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Sam Martin Pointe Michel,2012-12-09,3,0,F,dominica,Grand Bazaar Dublanc (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Ric Kensbro,Wacky Rollers,2012-12-16,1,1,F,dominica,Ric Kensbro (Dominica),Wacky Rollers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Aicons,2013-01-05,3,2,F,dominica,Sagicor South East United (Dominica),Aicons (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Sam Martin Pointe Michel,2013-01-05,14,1,F,dominica,Centre Bath Estate (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Northern Bombers,2013-01-06,4,0,F,dominica,Harlem Bombers (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Ric Kensbro,2013-01-10,4,2,F,dominica,Grand Bazaar Dublanc (Dominica),Ric Kensbro (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Wacky Rollers,2013-01-12,3,3,F,dominica,Harlem Bombers (Dominica),Wacky Rollers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Aicons,Centre Bath Estate,2013-01-12,2,1,F,dominica,Aicons (Dominica),Centre Bath Estate (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sam Martin Pointe Michel,Ric Kensbro,2013-01-13,3,2,F,dominica,Sam Martin Pointe Michel (Dominica),Ric Kensbro (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Northern Bombers,2013-01-16,2,0,F,dominica,Sagicor South East United (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Sagicor South East United,2013-01-20,2,0,F,dominica,Harlem Bombers (Dominica),Sagicor South East United (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Ric Kensbro,2013-01-20,3,2,F,dominica,Centre Bath Estate (Dominica),Ric Kensbro (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Sam Martin Pointe Michel,2013-01-23,3,2,F,dominica,Grand Bazaar Dublanc (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Centre Bath Estate,2013-01-26,0,2,F,dominica,Harlem Bombers (Dominica),Centre Bath Estate (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Aicons,2013-01-26,4,1,F,dominica,Grand Bazaar Dublanc (Dominica),Aicons (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Aicons,Sam Martin Pointe Michel,2013-02-02,3,2,F,dominica,Aicons (Dominica),Sam Martin Pointe Michel (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Ric Kensbro,Northern Bombers,2013-02-02,1,1,F,dominica,Ric Kensbro (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Grand Bazaar Dublanc,Wacky Rollers,2013-02-03,2,2,F,dominica,Grand Bazaar Dublanc (Dominica),Wacky Rollers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Sagicor South East United,2013-02-03,3,0,F,dominica,Centre Bath Estate (Dominica),Sagicor South East United (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Sagicor South East United,Grand Bazaar Dublanc,2013-02-16,1,2,F,dominica,Sagicor South East United (Dominica),Grand Bazaar Dublanc (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Harlem Bombers,Ric Kensbro,2013-02-16,2,1,F,dominica,Harlem Bombers (Dominica),Ric Kensbro (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
Centre Bath Estate,Northern Bombers,2013-02-17,0,1,F,dominica,Centre Bath Estate (Dominica),Northern Bombers (Dominica),dominica,dominica,DM,DM,North America,North America,North America,national
