home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ldu Portoviejo,CA Green Cross,1995-02-25,1,2,F,ecuador,Ldu Portoviejo (Ecuador),CA Green Cross (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Sd Aucas,Club 9 De Octubre,1995-02-26,3,0,F,ecuador,Sd Aucas (Ecuador),Club 9 De Octubre (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Cd Olmedo,Espoli,1995-02-26,0,1,F,ecuador,Cd Olmedo (Ecuador),Espoli (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Quito,Barcelona SC,1995-02-26,0,4,F,ecuador,Ldu Quito (Ecuador),Barcelona SC (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Delfin,Ldu Quito,1995-02-26,1,4,F,ecuador,Delfin (Ecuador),Ldu Quito (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
CS Emelec,El Nacional,1995-02-26,1,0,F,ecuador,CS Emelec (Ecuador),El Nacional (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
El Nacional,Ldu Portoviejo,1995-03-01,2,0,F,ecuador,El Nacional (Ecuador),Ldu Portoviejo (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
CA Green Cross,Sd Aucas,1995-03-01,2,1,F,ecuador,CA Green Cross (Ecuador),Sd Aucas (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Espoli,Delfin,1995-03-01,4,1,F,ecuador,Espoli (Ecuador),Delfin (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Quito,CS Emelec,1995-03-01,5,1,F,ecuador,Ldu Quito (Ecuador),CS Emelec (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Club 9 De Octubre,Ldu Quito,1995-03-01,0,1,F,ecuador,Club 9 De Octubre (Ecuador),Ldu Quito (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Barcelona SC,Cd Olmedo,1995-03-01,3,0,F,ecuador,Barcelona SC (Ecuador),Cd Olmedo (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Quito,El Nacional,1995-03-04,2,1,F,ecuador,Ldu Quito (Ecuador),El Nacional (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Delfin,Barcelona SC,1995-03-05,1,4,F,ecuador,Delfin (Ecuador),Barcelona SC (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Portoviejo,Club 9 De Octubre,1995-03-05,3,0,F,ecuador,Ldu Portoviejo (Ecuador),Club 9 De Octubre (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
CS Emelec,CA Green Cross,1995-03-05,0,0,F,ecuador,CS Emelec (Ecuador),CA Green Cross (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Sd Aucas,Espoli,1995-03-05,1,2,F,ecuador,Sd Aucas (Ecuador),Espoli (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Cd Olmedo,Ldu Quito,1995-03-05,1,0,F,ecuador,Cd Olmedo (Ecuador),Ldu Quito (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Quito,Sd Aucas,1995-03-11,1,1,F,ecuador,Ldu Quito (Ecuador),Sd Aucas (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Espoli,CS Emelec,1995-03-12,1,3,F,ecuador,Espoli (Ecuador),CS Emelec (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
El Nacional,Cd Olmedo,1995-03-12,2,2,F,ecuador,El Nacional (Ecuador),Cd Olmedo (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
CA Green Cross,Ldu Quito,1995-03-12,3,0,F,ecuador,CA Green Cross (Ecuador),Ldu Quito (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Club 9 De Octubre,Delfin,1995-03-12,4,1,F,ecuador,Club 9 De Octubre (Ecuador),Delfin (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Barcelona SC,Ldu Portoviejo,1995-03-12,1,1,F,ecuador,Barcelona SC (Ecuador),Ldu Portoviejo (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
CS Emelec,Ldu Quito,1995-03-18,3,0,F,ecuador,CS Emelec (Ecuador),Ldu Quito (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Portoviejo,Ldu Quito,1995-03-18,1,1,F,ecuador,Ldu Portoviejo (Ecuador),Ldu Quito (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Sd Aucas,Barcelona SC,1995-03-18,1,0,F,ecuador,Sd Aucas (Ecuador),Barcelona SC (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Espoli,El Nacional,1995-03-19,1,0,F,ecuador,Espoli (Ecuador),El Nacional (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Cd Olmedo,Club 9 De Octubre,1995-03-19,3,1,F,ecuador,Cd Olmedo (Ecuador),Club 9 De Octubre (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Delfin,CA Green Cross,1995-03-19,0,2,F,ecuador,Delfin (Ecuador),CA Green Cross (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Barcelona SC,CS Emelec,1995-03-24,1,1,F,ecuador,Barcelona SC (Ecuador),CS Emelec (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Quito,Delfin,1995-03-25,8,0,F,ecuador,Ldu Quito (Ecuador),Delfin (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Sd Aucas,Ldu Portoviejo,1995-03-26,2,0,F,ecuador,Sd Aucas (Ecuador),Ldu Portoviejo (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
Ldu Quito,El Nacional,1995-03-26,1,2,F,ecuador,Ldu Quito (Ecuador),El Nacional (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
CA Green Cross,Cd Olmedo,1995-03-26,4,1,F,ecuador,CA Green Cross (Ecuador),Cd Olmedo (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,national
