home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Suez Cement,Goldi SC,1999-08-27,1,0,F,egypt,Suez Cement (Egypt),Goldi SC (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Zamalek,Al Mokawloon,1999-08-27,0,0,F,egypt,Zamalek (Egypt),Al Mokawloon (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
El Mansura,Al Masry Club,1999-08-27,0,2,F,egypt,El Mansura (Egypt),Al Masry Club (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
El Koroum,Ismaily,1999-08-28,0,1,F,egypt,El Koroum (Egypt),Ismaily (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Qanah,Ittihad El Iskandary,1999-08-28,1,0,F,egypt,Al Qanah (Egypt),Ittihad El Iskandary (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Aluminium Naq Hammadi,El Sharqeya,1999-08-28,0,1,F,egypt,Aluminium Naq Hammadi (Egypt),El Sharqeya (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Dina Farms FC,Al Ahly,1999-08-29,0,3,F,egypt,Dina Farms FC (Egypt),Al Ahly (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
El Sharqeya,El Mansura,1999-09-03,1,3,F,egypt,El Sharqeya (Egypt),El Mansura (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Goldi SC,El Koroum,1999-09-03,3,3,F,egypt,Goldi SC (Egypt),El Koroum (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Mokawloon,Dina Farms FC,1999-09-04,1,1,F,egypt,Al Mokawloon (Egypt),Dina Farms FC (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Ittihad El Iskandary,Aluminium Naq Hammadi,1999-09-05,2,0,F,egypt,Ittihad El Iskandary (Egypt),Aluminium Naq Hammadi (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Ahly,Al Qanah,1999-09-07,2,0,F,egypt,Al Ahly (Egypt),Al Qanah (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Zamalek,Goldi SC,1999-09-10,1,1,F,egypt,Zamalek (Egypt),Goldi SC (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
El Mansura,Ittihad El Iskandary,1999-09-10,0,1,F,egypt,El Mansura (Egypt),Ittihad El Iskandary (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
El Koroum,Suez Cement,1999-09-11,2,0,F,egypt,El Koroum (Egypt),Suez Cement (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Dina Farms FC,Ismaily,1999-09-11,0,0,F,egypt,Dina Farms FC (Egypt),Ismaily (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Aluminium Naq Hammadi,Al Ahly,1999-09-12,0,1,F,egypt,Aluminium Naq Hammadi (Egypt),Al Ahly (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Qanah,Al Mokawloon,1999-09-12,2,1,F,egypt,Al Qanah (Egypt),Al Mokawloon (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
El Sharqeya,Al Masry Club,1999-09-12,0,0,F,egypt,El Sharqeya (Egypt),Al Masry Club (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Goldi SC,Dina Farms FC,1999-09-17,1,1,F,egypt,Goldi SC (Egypt),Dina Farms FC (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Ittihad El Iskandary,El Sharqeya,1999-09-18,4,2,F,egypt,Ittihad El Iskandary (Egypt),El Sharqeya (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Mokawloon,Aluminium Naq Hammadi,1999-09-18,1,0,F,egypt,Al Mokawloon (Egypt),Aluminium Naq Hammadi (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Ismaily,Al Qanah,1999-09-19,2,0,F,egypt,Ismaily (Egypt),Al Qanah (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Suez Cement,Zamalek,1999-09-21,1,1,F,egypt,Suez Cement (Egypt),Zamalek (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Masry Club,El Koroum,1999-09-21,1,0,F,egypt,Al Masry Club (Egypt),El Koroum (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Qanah,Goldi SC,1999-09-24,1,0,F,egypt,Al Qanah (Egypt),Goldi SC (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Aluminium Naq Hammadi,Ismaily,1999-09-24,2,2,F,egypt,Aluminium Naq Hammadi (Egypt),Ismaily (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Zamalek,El Koroum,1999-09-25,5,1,F,egypt,Zamalek (Egypt),El Koroum (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Ittihad El Iskandary,Al Masry Club,1999-09-25,0,0,F,egypt,Ittihad El Iskandary (Egypt),Al Masry Club (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Dina Farms FC,Suez Cement,1999-09-25,1,0,F,egypt,Dina Farms FC (Egypt),Suez Cement (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Ismaily,Zamalek,1999-09-30,0,2,F,egypt,Ismaily (Egypt),Zamalek (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Masry Club,Suez Cement,1999-09-30,2,0,F,egypt,Al Masry Club (Egypt),Suez Cement (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
El Koroum,Dina Farms FC,1999-10-01,0,0,F,egypt,El Koroum (Egypt),Dina Farms FC (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Goldi SC,Aluminium Naq Hammadi,1999-10-01,1,0,F,egypt,Goldi SC (Egypt),Aluminium Naq Hammadi (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Al Masry Club,Zamalek,1999-10-04,1,2,F,egypt,Al Masry Club (Egypt),Zamalek (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
Ismaily,El Mansura,1999-10-04,1,0,F,egypt,Ismaily (Egypt),El Mansura (Egypt),egypt,egypt,EG,EG,Africa,Africa,Africa,national
