home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Club Deportivo Atletico Marte,CD Dragon,1999-08-28,0,1,F,el-salvador,Club Deportivo Atletico Marte (El Salvador),CD Dragon (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Ad El Transito,CD Fas,1999-08-28,3,1,F,el-salvador,Ad El Transito (El Salvador),CD Fas (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Club Deportivo Luis Angel Firpo,CD Juventud Independiente,1999-08-28,7,0,F,el-salvador,Club Deportivo Luis Angel Firpo (El Salvador),CD Juventud Independiente (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Aguila,Municipal Limeno,1999-08-28,1,1,F,el-salvador,CD Aguila (El Salvador),Municipal Limeno (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Alianza FC,Club Deportivo Luis Angel Firpo,1999-09-04,1,0,F,el-salvador,Alianza FC (El Salvador),Club Deportivo Luis Angel Firpo (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Juventud Independiente,Ad El Transito,1999-09-04,1,0,F,el-salvador,CD Juventud Independiente (El Salvador),Ad El Transito (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Municipal Limeno,Club Deportivo Atletico Marte,1999-09-04,3,1,F,el-salvador,Municipal Limeno (El Salvador),Club Deportivo Atletico Marte (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Fas,CD Aguila,1999-09-04,0,1,F,el-salvador,CD Fas (El Salvador),CD Aguila (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Dragon,CD Santa Clara,1999-09-04,4,0,F,el-salvador,CD Dragon (El Salvador),CD Santa Clara (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Club Deportivo Atletico Marte,CD Santa Clara,1999-09-11,1,1,F,el-salvador,Club Deportivo Atletico Marte (El Salvador),CD Santa Clara (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Aguila,CD Juventud Independiente,1999-09-11,1,0,F,el-salvador,CD Aguila (El Salvador),CD Juventud Independiente (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Club Deportivo Luis Angel Firpo,CD Dragon,1999-09-11,0,0,F,el-salvador,Club Deportivo Luis Angel Firpo (El Salvador),CD Dragon (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Municipal Limeno,CD Fas,1999-09-12,1,0,F,el-salvador,Municipal Limeno (El Salvador),CD Fas (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Ad El Transito,Alianza FC,1999-09-12,1,1,F,el-salvador,Ad El Transito (El Salvador),Alianza FC (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Club Deportivo Luis Angel Firpo,CD Santa Clara,1999-09-15,3,1,F,el-salvador,Club Deportivo Luis Angel Firpo (El Salvador),CD Santa Clara (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Juventud Independiente,Municipal Limeno,1999-09-15,0,0,F,el-salvador,CD Juventud Independiente (El Salvador),Municipal Limeno (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
Alianza FC,CD Aguila,1999-09-15,1,1,F,el-salvador,Alianza FC (El Salvador),CD Aguila (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Fas,Club Deportivo Atletico Marte,1999-09-15,2,0,F,el-salvador,CD Fas (El Salvador),Club Deportivo Atletico Marte (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
CD Dragon,Ad El Transito,1999-09-15,2,0,F,el-salvador,CD Dragon (El Salvador),Ad El Transito (El Salvador),el-salvador,el-salvador,SV,SV,North America,North America,North America,national
