home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FC Flora Tallinn,FC Tvmk,1998-07-17,3,0,F,estonia,FC Flora Tallinn (Estonia),FC Tvmk (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Narva Trans,Sadam Tallinn,1998-07-17,0,0,F,estonia,JK Narva Trans (Estonia),Sadam Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Tervis Paernu,Lantana Tallinn,1998-07-18,0,2,F,estonia,JK Tervis Paernu (Estonia),Lantana Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Tulevik Viljandi,JK Eesti Polevkivi Johvi,1998-07-18,1,0,F,estonia,Tulevik Viljandi (Estonia),JK Eesti Polevkivi Johvi (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Eesti Polevkivi Johvi,JK Narva Trans,1998-07-25,0,1,F,estonia,JK Eesti Polevkivi Johvi (Estonia),JK Narva Trans (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Lantana Tallinn,Tulevik Viljandi,1998-07-25,3,0,F,estonia,Lantana Tallinn (Estonia),Tulevik Viljandi (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
FC Tvmk,JK Tervis Paernu,1998-07-25,2,1,F,estonia,FC Tvmk (Estonia),JK Tervis Paernu (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Narva Trans,Lantana Tallinn,1998-08-01,1,3,F,estonia,JK Narva Trans (Estonia),Lantana Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
FC Tvmk,Tulevik Viljandi,1998-08-01,2,2,F,estonia,FC Tvmk (Estonia),Tulevik Viljandi (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
FC Flora Tallinn,JK Eesti Polevkivi Johvi,1998-08-02,6,0,F,estonia,FC Flora Tallinn (Estonia),JK Eesti Polevkivi Johvi (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Tervis Paernu,Sadam Tallinn,1998-08-02,0,7,F,estonia,JK Tervis Paernu (Estonia),Sadam Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
FC Tvmk,Sadam Tallinn,1998-08-07,0,5,F,estonia,FC Tvmk (Estonia),Sadam Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Eesti Polevkivi Johvi,Lantana Tallinn,1998-08-08,1,2,F,estonia,JK Eesti Polevkivi Johvi (Estonia),Lantana Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Narva Trans,FC Flora Tallinn,1998-08-08,0,1,F,estonia,JK Narva Trans (Estonia),FC Flora Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Tulevik Viljandi,JK Tervis Paernu,1998-08-11,3,0,F,estonia,Tulevik Viljandi (Estonia),JK Tervis Paernu (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Sadam Tallinn,JK Eesti Polevkivi Johvi,1998-08-15,6,2,F,estonia,Sadam Tallinn (Estonia),JK Eesti Polevkivi Johvi (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Narva Trans,Tulevik Viljandi,1998-08-15,4,1,F,estonia,JK Narva Trans (Estonia),Tulevik Viljandi (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Tervis Paernu,FC Flora Tallinn,1998-08-16,2,5,F,estonia,JK Tervis Paernu (Estonia),FC Flora Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Lantana Tallinn,FC Tvmk,1998-08-17,0,0,F,estonia,Lantana Tallinn (Estonia),FC Tvmk (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Lantana Tallinn,Sadam Tallinn,1998-08-21,0,1,F,estonia,Lantana Tallinn (Estonia),Sadam Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Eesti Polevkivi Johvi,JK Tervis Paernu,1998-08-22,1,0,F,estonia,JK Eesti Polevkivi Johvi (Estonia),JK Tervis Paernu (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Narva Trans,FC Tvmk,1998-08-22,2,2,F,estonia,JK Narva Trans (Estonia),FC Tvmk (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Tulevik Viljandi,FC Flora Tallinn,1998-08-24,0,5,F,estonia,Tulevik Viljandi (Estonia),FC Flora Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
JK Tervis Paernu,JK Narva Trans,1998-08-29,1,5,F,estonia,JK Tervis Paernu (Estonia),JK Narva Trans (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
Tulevik Viljandi,Sadam Tallinn,1998-08-29,4,3,F,estonia,Tulevik Viljandi (Estonia),Sadam Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
FC Tvmk,JK Eesti Polevkivi Johvi,1998-08-29,4,0,F,estonia,FC Tvmk (Estonia),JK Eesti Polevkivi Johvi (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
FC Flora Tallinn,Lantana Tallinn,1998-08-31,3,0,F,estonia,FC Flora Tallinn (Estonia),Lantana Tallinn (Estonia),estonia,estonia,EE,EE,Europe,Europe,Europe,national
