home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Stgeorge Sa,Kombolcha Textile,2000-10-28,2,0,F,ethiopia,Stgeorge Sa (Ethiopia),Kombolcha Textile (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Ethiopian Coffee,Wonji Sugar,2000-10-29,3,3,F,ethiopia,Ethiopian Coffee (Ethiopia),Wonji Sugar (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Ethiopian Insurance FC Medhin,Dire Dawa Railway,2000-10-29,1,1,F,ethiopia,Ethiopian Insurance FC Medhin (Ethiopia),Dire Dawa Railway (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Harrar Beer Bottling FC,Eepco,2000-10-29,0,1,F,ethiopia,Harrar Beer Bottling FC (Ethiopia),Eepco (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Guna Traiding FC,Mugher Cement,2000-10-29,2,1,F,ethiopia,Guna Traiding FC (Ethiopia),Mugher Cement (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Adama City,Ethiopian Banks FC,2000-10-29,1,2,F,ethiopia,Adama City (Ethiopia),Ethiopian Banks FC (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Awassa City,Trans Ethiopia,2000-10-29,0,1,F,ethiopia,Awassa City (Ethiopia),Trans Ethiopia (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Stgeorge Sa,Harrar Beer Bottling FC,2000-11-01,4,0,F,ethiopia,Stgeorge Sa (Ethiopia),Harrar Beer Bottling FC (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Ethiopian Banks FC,Trans Ethiopia,2000-11-01,0,1,F,ethiopia,Ethiopian Banks FC (Ethiopia),Trans Ethiopia (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Mugher Cement,Awassa City,2000-11-01,0,2,F,ethiopia,Mugher Cement (Ethiopia),Awassa City (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Guna Traiding FC,Dire Dawa Railway,2000-11-01,2,0,F,ethiopia,Guna Traiding FC (Ethiopia),Dire Dawa Railway (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Adama City,Eepco,2000-11-01,1,0,F,ethiopia,Adama City (Ethiopia),Eepco (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
Wonji Sugar,Kombolcha Textile,2000-11-01,1,1,F,ethiopia,Wonji Sugar (Ethiopia),Kombolcha Textile (Ethiopia),ethiopia,ethiopia,ET,ET,Africa,Africa,Africa,national
