home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
B36 Torshavn,Hb Torshavn,1998-05-03,0,1,F,faroe-islands,B36 Torshavn (Faroe Islands),Hb Torshavn (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Nsi Runavik,Gi Goeta,1998-05-03,3,1,F,faroe-islands,Nsi Runavik (Faroe Islands),Gi Goeta (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Itrottarfelag Fuglafjardhar,Ki Klaksvik,1998-05-03,0,0,F,faroe-islands,Itrottarfelag Fuglafjardhar (Faroe Islands),Ki Klaksvik (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Sumba,B68 Toftir,1998-05-03,1,2,F,faroe-islands,Sumba (Faroe Islands),B68 Toftir (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Tb Tvoroyri,Vb Vagur,1998-05-03,2,2,F,faroe-islands,Tb Tvoroyri (Faroe Islands),Vb Vagur (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Ki Klaksvik,B36 Torshavn,1998-05-10,1,1,F,faroe-islands,Ki Klaksvik (Faroe Islands),B36 Torshavn (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Hb Torshavn,Tb Tvoroyri,1998-05-10,4,3,F,faroe-islands,Hb Torshavn (Faroe Islands),Tb Tvoroyri (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Vb Vagur,Nsi Runavik,1998-05-10,0,5,F,faroe-islands,Vb Vagur (Faroe Islands),Nsi Runavik (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
B68 Toftir,Gi Goeta,1998-05-10,0,1,F,faroe-islands,B68 Toftir (Faroe Islands),Gi Goeta (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Sumba,Itrottarfelag Fuglafjardhar,1998-05-10,1,0,F,faroe-islands,Sumba (Faroe Islands),Itrottarfelag Fuglafjardhar (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
B36 Torshavn,Sumba,1998-05-17,6,2,F,faroe-islands,B36 Torshavn (Faroe Islands),Sumba (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Nsi Runavik,Hb Torshavn,1998-05-17,0,4,F,faroe-islands,Nsi Runavik (Faroe Islands),Hb Torshavn (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Itrottarfelag Fuglafjardhar,B68 Toftir,1998-05-17,2,2,F,faroe-islands,Itrottarfelag Fuglafjardhar (Faroe Islands),B68 Toftir (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Gi Goeta,Vb Vagur,1998-05-17,0,2,F,faroe-islands,Gi Goeta (Faroe Islands),Vb Vagur (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Tb Tvoroyri,Ki Klaksvik,1998-05-17,1,3,F,faroe-islands,Tb Tvoroyri (Faroe Islands),Ki Klaksvik (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Ki Klaksvik,Nsi Runavik,1998-05-24,4,1,F,faroe-islands,Ki Klaksvik (Faroe Islands),Nsi Runavik (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Hb Torshavn,Gi Goeta,1998-05-24,3,0,F,faroe-islands,Hb Torshavn (Faroe Islands),Gi Goeta (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
B68 Toftir,Vb Vagur,1998-05-24,2,1,F,faroe-islands,B68 Toftir (Faroe Islands),Vb Vagur (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Itrottarfelag Fuglafjardhar,B36 Torshavn,1998-05-24,0,0,F,faroe-islands,Itrottarfelag Fuglafjardhar (Faroe Islands),B36 Torshavn (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Sumba,Tb Tvoroyri,1998-05-24,3,2,F,faroe-islands,Sumba (Faroe Islands),Tb Tvoroyri (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
B36 Torshavn,B68 Toftir,1998-06-01,2,1,F,faroe-islands,B36 Torshavn (Faroe Islands),B68 Toftir (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Nsi Runavik,Sumba,1998-06-01,3,0,F,faroe-islands,Nsi Runavik (Faroe Islands),Sumba (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Vb Vagur,Hb Torshavn,1998-06-01,1,1,F,faroe-islands,Vb Vagur (Faroe Islands),Hb Torshavn (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Gi Goeta,Ki Klaksvik,1998-06-01,2,2,F,faroe-islands,Gi Goeta (Faroe Islands),Ki Klaksvik (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Tb Tvoroyri,Itrottarfelag Fuglafjardhar,1998-06-01,2,2,F,faroe-islands,Tb Tvoroyri (Faroe Islands),Itrottarfelag Fuglafjardhar (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
B36 Torshavn,Tb Tvoroyri,1998-06-07,7,0,F,faroe-islands,B36 Torshavn (Faroe Islands),Tb Tvoroyri (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Ki Klaksvik,Vb Vagur,1998-06-07,2,1,F,faroe-islands,Ki Klaksvik (Faroe Islands),Vb Vagur (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
B68 Toftir,Hb Torshavn,1998-06-07,0,0,F,faroe-islands,B68 Toftir (Faroe Islands),Hb Torshavn (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Itrottarfelag Fuglafjardhar,Nsi Runavik,1998-06-07,1,1,F,faroe-islands,Itrottarfelag Fuglafjardhar (Faroe Islands),Nsi Runavik (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Sumba,Gi Goeta,1998-06-07,1,1,F,faroe-islands,Sumba (Faroe Islands),Gi Goeta (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Itrottarfelag Fuglafjardhar,Vb Vagur,1998-06-10,2,5,F,faroe-islands,Itrottarfelag Fuglafjardhar (Faroe Islands),Vb Vagur (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Nsi Runavik,B36 Torshavn,1998-06-14,2,0,F,faroe-islands,Nsi Runavik (Faroe Islands),B36 Torshavn (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Hb Torshavn,Ki Klaksvik,1998-06-14,4,0,F,faroe-islands,Hb Torshavn (Faroe Islands),Ki Klaksvik (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
Vb Vagur,Sumba,1998-06-14,2,0,F,faroe-islands,Vb Vagur (Faroe Islands),Sumba (Faroe Islands),faroe-islands,faroe-islands,FO,FO,Europe,Europe,Europe,national
