home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Nasr Riyadh,Real Madrid,2000-01-05,1,3,F,Fifa Club,Al Nasr Riyadh (Saudi Arabia),Real Madrid (Spain),saudi-arabia,spain,SA,ES,Asia,Europe,world,international
Corinthians SP,Raja Casablanca,2000-01-05,2,0,F,Fifa Club,Corinthians SP (Brazil),Raja Casablanca (Morocco),brazil,morocco,BR,MA,South America,Africa,world,international
Manchester United,Club Necaxa,2000-01-06,1,1,F,Fifa Club,Manchester United (England),Club Necaxa (Mexico),england,mexico,ENG,MX,Europe,North America,world,international
Vasco Da Gama,South Melbourne FC,2000-01-06,2,0,F,Fifa Club,Vasco Da Gama (Brazil),South Melbourne FC (Australia),brazil,australia,BR,AU,South America,Oceania,world,international
Raja Casablanca,Al Nasr Riyadh,2000-01-07,3,4,F,Fifa Club,Raja Casablanca (Morocco),Al Nasr Riyadh (Saudi Arabia),morocco,saudi-arabia,MA,SA,Africa,Asia,world,international
Corinthians SP,Real Madrid,2000-01-07,2,2,F,Fifa Club,Corinthians SP (Brazil),Real Madrid (Spain),brazil,spain,BR,ES,South America,Europe,world,international
Vasco Da Gama,Manchester United,2000-01-08,3,1,F,Fifa Club,Vasco Da Gama (Brazil),Manchester United (England),brazil,england,BR,ENG,South America,Europe,world,international
Club Necaxa,South Melbourne FC,2000-01-08,3,1,F,Fifa Club,Club Necaxa (Mexico),South Melbourne FC (Australia),mexico,australia,MX,AU,North America,Oceania,world,international
Corinthians SP,Al Nasr Riyadh,2000-01-10,2,0,F,Fifa Club,Corinthians SP (Brazil),Al Nasr Riyadh (Saudi Arabia),brazil,saudi-arabia,BR,SA,South America,Asia,world,international
Real Madrid,Raja Casablanca,2000-01-10,3,2,F,Fifa Club,Real Madrid (Spain),Raja Casablanca (Morocco),spain,morocco,ES,MA,Europe,Africa,world,international
Vasco Da Gama,Club Necaxa,2000-01-11,2,1,F,Fifa Club,Vasco Da Gama (Brazil),Club Necaxa (Mexico),brazil,mexico,BR,MX,South America,North America,world,international
South Melbourne FC,Manchester United,2000-01-11,0,2,F,Fifa Club,South Melbourne FC (Australia),Manchester United (England),australia,england,AU,ENG,Oceania,Europe,world,international
Corinthians SP,Vasco Da Gama,2000-01-14,0,0,P,Fifa Club,Corinthians SP (Brazil),Vasco Da Gama (Brazil),brazil,brazil,BR,BR,South America,South America,world,international
Al Ittihad,Al Ahly,2005-12-11,1,0,F,Fifa Club,Al Ittihad (Saudi Arabia),Al Ahly (Egypt),saudi-arabia,egypt,SA,EG,Asia,Africa,world,international
Sydney FC,Deportivo Saprissa,2005-12-12,0,1,F,Fifa Club,Sydney FC (Australia),Deportivo Saprissa (Costa Rica),australia,costa-rica,AU,CR,Oceania,North America,world,international
Al Ittihad,Sao Paulo FC,2005-12-14,2,3,F,Fifa Club,Al Ittihad (Saudi Arabia),Sao Paulo FC (Brazil),saudi-arabia,brazil,SA,BR,Asia,South America,world,international
Deportivo Saprissa,Liverpool FC,2005-12-15,0,3,F,Fifa Club,Deportivo Saprissa (Costa Rica),Liverpool FC (England),costa-rica,england,CR,ENG,North America,Europe,world,international
Al Ahly,Sydney FC,2005-12-16,1,2,F,Fifa Club,Al Ahly (Egypt),Sydney FC (Australia),egypt,australia,EG,AU,Africa,Oceania,world,international
Al Ittihad,Deportivo Saprissa,2005-12-18,2,3,F,Fifa Club,Al Ittihad (Saudi Arabia),Deportivo Saprissa (Costa Rica),saudi-arabia,costa-rica,SA,CR,Asia,North America,world,international
Sao Paulo FC,Liverpool FC,2005-12-18,1,0,F,Fifa Club,Sao Paulo FC (Brazil),Liverpool FC (England),brazil,england,BR,ENG,South America,Europe,world,international
Auckland City FC,Al Ahly,2006-12-10,0,2,F,Fifa Club,Auckland City FC (New Zealand),Al Ahly (Egypt),new-zealand,egypt,NZ,EG,Oceania,Africa,world,international
Jeonbuk FC,CF America,2006-12-11,0,1,F,Fifa Club,Jeonbuk FC (Korea Republic),CF America (Mexico),korea-republic,mexico,KOR,MX,Asia,North America,world,international
Al Ahly,Internacional,2006-12-13,1,2,F,Fifa Club,Al Ahly (Egypt),Internacional (Brazil),egypt,brazil,EG,BR,Africa,South America,world,international
CF America,FC Barcelona,2006-12-14,0,4,F,Fifa Club,CF America (Mexico),FC Barcelona (Spain),mexico,spain,MX,ES,North America,Europe,world,international
Jeonbuk FC,Auckland City FC,2006-12-15,3,0,F,Fifa Club,Jeonbuk FC (Korea Republic),Auckland City FC (New Zealand),korea-republic,new-zealand,KOR,NZ,Asia,Oceania,world,international
Al Ahly,CF America,2006-12-17,2,1,F,Fifa Club,Al Ahly (Egypt),CF America (Mexico),egypt,mexico,EG,MX,Africa,North America,world,international
Internacional,FC Barcelona,2006-12-17,1,0,F,Fifa Club,Internacional (Brazil),FC Barcelona (Spain),brazil,spain,BR,ES,South America,Europe,world,international
Sepahan FC,Waitakere United,2007-12-07,3,1,F,Fifa Club,Sepahan FC (Iran),Waitakere United (New Zealand),iran,new-zealand,IR,NZ,Asia,Oceania,world,international
ES Sahel,CF Pachuca,2007-12-09,1,0,F,Fifa Club,ES Sahel (Tunisia),CF Pachuca (Mexico),tunisia,mexico,TN,MX,Africa,North America,world,international
Sepahan FC,Urawa Red Diamonds,2007-12-10,1,3,F,Fifa Club,Sepahan FC (Iran),Urawa Red Diamonds (Japan),iran,japan,IR,JP,Asia,Asia,world,international
ES Sahel,Boca Juniors,2007-12-12,0,1,F,Fifa Club,ES Sahel (Tunisia),Boca Juniors (Argentina),tunisia,argentina,TN,AR,Africa,South America,world,international
Urawa Red Diamonds,AC Milan,2007-12-13,0,1,F,Fifa Club,Urawa Red Diamonds (Japan),AC Milan (Italy),japan,italy,JP,IT,Asia,Europe,world,international
ES Sahel,Urawa Red Diamonds,2007-12-16,2,2,P,Fifa Club,ES Sahel (Tunisia),Urawa Red Diamonds (Japan),tunisia,japan,TN,JP,Africa,Asia,world,international
AC Milan,Boca Juniors,2007-12-16,4,2,F,Fifa Club,AC Milan (Italy),Boca Juniors (Argentina),italy,argentina,IT,AR,Europe,South America,world,international
Adelaide United,Waitakere United,2008-12-11,2,1,F,Fifa Club,Adelaide United (Australia),Waitakere United (New Zealand),australia,new-zealand,AU,NZ,Oceania,Oceania,world,international
Al Ahly,CF Pachuca,2008-12-13,2,4,E,Fifa Club,Al Ahly (Egypt),CF Pachuca (Mexico),egypt,mexico,EG,MX,Africa,North America,world,international
Adelaide United,Gamba Osaka,2008-12-14,0,1,F,Fifa Club,Adelaide United (Australia),Gamba Osaka (Japan),australia,japan,AU,JP,Oceania,Asia,world,international
CF Pachuca,Ldu Quito,2008-12-17,0,2,F,Fifa Club,CF Pachuca (Mexico),Ldu Quito (Ecuador),mexico,ecuador,MX,EC,North America,South America,world,international
Al Ahly,Adelaide United,2008-12-18,0,1,F,Fifa Club,Al Ahly (Egypt),Adelaide United (Australia),egypt,australia,EG,AU,Africa,Oceania,world,international
Gamba Osaka,Manchester United,2008-12-18,3,5,F,Fifa Club,Gamba Osaka (Japan),Manchester United (England),japan,england,JP,ENG,Asia,Europe,world,international
CF Pachuca,Gamba Osaka,2008-12-21,0,1,F,Fifa Club,CF Pachuca (Mexico),Gamba Osaka (Japan),mexico,japan,MX,JP,North America,Asia,world,international
Ldu Quito,Manchester United,2008-12-21,0,1,F,Fifa Club,Ldu Quito (Ecuador),Manchester United (England),ecuador,england,EC,ENG,South America,Europe,world,international
Al Ahli,Auckland City FC,2009-12-09,0,2,F,Fifa Club,Al Ahli (United Arab Emirates),Auckland City FC (New Zealand),united-arab-emirates,new-zealand,AE,NZ,Asia,Oceania,world,international
Tp Mazembe,Pohang Steelers,2009-12-11,1,2,F,Fifa Club,Tp Mazembe (Congo Dr),Pohang Steelers (Korea Republic),congo-dr,korea-republic,CDR,KOR,Africa,Asia,world,international
Auckland City FC,CF Atlante,2009-12-12,0,3,F,Fifa Club,Auckland City FC (New Zealand),CF Atlante (Mexico),new-zealand,mexico,NZ,MX,Oceania,North America,world,international
Pohang Steelers,Estudiantes,2009-12-15,1,2,F,Fifa Club,Pohang Steelers (Korea Republic),Estudiantes (Argentina),korea-republic,argentina,KOR,AR,Asia,South America,world,international
Tp Mazembe,Auckland City FC,2009-12-16,2,3,F,Fifa Club,Tp Mazembe (Congo Dr),Auckland City FC (New Zealand),congo-dr,new-zealand,CDR,NZ,Africa,Oceania,world,international
CF Atlante,FC Barcelona,2009-12-16,1,3,F,Fifa Club,CF Atlante (Mexico),FC Barcelona (Spain),mexico,spain,MX,ES,North America,Europe,world,international
Pohang Steelers,CF Atlante,2009-12-19,1,1,P,Fifa Club,Pohang Steelers (Korea Republic),CF Atlante (Mexico),korea-republic,mexico,KOR,MX,Asia,North America,world,international
Estudiantes,FC Barcelona,2009-12-19,1,2,E,Fifa Club,Estudiantes (Argentina),FC Barcelona (Spain),argentina,spain,AR,ES,South America,Europe,world,international
Al Wahda,Prk Hekari United,2010-12-08,3,0,F,Fifa Club,Al Wahda (United Arab Emirates),Prk Hekari United (Papua New Guinea),united-arab-emirates,papua-new-guinea,AE,PG,Asia,Oceania,world,international
Tp Mazembe,CF Pachuca,2010-12-10,1,0,F,Fifa Club,Tp Mazembe (Congo Dr),CF Pachuca (Mexico),congo-dr,mexico,CDR,MX,Africa,North America,world,international
Al Wahda,Seongnam FC,2010-12-11,1,4,F,Fifa Club,Al Wahda (United Arab Emirates),Seongnam FC (Korea Republic),united-arab-emirates,korea-republic,AE,KOR,Asia,Asia,world,international
Tp Mazembe,Internacional,2010-12-14,2,0,F,Fifa Club,Tp Mazembe (Congo Dr),Internacional (Brazil),congo-dr,brazil,CDR,BR,Africa,South America,world,international
CF Pachuca,Al Wahda,2010-12-15,2,2,P,Fifa Club,CF Pachuca (Mexico),Al Wahda (United Arab Emirates),mexico,united-arab-emirates,MX,AE,North America,Asia,world,international
Seongnam FC,Inter,2010-12-15,0,3,F,Fifa Club,Seongnam FC (Korea Republic),Inter (Italy),korea-republic,italy,KOR,IT,Asia,Europe,world,international
Internacional,Seongnam FC,2010-12-18,4,2,F,Fifa Club,Internacional (Brazil),Seongnam FC (Korea Republic),brazil,korea-republic,BR,KOR,South America,Asia,world,international
Tp Mazembe,Inter,2010-12-18,0,3,F,Fifa Club,Tp Mazembe (Congo Dr),Inter (Italy),congo-dr,italy,CDR,IT,Africa,Europe,world,international
Kashiwa Reysol,Auckland City FC,2011-12-08,2,0,F,Fifa Club,Kashiwa Reysol (Japan),Auckland City FC (New Zealand),japan,new-zealand,JP,NZ,Asia,Oceania,world,international
Esperance Tunis,Al Sadd,2011-12-11,1,2,F,Fifa Club,Esperance Tunis (Tunisia),Al Sadd (Qatar),tunisia,qatar,TN,QA,Africa,Asia,world,international
Kashiwa Reysol,CF Monterrey,2011-12-11,1,1,P,Fifa Club,Kashiwa Reysol (Japan),CF Monterrey (Mexico),japan,mexico,JP,MX,Asia,North America,world,international
Kashiwa Reysol,Santos FC,2011-12-14,1,3,F,Fifa Club,Kashiwa Reysol (Japan),Santos FC (Brazil),japan,brazil,JP,BR,Asia,South America,world,international
CF Monterrey,Esperance Tunis,2011-12-14,3,2,F,Fifa Club,CF Monterrey (Mexico),Esperance Tunis (Tunisia),mexico,tunisia,MX,TN,North America,Africa,world,international
Al Sadd,FC Barcelona,2011-12-15,0,4,F,Fifa Club,Al Sadd (Qatar),FC Barcelona (Spain),qatar,spain,QA,ES,Asia,Europe,world,international
Santos FC,FC Barcelona,2011-12-18,0,4,F,Fifa Club,Santos FC (Brazil),FC Barcelona (Spain),brazil,spain,BR,ES,South America,Europe,world,international
Kashiwa Reysol,Al Sadd,2011-12-18,0,0,P,Fifa Club,Kashiwa Reysol (Japan),Al Sadd (Qatar),japan,qatar,JP,QA,Asia,Asia,world,international
Sanfrecce Hiroshima,Auckland City FC,2012-12-06,1,0,F,Fifa Club,Sanfrecce Hiroshima (Japan),Auckland City FC (New Zealand),japan,new-zealand,JP,NZ,Asia,Oceania,world,international
