home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
CA Penarol,Real Madrid,1960-07-03,0,0,F,FIFA WC,CA Penarol (Uruguay),Real Madrid (Spain),uruguay,spain,UY,ES,South America,Europe,world,international
Real Madrid,CA Penarol,1960-09-04,5,1,F,FIFA WC,Real Madrid (Spain),CA Penarol (Uruguay),spain,uruguay,ES,UY,Europe,South America,world,international
Sl Benfica,CA Penarol,1961-09-04,1,0,F,FIFA WC,Sl Benfica (Portugal),CA Penarol (Uruguay),portugal,uruguay,PT,UY,Europe,South America,world,international
CA Penarol,Sl Benfica,1961-09-17,5,0,F,FIFA WC,CA Penarol (Uruguay),Sl Benfica (Portugal),uruguay,portugal,UY,PT,South America,Europe,world,international
CA Penarol,Sl Benfica,1961-09-19,2,1,F,FIFA WC,CA Penarol (Uruguay),Sl Benfica (Portugal),uruguay,portugal,UY,PT,South America,Europe,world,international
Santos FC,Sl Benfica,1962-09-19,3,2,F,FIFA WC,Santos FC (Brazil),Sl Benfica (Portugal),brazil,portugal,BR,PT,South America,Europe,world,international
Sl Benfica,Santos FC,1962-10-11,2,5,F,FIFA WC,Sl Benfica (Portugal),Santos FC (Brazil),portugal,brazil,PT,BR,Europe,South America,world,international
AC Milan,Santos FC,1963-10-16,4,2,F,FIFA WC,AC Milan (Italy),Santos FC (Brazil),italy,brazil,IT,BR,Europe,South America,world,international
Santos FC,AC Milan,1963-11-14,4,2,F,FIFA WC,Santos FC (Brazil),AC Milan (Italy),brazil,italy,BR,IT,South America,Europe,world,international
Santos FC,AC Milan,1963-11-16,1,0,F,FIFA WC,Santos FC (Brazil),AC Milan (Italy),brazil,italy,BR,IT,South America,Europe,world,international
Independiente,Inter,1964-09-09,1,0,F,FIFA WC,Independiente (Argentina),Inter (Italy),argentina,italy,AR,IT,South America,Europe,world,international
Inter,Independiente,1964-09-23,2,0,F,FIFA WC,Inter (Italy),Independiente (Argentina),italy,argentina,IT,AR,Europe,South America,world,international
Inter,Independiente,1964-09-26,1,0,F,FIFA WC,Inter (Italy),Independiente (Argentina),italy,argentina,IT,AR,Europe,South America,world,international
Inter,Independiente,1965-09-08,3,0,F,FIFA WC,Inter (Italy),Independiente (Argentina),italy,argentina,IT,AR,Europe,South America,world,international
Independiente,Inter,1965-09-15,0,0,F,FIFA WC,Independiente (Argentina),Inter (Italy),argentina,italy,AR,IT,South America,Europe,world,international
CA Penarol,Real Madrid,1966-10-12,2,0,F,FIFA WC,CA Penarol (Uruguay),Real Madrid (Spain),uruguay,spain,UY,ES,South America,Europe,world,international
Real Madrid,CA Penarol,1966-10-26,0,2,F,FIFA WC,Real Madrid (Spain),CA Penarol (Uruguay),spain,uruguay,ES,UY,Europe,South America,world,international
Celtic FC,Racing Club,1967-10-18,1,0,F,FIFA WC,Celtic FC (Scotland),Racing Club (Argentina),scotland,argentina,SCO,AR,Europe,South America,world,international
Racing Club,Celtic FC,1967-11-01,2,1,F,FIFA WC,Racing Club (Argentina),Celtic FC (Scotland),argentina,scotland,AR,SCO,South America,Europe,world,international
Racing Club,Celtic FC,1967-11-04,1,0,F,FIFA WC,Racing Club (Argentina),Celtic FC (Scotland),argentina,scotland,AR,SCO,South America,Europe,world,international
Estudiantes,Manchester United,1968-09-25,1,0,F,FIFA WC,Estudiantes (Argentina),Manchester United (England),argentina,england,AR,ENG,South America,Europe,world,international
Manchester United,Estudiantes,1968-10-16,1,1,F,FIFA WC,Manchester United (England),Estudiantes (Argentina),england,argentina,ENG,AR,Europe,South America,world,international
AC Milan,Estudiantes,1969-10-08,3,0,F,FIFA WC,AC Milan (Italy),Estudiantes (Argentina),italy,argentina,IT,AR,Europe,South America,world,international
Estudiantes,AC Milan,1969-10-22,2,1,F,FIFA WC,Estudiantes (Argentina),AC Milan (Italy),argentina,italy,AR,IT,South America,Europe,world,international
Estudiantes,Feyenoord,1970-08-26,2,2,F,FIFA WC,Estudiantes (Argentina),Feyenoord (Netherlands),argentina,netherlands,AR,NL,South America,Europe,world,international
Feyenoord,Estudiantes,1970-09-09,1,0,F,FIFA WC,Feyenoord (Netherlands),Estudiantes (Argentina),netherlands,argentina,NL,AR,Europe,South America,world,international
Panathinaikos,Nacional,1971-12-15,1,1,F,FIFA WC,Panathinaikos (Greece),Nacional (Uruguay),greece,uruguay,GR,UY,Europe,South America,world,international
Nacional,Panathinaikos,1971-12-29,2,1,F,FIFA WC,Nacional (Uruguay),Panathinaikos (Greece),uruguay,greece,UY,GR,South America,Europe,world,international
Independiente,AFC Ajax,1972-09-06,1,1,F,FIFA WC,Independiente (Argentina),AFC Ajax (Netherlands),argentina,netherlands,AR,NL,South America,Europe,world,international
AFC Ajax,Independiente,1972-09-28,3,0,F,FIFA WC,AFC Ajax (Netherlands),Independiente (Argentina),netherlands,argentina,NL,AR,Europe,South America,world,international
Independiente,Juventus,1973-11-28,1,0,F,FIFA WC,Independiente (Argentina),Juventus (Italy),argentina,italy,AR,IT,South America,Europe,world,international
Independiente,Atletico Madrid,1975-03-12,1,0,F,FIFA WC,Independiente (Argentina),Atletico Madrid (Spain),argentina,spain,AR,ES,South America,Europe,world,international
Atletico Madrid,Independiente,1975-04-10,2,0,F,FIFA WC,Atletico Madrid (Spain),Independiente (Argentina),spain,argentina,ES,AR,Europe,South America,world,international
