home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Lautoka FC,Nadi FC,2007-04-22,3,1,F,fiji,Lautoka FC (Fiji),Nadi FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Rewa,Nasinu,2007-04-22,2,1,F,fiji,Rewa (Fiji),Nasinu (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Nadroga,Navua,2007-04-22,1,4,F,fiji,Nadroga (Fiji),Navua (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Ba FC,Navua,2007-05-26,5,0,F,fiji,Ba FC (Fiji),Navua (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Nadroga,Nasinu,2007-05-26,2,0,F,fiji,Nadroga (Fiji),Nasinu (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Nadi FC,Tavua,2007-05-27,1,1,F,fiji,Nadi FC (Fiji),Tavua (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Suva,Lautoka FC,2007-05-27,1,2,F,fiji,Suva (Fiji),Lautoka FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Lautoka FC,Ba FC,2007-05-30,0,2,F,fiji,Lautoka FC (Fiji),Ba FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Suva,Rewa,2007-05-30,1,1,F,fiji,Suva (Fiji),Rewa (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Nadi FC,Nadroga,2007-05-30,2,0,F,fiji,Nadi FC (Fiji),Nadroga (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Labasa FC,Lautoka FC,2007-06-02,1,3,F,fiji,Labasa FC (Fiji),Lautoka FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Nasinu,Ba FC,2007-06-02,0,1,F,fiji,Nasinu (Fiji),Ba FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Suva,Nadroga,2007-06-03,7,1,F,fiji,Suva (Fiji),Nadroga (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Navua,Rewa,2007-06-03,0,2,F,fiji,Navua (Fiji),Rewa (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Labasa FC,Nadi FC,2007-06-30,1,3,F,fiji,Labasa FC (Fiji),Nadi FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Ba FC,Suva,2007-07-01,5,0,F,fiji,Ba FC (Fiji),Suva (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Lautoka FC,Nadroga,2007-07-01,7,0,F,fiji,Lautoka FC (Fiji),Nadroga (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Tavua,Rewa,2007-07-01,2,2,F,fiji,Tavua (Fiji),Rewa (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Navua,Nasinu,2007-07-01,3,3,F,fiji,Navua (Fiji),Nasinu (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Lautoka FC,Tavua,2007-07-04,4,0,F,fiji,Lautoka FC (Fiji),Tavua (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Ba FC,Nadroga,2007-07-04,2,0,F,fiji,Ba FC (Fiji),Nadroga (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Suva,Labasa FC,2007-07-06,5,0,F,fiji,Suva (Fiji),Labasa FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Ba FC,Tavua,2007-07-07,2,0,F,fiji,Ba FC (Fiji),Tavua (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Nadi FC,Rewa,2007-07-08,2,1,F,fiji,Nadi FC (Fiji),Rewa (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Lautoka FC,Navua,2007-07-08,2,3,F,fiji,Lautoka FC (Fiji),Navua (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Nasinu,Labasa FC,2007-07-08,0,8,F,fiji,Nasinu (Fiji),Labasa FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Rewa,Labasa FC,2007-07-14,0,2,F,fiji,Rewa (Fiji),Labasa FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Tavua,Suva,2007-07-14,0,2,F,fiji,Tavua (Fiji),Suva (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Rewa,Nadroga,2007-07-15,7,0,F,fiji,Rewa (Fiji),Nadroga (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
Labasa FC,Ba FC,2007-07-15,1,2,F,fiji,Labasa FC (Fiji),Ba FC (Fiji),fiji,fiji,FJ,FJ,Oceania,Oceania,Oceania,national
