home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Finnpa Helsinki,Ilves Tampere,1994-04-24,2,2,F,finland,Finnpa Helsinki (Finland),Ilves Tampere (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
FC Jazz Pori,Hjk Helsinki,1994-04-24,3,0,F,finland,FC Jazz Pori (Finland),Hjk Helsinki (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Kuopion Ps,Mypa Kouvola,1994-04-24,0,2,F,finland,Kuopion Ps (Finland),Mypa Kouvola (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
FC Kuusysi,AC Oulu,1994-04-24,1,2,F,finland,FC Kuusysi (Finland),AC Oulu (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Mp Mikkeli,Tps Turku,1994-04-24,3,0,F,finland,Mp Mikkeli (Finland),Tps Turku (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Rovaniemi Ps,Haka Valkeakoski,1994-04-24,1,0,F,finland,Rovaniemi Ps (Finland),Haka Valkeakoski (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Tpv Tampere,Ff Jaro,1994-04-24,3,2,F,finland,Tpv Tampere (Finland),Ff Jaro (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Haka Valkeakoski,Finnpa Helsinki,1994-05-01,1,1,F,finland,Haka Valkeakoski (Finland),Finnpa Helsinki (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Hjk Helsinki,Tpv Tampere,1994-05-01,5,0,F,finland,Hjk Helsinki (Finland),Tpv Tampere (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Ff Jaro,Kuopion Ps,1994-05-01,4,2,F,finland,Ff Jaro (Finland),Kuopion Ps (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Ilves Tampere,Mp Mikkeli,1994-05-01,1,1,F,finland,Ilves Tampere (Finland),Mp Mikkeli (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Mypa Kouvola,Rovaniemi Ps,1994-05-01,1,0,F,finland,Mypa Kouvola (Finland),Rovaniemi Ps (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
AC Oulu,FC Jazz Pori,1994-05-01,1,1,F,finland,AC Oulu (Finland),FC Jazz Pori (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Tps Turku,FC Kuusysi,1994-05-01,4,2,F,finland,Tps Turku (Finland),FC Kuusysi (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Finnpa Helsinki,FC Jazz Pori,1994-05-08,1,0,F,finland,Finnpa Helsinki (Finland),FC Jazz Pori (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Haka Valkeakoski,Mp Mikkeli,1994-05-08,1,0,F,finland,Haka Valkeakoski (Finland),Mp Mikkeli (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Ilves Tampere,FC Kuusysi,1994-05-08,2,4,F,finland,Ilves Tampere (Finland),FC Kuusysi (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Ff Jaro,Rovaniemi Ps,1994-05-08,2,2,F,finland,Ff Jaro (Finland),Rovaniemi Ps (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Mypa Kouvola,Hjk Helsinki,1994-05-08,1,1,F,finland,Mypa Kouvola (Finland),Hjk Helsinki (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
AC Oulu,Kuopion Ps,1994-05-08,0,0,F,finland,AC Oulu (Finland),Kuopion Ps (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Tps Turku,Tpv Tampere,1994-05-08,3,0,F,finland,Tps Turku (Finland),Tpv Tampere (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Hjk Helsinki,Haka Valkeakoski,1994-05-12,0,2,F,finland,Hjk Helsinki (Finland),Haka Valkeakoski (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
FC Jazz Pori,Ff Jaro,1994-05-12,2,2,F,finland,FC Jazz Pori (Finland),Ff Jaro (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
Kuopion Ps,Ilves Tampere,1994-05-12,1,0,F,finland,Kuopion Ps (Finland),Ilves Tampere (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
FC Kuusysi,Finnpa Helsinki,1994-05-12,2,3,F,finland,FC Kuusysi (Finland),Finnpa Helsinki (Finland),finland,finland,FI,FI,Europe,Europe,Europe,national
