home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
CA Paris Alt,As Cannes,1933-07-01,5,1,F,france,CA Paris Alt (France),As Cannes (France),france,france,FR,FR,Europe,Europe,Europe,national
SC Fives Lille,FC Sete,1933-07-01,4,2,F,france,SC Fives Lille (France),FC Sete (France),france,france,FR,FR,Europe,Europe,Europe,national
Olympique Marseille,OGC Nice,1933-07-01,4,0,F,france,Olympique Marseille (France),OGC Nice (France),france,france,FR,FR,Europe,Europe,Europe,national
Nimes Olympique,Lille OSC,1933-07-01,3,3,F,france,Nimes Olympique (France),Lille OSC (France),france,france,FR,FR,Europe,Europe,Europe,national
FC Antibes,Stade Rennes,1933-07-01,1,1,F,france,FC Antibes (France),Stade Rennes (France),france,france,FR,FR,Europe,Europe,Europe,national
Montpellier HSC,Racing Club De France,1933-07-01,1,0,F,france,Montpellier HSC (France),Racing Club De France (France),france,france,FR,FR,Europe,Europe,Europe,national
Excelsior Roubaix,FC Sochaux,1933-07-01,2,1,F,france,Excelsior Roubaix (France),FC Sochaux (France),france,france,FR,FR,Europe,Europe,Europe,national
FC Sete,CA Paris Alt,1933-07-01,6,2,F,france,FC Sete (France),CA Paris Alt (France),france,france,FR,FR,Europe,Europe,Europe,national
OGC Nice,Excelsior Roubaix,1933-07-01,3,3,F,france,OGC Nice (France),Excelsior Roubaix (France),france,france,FR,FR,Europe,Europe,Europe,national
Racing Club De France,Lille OSC,1933-07-01,1,0,F,france,Racing Club De France (France),Lille OSC (France),france,france,FR,FR,Europe,Europe,Europe,national
As Cannes,Olympique Marseille,1933-07-01,1,1,F,france,As Cannes (France),Olympique Marseille (France),france,france,FR,FR,Europe,Europe,Europe,national
SC Fives Lille,Nimes Olympique,1933-07-01,5,2,F,france,SC Fives Lille (France),Nimes Olympique (France),france,france,FR,FR,Europe,Europe,Europe,national
Stade Rennes,Montpellier HSC,1933-07-01,2,6,F,france,Stade Rennes (France),Montpellier HSC (France),france,france,FR,FR,Europe,Europe,Europe,national
FC Sochaux,FC Antibes,1933-07-01,6,4,F,france,FC Sochaux (France),FC Antibes (France),france,france,FR,FR,Europe,Europe,Europe,national
FC Antibes,OGC Nice,1933-07-01,3,2,F,france,FC Antibes (France),OGC Nice (France),france,france,FR,FR,Europe,Europe,Europe,national
Montpellier HSC,FC Sochaux,1933-07-01,3,2,F,france,Montpellier HSC (France),FC Sochaux (France),france,france,FR,FR,Europe,Europe,Europe,national
Olympique Marseille,FC Sete,1933-07-01,3,3,F,france,Olympique Marseille (France),FC Sete (France),france,france,FR,FR,Europe,Europe,Europe,national
Lille OSC,Stade Rennes,1933-07-01,5,4,F,france,Lille OSC (France),Stade Rennes (France),france,france,FR,FR,Europe,Europe,Europe,national
Excelsior Roubaix,As Cannes,1933-07-01,3,1,F,france,Excelsior Roubaix (France),As Cannes (France),france,france,FR,FR,Europe,Europe,Europe,national
Nimes Olympique,Racing Club De France,1933-07-01,3,1,F,france,Nimes Olympique (France),Racing Club De France (France),france,france,FR,FR,Europe,Europe,Europe,national
CA Paris Alt,SC Fives Lille,1933-07-01,0,1,F,france,CA Paris Alt (France),SC Fives Lille (France),france,france,FR,FR,Europe,Europe,Europe,national
FC Sete,Excelsior Roubaix,1933-07-01,4,2,F,france,FC Sete (France),Excelsior Roubaix (France),france,france,FR,FR,Europe,Europe,Europe,national
As Cannes,FC Antibes,1933-07-01,1,0,F,france,As Cannes (France),FC Antibes (France),france,france,FR,FR,Europe,Europe,Europe,national
Stade Rennes,Racing Club De France,1933-07-01,2,1,F,france,Stade Rennes (France),Racing Club De France (France),france,france,FR,FR,Europe,Europe,Europe,national
CA Paris Alt,Nimes Olympique,1933-07-01,7,0,F,france,CA Paris Alt (France),Nimes Olympique (France),france,france,FR,FR,Europe,Europe,Europe,national
SC Fives Lille,Olympique Marseille,1933-07-01,2,3,F,france,SC Fives Lille (France),Olympique Marseille (France),france,france,FR,FR,Europe,Europe,Europe,national
FC Sochaux,Lille OSC,1933-07-01,3,5,F,france,FC Sochaux (France),Lille OSC (France),france,france,FR,FR,Europe,Europe,Europe,national
OGC Nice,Montpellier HSC,1933-07-01,1,1,F,france,OGC Nice (France),Montpellier HSC (France),france,france,FR,FR,Europe,Europe,Europe,national
OGC Nice,CA Paris Alt,1933-07-01,5,2,F,france,OGC Nice (France),CA Paris Alt (France),france,france,FR,FR,Europe,Europe,Europe,national
