home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Etoile Filante Iracoubo,Asl Sport Guyanais,2002-09-08,1,0,F,french-guyana,Etoile Filante Iracoubo (French Guyana),Asl Sport Guyanais (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Olympique De Cayenne,SC Kourou,2002-09-08,1,1,F,french-guyana,Olympique De Cayenne (French Guyana),SC Kourou (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Aj Saint Georges Cayne,ASC Le Geldar De Kourou,2002-09-08,1,1,F,french-guyana,Aj Saint Georges Cayne (French Guyana),ASC Le Geldar De Kourou (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Matoury,Club Colonial,2002-09-08,2,1,F,french-guyana,US Matoury (French Guyana),Club Colonial (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Cosma,As Saint Elie,2002-09-08,2,1,F,french-guyana,Cosma (French Guyana),As Saint Elie (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Sinnamary,Aj Balata Abriba,2002-09-08,3,1,F,french-guyana,US Sinnamary (French Guyana),Aj Balata Abriba (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Matoury,Aj Saint Georges Cayne,2002-09-15,3,2,F,french-guyana,US Matoury (French Guyana),Aj Saint Georges Cayne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
SC Kourou,US Sinnamary,2002-09-15,2,2,F,french-guyana,SC Kourou (French Guyana),US Sinnamary (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
ASC Le Geldar De Kourou,Cosma,2002-09-15,9,1,F,french-guyana,ASC Le Geldar De Kourou (French Guyana),Cosma (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Aj Balata Abriba,Asl Sport Guyanais,2002-09-15,1,1,F,french-guyana,Aj Balata Abriba (French Guyana),Asl Sport Guyanais (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Club Colonial,As Saint Elie,2002-09-15,4,3,F,french-guyana,Club Colonial (French Guyana),As Saint Elie (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Olympique De Cayenne,Etoile Filante Iracoubo,2002-09-15,1,1,F,french-guyana,Olympique De Cayenne (French Guyana),Etoile Filante Iracoubo (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
ASC Le Geldar De Kourou,US Sinnamary,2002-09-29,2,0,F,french-guyana,ASC Le Geldar De Kourou (French Guyana),US Sinnamary (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Matoury,Aj Balata Abriba,2002-09-29,1,1,F,french-guyana,US Matoury (French Guyana),Aj Balata Abriba (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
SC Kourou,Aj Saint Georges Cayne,2002-09-29,2,0,F,french-guyana,SC Kourou (French Guyana),Aj Saint Georges Cayne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Etoile Filante Iracoubo,As Saint Elie,2002-09-29,2,1,F,french-guyana,Etoile Filante Iracoubo (French Guyana),As Saint Elie (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Club Colonial,Asl Sport Guyanais,2002-09-29,2,0,F,french-guyana,Club Colonial (French Guyana),Asl Sport Guyanais (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Cosma,Olympique De Cayenne,2002-09-29,1,1,F,french-guyana,Cosma (French Guyana),Olympique De Cayenne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Aj Balata Abriba,SC Kourou,2002-10-12,1,2,F,french-guyana,Aj Balata Abriba (French Guyana),SC Kourou (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Club Colonial,Olympique De Cayenne,2002-10-12,1,4,F,french-guyana,Club Colonial (French Guyana),Olympique De Cayenne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Etoile Filante Iracoubo,US Matoury,2002-10-12,2,2,F,french-guyana,Etoile Filante Iracoubo (French Guyana),US Matoury (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
As Saint Elie,ASC Le Geldar De Kourou,2002-10-12,0,1,F,french-guyana,As Saint Elie (French Guyana),ASC Le Geldar De Kourou (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Aj Saint Georges Cayne,Cosma,2002-10-12,4,4,F,french-guyana,Aj Saint Georges Cayne (French Guyana),Cosma (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Asl Sport Guyanais,US Sinnamary,2002-10-12,2,2,F,french-guyana,Asl Sport Guyanais (French Guyana),US Sinnamary (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Cosma,Asl Sport Guyanais,2002-10-27,0,2,F,french-guyana,Cosma (French Guyana),Asl Sport Guyanais (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
ASC Le Geldar De Kourou,Club Colonial,2002-10-27,0,0,F,french-guyana,ASC Le Geldar De Kourou (French Guyana),Club Colonial (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Etoile Filante Iracoubo,Aj Balata Abriba,2002-10-27,3,2,F,french-guyana,Etoile Filante Iracoubo (French Guyana),Aj Balata Abriba (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Matoury,SC Kourou,2002-10-27,1,0,F,french-guyana,US Matoury (French Guyana),SC Kourou (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Olympique De Cayenne,Aj Saint Georges Cayne,2002-10-27,1,1,F,french-guyana,Olympique De Cayenne (French Guyana),Aj Saint Georges Cayne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
As Saint Elie,US Sinnamary,2002-10-27,3,0,F,french-guyana,As Saint Elie (French Guyana),US Sinnamary (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Club Colonial,Aj Saint Georges Cayne,2002-11-15,0,2,F,french-guyana,Club Colonial (French Guyana),Aj Saint Georges Cayne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Cosma,Aj Balata Abriba,2002-11-15,2,1,F,french-guyana,Cosma (French Guyana),Aj Balata Abriba (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
SC Kourou,ASC Le Geldar De Kourou,2002-11-15,2,1,F,french-guyana,SC Kourou (French Guyana),ASC Le Geldar De Kourou (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Matoury,Olympique De Cayenne,2002-11-15,3,0,F,french-guyana,US Matoury (French Guyana),Olympique De Cayenne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Sinnamary,Etoile Filante Iracoubo,2002-11-15,1,1,F,french-guyana,US Sinnamary (French Guyana),Etoile Filante Iracoubo (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Asl Sport Guyanais,As Saint Elie,2002-11-15,2,6,F,french-guyana,Asl Sport Guyanais (French Guyana),As Saint Elie (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Aj Balata Abriba,As Saint Elie,2002-11-24,1,2,F,french-guyana,Aj Balata Abriba (French Guyana),As Saint Elie (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Cosma,Club Colonial,2002-11-24,3,1,F,french-guyana,Cosma (French Guyana),Club Colonial (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
SC Kourou,Etoile Filante Iracoubo,2002-11-24,3,4,F,french-guyana,SC Kourou (French Guyana),Etoile Filante Iracoubo (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Olympique De Cayenne,ASC Le Geldar De Kourou,2002-11-24,0,4,F,french-guyana,Olympique De Cayenne (French Guyana),ASC Le Geldar De Kourou (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
US Sinnamary,US Matoury,2002-11-24,1,1,F,french-guyana,US Sinnamary (French Guyana),US Matoury (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
Asl Sport Guyanais,Aj Saint Georges Cayne,2002-11-24,0,2,F,french-guyana,Asl Sport Guyanais (French Guyana),Aj Saint Georges Cayne (French Guyana),french-guyana,french-guyana,FGU,FGU,South America,South America,South America,national
