home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Munadji 76,Ao Evizo,2001-02-02,2,1,F,gabon,Munadji 76 (Gabon),Ao Evizo (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Union Sportive Bitam,Cercle Mberi Sportif,2001-02-02,0,3,F,gabon,Union Sportive Bitam (Gabon),Cercle Mberi Sportif (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
CS Stade Dakebe Libreville,Petrosport FC,2001-02-03,0,3,F,gabon,CS Stade Dakebe Libreville (Gabon),Petrosport FC (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Jeunesse Sportive De Libreville,As Scolaire,2001-02-03,5,0,F,gabon,Jeunesse Sportive De Libreville (Gabon),As Scolaire (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Football Canon 105 De Libreville,Aigles De Belinga,2001-02-03,9,1,F,gabon,Football Canon 105 De Libreville (Gabon),Aigles De Belinga (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
USM Libreville,Tp Akwembe,2001-02-03,2,0,F,gabon,USM Libreville (Gabon),Tp Akwembe (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Mangasport,Wongosport,2001-02-03,1,1,F,gabon,Mangasport (Gabon),Wongosport (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Football Canon 105 De Libreville,Union Sportive Bitam,2001-02-09,3,0,F,gabon,Football Canon 105 De Libreville (Gabon),Union Sportive Bitam (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
As Scolaire,Mangasport,2001-02-09,0,0,F,gabon,As Scolaire (Gabon),Mangasport (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Tp Akwembe,Munadji 76,2001-02-10,3,2,F,gabon,Tp Akwembe (Gabon),Munadji 76 (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Cercle Mberi Sportif,Ao Evizo,2001-02-10,1,1,F,gabon,Cercle Mberi Sportif (Gabon),Ao Evizo (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Petrosport FC,Jeunesse Sportive De Libreville,2001-02-10,3,1,F,gabon,Petrosport FC (Gabon),Jeunesse Sportive De Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Aigles De Belinga,CS Stade Dakebe Libreville,2001-02-10,2,2,F,gabon,Aigles De Belinga (Gabon),CS Stade Dakebe Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Wongosport,USM Libreville,2001-02-10,1,1,F,gabon,Wongosport (Gabon),USM Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
CS Stade Dakebe Libreville,Union Sportive Bitam,2001-02-16,1,0,F,gabon,CS Stade Dakebe Libreville (Gabon),Union Sportive Bitam (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Jeunesse Sportive De Libreville,Aigles De Belinga,2001-02-16,2,2,F,gabon,Jeunesse Sportive De Libreville (Gabon),Aigles De Belinga (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Cercle Mberi Sportif,Football Canon 105 De Libreville,2001-02-17,3,2,F,gabon,Cercle Mberi Sportif (Gabon),Football Canon 105 De Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
USM Libreville,As Scolaire,2001-02-17,0,1,F,gabon,USM Libreville (Gabon),As Scolaire (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Mangasport,Petrosport FC,2001-02-17,1,0,F,gabon,Mangasport (Gabon),Petrosport FC (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Ao Evizo,Tp Akwembe,2001-02-17,0,2,F,gabon,Ao Evizo (Gabon),Tp Akwembe (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Munadji 76,Wongosport,2001-02-17,3,0,F,gabon,Munadji 76 (Gabon),Wongosport (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
CS Stade Dakebe Libreville,Football Canon 105 De Libreville,2001-02-24,2,5,F,gabon,CS Stade Dakebe Libreville (Gabon),Football Canon 105 De Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Tp Akwembe,Cercle Mberi Sportif,2001-02-24,1,1,F,gabon,Tp Akwembe (Gabon),Cercle Mberi Sportif (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Mangasport,Aigles De Belinga,2001-02-24,1,0,F,gabon,Mangasport (Gabon),Aigles De Belinga (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Petrosport FC,USM Libreville,2001-02-24,0,0,F,gabon,Petrosport FC (Gabon),USM Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Munadji 76,As Scolaire,2001-02-24,2,1,F,gabon,Munadji 76 (Gabon),As Scolaire (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Wongosport,Ao Evizo,2001-02-24,1,0,F,gabon,Wongosport (Gabon),Ao Evizo (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Union Sportive Bitam,Jeunesse Sportive De Libreville,2001-02-24,1,1,F,gabon,Union Sportive Bitam (Gabon),Jeunesse Sportive De Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
As Scolaire,Petrosport FC,2001-03-02,0,2,F,gabon,As Scolaire (Gabon),Petrosport FC (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
CS Stade Dakebe Libreville,Munadji 76,2001-03-02,2,0,F,gabon,CS Stade Dakebe Libreville (Gabon),Munadji 76 (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
USM Libreville,Jeunesse Sportive De Libreville,2001-03-03,1,1,F,gabon,USM Libreville (Gabon),Jeunesse Sportive De Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Tp Akwembe,Union Sportive Bitam,2001-03-03,1,1,F,gabon,Tp Akwembe (Gabon),Union Sportive Bitam (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Ao Evizo,Football Canon 105 De Libreville,2001-03-03,0,2,F,gabon,Ao Evizo (Gabon),Football Canon 105 De Libreville (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
Aigles De Belinga,Wongosport,2001-03-03,1,2,F,gabon,Aigles De Belinga (Gabon),Wongosport (Gabon),gabon,gabon,GA,GA,Africa,Africa,Africa,national
