home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Real De Banjul FC,Tallinding United,2003-12-18,0,0,F,gambia,Real De Banjul FC (Gambia),Tallinding United (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Armed Forces,Steve Biko FC,2003-12-19,4,2,F,gambia,Armed Forces (Gambia),Steve Biko FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Wallidan,Bakau United FC,2003-12-20,3,1,F,gambia,Wallidan (Gambia),Bakau United FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Sait Matty,Starlight,2003-12-21,3,2,F,gambia,Sait Matty (Gambia),Starlight (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Hawks FC,Gambia Ports Authority FC,2003-12-21,2,1,F,gambia,Hawks FC (Gambia),Gambia Ports Authority FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Gambia Ports Authority FC,Bakau United FC,2003-12-26,3,0,F,gambia,Gambia Ports Authority FC (Gambia),Bakau United FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Real De Banjul FC,Armed Forces,2003-12-27,1,0,F,gambia,Real De Banjul FC (Gambia),Armed Forces (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Steve Biko FC,Tallinding United,2003-12-28,2,0,F,gambia,Steve Biko FC (Gambia),Tallinding United (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Starlight,Wallidan,2003-12-28,1,4,F,gambia,Starlight (Gambia),Wallidan (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Tallinding United,Bakau United FC,2004-01-02,2,2,F,gambia,Tallinding United (Gambia),Bakau United FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Hawks FC,Starlight,2004-01-03,3,0,F,gambia,Hawks FC (Gambia),Starlight (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Real De Banjul FC,Gambia Ports Authority FC,2004-01-04,0,0,F,gambia,Real De Banjul FC (Gambia),Gambia Ports Authority FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Armed Forces,Sait Matty,2004-01-04,2,1,F,gambia,Armed Forces (Gambia),Sait Matty (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Hawks FC,Real De Banjul FC,2004-01-08,1,0,F,gambia,Hawks FC (Gambia),Real De Banjul FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Steve Biko FC,Starlight,2004-01-09,2,1,F,gambia,Steve Biko FC (Gambia),Starlight (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Bakau United FC,Armed Forces,2004-01-10,1,0,F,gambia,Bakau United FC (Gambia),Armed Forces (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Sait Matty,Tallinding United,2004-01-11,2,1,F,gambia,Sait Matty (Gambia),Tallinding United (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Gambia Ports Authority FC,Wallidan,2004-01-11,1,1,F,gambia,Gambia Ports Authority FC (Gambia),Wallidan (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Gambia Ports Authority FC,Steve Biko FC,2004-01-15,0,2,F,gambia,Gambia Ports Authority FC (Gambia),Steve Biko FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Real De Banjul FC,Sait Matty,2004-01-16,1,1,F,gambia,Real De Banjul FC (Gambia),Sait Matty (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Armed Forces,Wallidan,2004-01-17,0,0,F,gambia,Armed Forces (Gambia),Wallidan (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Bakau United FC,Hawks FC,2004-01-18,1,0,F,gambia,Bakau United FC (Gambia),Hawks FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Tallinding United,Starlight,2004-01-18,1,2,F,gambia,Tallinding United (Gambia),Starlight (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Sait Matty,Wallidan,2004-01-21,0,1,F,gambia,Sait Matty (Gambia),Wallidan (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Hawks FC,Tallinding United,2004-01-22,1,0,F,gambia,Hawks FC (Gambia),Tallinding United (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Real De Banjul FC,Starlight,2004-01-23,0,1,F,gambia,Real De Banjul FC (Gambia),Starlight (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Armed Forces,Gambia Ports Authority FC,2004-01-24,1,2,F,gambia,Armed Forces (Gambia),Gambia Ports Authority FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Bakau United FC,Steve Biko FC,2004-01-25,0,1,F,gambia,Bakau United FC (Gambia),Steve Biko FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Sait Matty,Hawks FC,2004-01-29,0,3,F,gambia,Sait Matty (Gambia),Hawks FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Wallidan,Steve Biko FC,2004-01-30,2,1,F,gambia,Wallidan (Gambia),Steve Biko FC (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
Armed Forces,Tallinding United,2004-02-04,3,0,F,gambia,Armed Forces (Gambia),Tallinding United (Gambia),gambia,gambia,GM,GM,Africa,Africa,Africa,national
