home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Dinamo Tbilisi,Kolkheti Poti,1990-03-30,0,1,F,georgia,Dinamo Tbilisi (Georgia),Kolkheti Poti (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
Dinamo Batumi,Metalurgi Rustavi,1990-03-31,1,0,F,georgia,Dinamo Batumi (Georgia),Metalurgi Rustavi (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
Guria Lanchkhuti,Dila Gori,1990-03-31,1,0,F,georgia,Guria Lanchkhuti (Georgia),Dila Gori (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
FC Shevardeni 1906 Tbilisi,FC Tskhumi Sukhumi,1990-03-31,1,1,F,georgia,FC Shevardeni 1906 Tbilisi (Georgia),FC Tskhumi Sukhumi (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
FK Kolkheti Khobi,FC Samgurali,1990-03-31,3,1,F,georgia,FK Kolkheti Khobi (Georgia),FC Samgurali (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
Torpedo Kutaisi,Dinamo Zugdidi,1990-03-31,2,1,F,georgia,Torpedo Kutaisi (Georgia),Dinamo Zugdidi (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
Mziuri Gali,FC Iveria Khashuri,1990-03-31,1,0,F,georgia,Mziuri Gali (Georgia),FC Iveria Khashuri (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
FC Mertskhali Ozurgeti,Amirani Ochamchire,1990-03-31,1,0,F,georgia,FC Mertskhali Ozurgeti (Georgia),Amirani Ochamchire (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
FC Samtredia,Spartaki Tskhinvali,1990-03-31,3,0,F,georgia,FC Samtredia (Georgia),Spartaki Tskhinvali (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
FK Kolkheti Khobi,FC Tskhumi Sukhumi,1990-04-04,1,0,F,georgia,FK Kolkheti Khobi (Georgia),FC Tskhumi Sukhumi (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
FC Samgurali,FC Iveria Khashuri,1990-04-04,0,1,F,georgia,FC Samgurali (Georgia),FC Iveria Khashuri (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
Dinamo Zugdidi,FC Mertskhali Ozurgeti,1990-04-04,0,0,F,georgia,Dinamo Zugdidi (Georgia),FC Mertskhali Ozurgeti (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
FC Shevardeni 1906 Tbilisi,Torpedo Kutaisi,1990-04-04,1,3,F,georgia,FC Shevardeni 1906 Tbilisi (Georgia),Torpedo Kutaisi (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
Mziuri Gali,Kolkheti Poti,1990-04-04,0,4,F,georgia,Mziuri Gali (Georgia),Kolkheti Poti (Georgia),georgia,georgia,GE,GE,Europe,Europe,Europe,national
