home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Asante Kotoko,Brong Ahafo Stars,2004-05-23,4,1,F,ghana,Asante Kotoko (Ghana),Brong Ahafo Stars (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Berekum Arsenal FC,Okwawu United,2004-05-23,1,0,F,ghana,Berekum Arsenal FC (Ghana),Okwawu United (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Real Tamale United,King Faisal,2004-05-23,0,2,F,ghana,Real Tamale United (Ghana),King Faisal (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Hearts Of Oak,Liberty Professionals FC,2004-05-23,3,0,F,ghana,Hearts Of Oak (Ghana),Liberty Professionals FC (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Real Sportive,Accra Great Olympics,2004-05-23,1,1,F,ghana,Real Sportive (Ghana),Accra Great Olympics (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Sekondi Hasaacas FC,Power FC,2004-05-23,0,0,F,ghana,Sekondi Hasaacas FC (Ghana),Power FC (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Bofoakwe Tano FC,Ashanti Gold,2004-05-30,0,0,F,ghana,Bofoakwe Tano FC (Ghana),Ashanti Gold (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Feyenoord Ghana,Heart Of Lions,2004-05-30,0,1,F,ghana,Feyenoord Ghana (Ghana),Heart Of Lions (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Okwawu United,Bofoakwe Tano FC,2004-06-09,1,0,F,ghana,Okwawu United (Ghana),Bofoakwe Tano FC (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Ashanti Gold,Asante Kotoko,2004-06-09,4,1,F,ghana,Ashanti Gold (Ghana),Asante Kotoko (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
King Faisal,Berekum Arsenal FC,2004-06-09,2,1,F,ghana,King Faisal (Ghana),Berekum Arsenal FC (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Brong Ahafo Stars,Real Tamale United,2004-06-09,2,3,F,ghana,Brong Ahafo Stars (Ghana),Real Tamale United (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Heart Of Lions,Sekondi Hasaacas FC,2004-06-09,1,0,F,ghana,Heart Of Lions (Ghana),Sekondi Hasaacas FC (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Power FC,Hearts Of Oak,2004-06-09,2,3,F,ghana,Power FC (Ghana),Hearts Of Oak (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
Accra Great Olympics,Feyenoord Ghana,2004-06-09,0,1,F,ghana,Accra Great Olympics (Ghana),Feyenoord Ghana (Ghana),ghana,ghana,GH,GH,Africa,Africa,Africa,national
