home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Glacis United,St Josephs FC,2000-10-14,5,2,F,gibraltar,Glacis United (Gibraltar),St Josephs FC (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Pegasus FC,Manchester Eurobet,2000-10-14,0,5,F,gibraltar,Pegasus FC (Gibraltar),Manchester Eurobet (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Gibraltar United,Lincoln Red Imps,2000-10-16,3,4,F,gibraltar,Gibraltar United (Gibraltar),Lincoln Red Imps (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Manchester Eurobet,Gibraltar United,2000-10-21,0,0,F,gibraltar,Manchester Eurobet (Gibraltar),Gibraltar United (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
St Josephs FC,Pegasus FC,2000-10-21,6,5,F,gibraltar,St Josephs FC (Gibraltar),Pegasus FC (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Lions FC,Glacis United,2000-10-23,0,4,F,gibraltar,Lions FC (Gibraltar),Glacis United (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Manchester Eurobet,Lincoln Red Imps,2000-10-28,0,0,F,gibraltar,Manchester Eurobet (Gibraltar),Lincoln Red Imps (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Lions FC,St Josephs FC,2000-10-28,2,4,F,gibraltar,Lions FC (Gibraltar),St Josephs FC (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Pegasus FC,Glacis United,2000-10-30,1,4,F,gibraltar,Pegasus FC (Gibraltar),Glacis United (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
Pegasus FC,Lions FC,2000-11-04,1,3,F,gibraltar,Pegasus FC (Gibraltar),Lions FC (Gibraltar),gibraltar,gibraltar,GI,GI,Europe,Europe,Europe,national
