home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ofi Heraklion FC,Panahaiki 2005,1987-09-06,5,1,FALSE,greece,Ofi Heraklion FC (Greece),Panahaiki 2005 (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panathinaikos FC,Levadiakos FC,1987-09-06,2,1,FALSE,greece,Panathinaikos FC (Greece),Levadiakos FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panserraikos FC,Apollon Kalamaria FC,1987-09-06,3,0,FALSE,greece,Panserraikos FC (Greece),Apollon Kalamaria FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Paok FC,Aek Athens FC,1987-09-06,2,2,FALSE,greece,Paok FC (Greece),Aek Athens FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Iraklis Thessaloniki FC,Panionios Nfc,1987-09-06,0,3,FALSE,greece,Iraklis Thessaloniki FC (Greece),Panionios Nfc (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Pae Ethnikos Pireaus,Veria FC,1987-09-06,1,0,FALSE,greece,Pae Ethnikos Pireaus (Greece),Veria FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Ae Larisa,Olympiakos Cfp,1987-09-06,3,1,FALSE,greece,Ae Larisa (Greece),Olympiakos Cfp (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Diagoras Gs Rodos,Aris Thessaloniki FC,1987-09-06,1,3,FALSE,greece,Diagoras Gs Rodos (Greece),Aris Thessaloniki FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Aris Thessaloniki FC,Ofi Heraklion FC,1987-09-13,3,1,FALSE,greece,Aris Thessaloniki FC (Greece),Ofi Heraklion FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Levadiakos FC,Pae Ethnikos Pireaus,1987-09-13,0,2,FALSE,greece,Levadiakos FC (Greece),Pae Ethnikos Pireaus (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Olympiakos Cfp,Aek Athens FC,1987-09-13,2,2,FALSE,greece,Olympiakos Cfp (Greece),Aek Athens FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panionios Nfc,Paok FC,1987-09-13,1,1,FALSE,greece,Panionios Nfc (Greece),Paok FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Veria FC,Iraklis Thessaloniki FC,1987-09-13,2,1,FALSE,greece,Veria FC (Greece),Iraklis Thessaloniki FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panahaiki 2005,Ae Larisa,1987-09-13,1,3,FALSE,greece,Panahaiki 2005 (Greece),Ae Larisa (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Diagoras Gs Rodos,Panserraikos FC,1987-09-13,0,2,FALSE,greece,Diagoras Gs Rodos (Greece),Panserraikos FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Apollon Kalamaria FC,Panathinaikos FC,1987-09-13,1,0,FALSE,greece,Apollon Kalamaria FC (Greece),Panathinaikos FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Aek Athens FC,Panahaiki 2005,1987-09-27,3,2,FALSE,greece,Aek Athens FC (Greece),Panahaiki 2005 (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Paok FC,Veria FC,1987-09-27,5,1,FALSE,greece,Paok FC (Greece),Veria FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Olympiakos Cfp,Panionios Nfc,1987-09-27,1,1,FALSE,greece,Olympiakos Cfp (Greece),Panionios Nfc (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Ae Larisa,Aris Thessaloniki FC,1987-09-27,3,1,FALSE,greece,Ae Larisa (Greece),Aris Thessaloniki FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Pae Ethnikos Pireaus,Apollon Kalamaria FC,1987-09-27,1,1,FALSE,greece,Pae Ethnikos Pireaus (Greece),Apollon Kalamaria FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Ofi Heraklion FC,Diagoras Gs Rodos,1987-09-27,2,1,FALSE,greece,Ofi Heraklion FC (Greece),Diagoras Gs Rodos (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Iraklis Thessaloniki FC,Levadiakos FC,1987-09-27,1,1,FALSE,greece,Iraklis Thessaloniki FC (Greece),Levadiakos FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panserraikos FC,Panathinaikos FC,1987-09-27,1,0,FALSE,greece,Panserraikos FC (Greece),Panathinaikos FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Apollon Kalamaria FC,Iraklis Thessaloniki FC,1987-10-04,2,0,FALSE,greece,Apollon Kalamaria FC (Greece),Iraklis Thessaloniki FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Aris Thessaloniki FC,Aek Athens FC,1987-10-04,4,1,FALSE,greece,Aris Thessaloniki FC (Greece),Aek Athens FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Levadiakos FC,Paok FC,1987-10-04,4,2,FALSE,greece,Levadiakos FC (Greece),Paok FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Diagoras Gs Rodos,Ae Larisa,1987-10-04,0,0,FALSE,greece,Diagoras Gs Rodos (Greece),Ae Larisa (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panahaiki 2005,Panionios Nfc,1987-10-04,2,1,FALSE,greece,Panahaiki 2005 (Greece),Panionios Nfc (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Veria FC,Olympiakos Cfp,1987-10-04,1,0,FALSE,greece,Veria FC (Greece),Olympiakos Cfp (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panathinaikos FC,Pae Ethnikos Pireaus,1987-10-04,1,0,FALSE,greece,Panathinaikos FC (Greece),Pae Ethnikos Pireaus (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Ofi Heraklion FC,Panserraikos FC,1987-10-04,1,0,FALSE,greece,Ofi Heraklion FC (Greece),Panserraikos FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Iraklis Thessaloniki FC,Panathinaikos FC,1987-10-18,0,0,FALSE,greece,Iraklis Thessaloniki FC (Greece),Panathinaikos FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Panionios Nfc,Aris Thessaloniki FC,1987-10-18,2,0,FALSE,greece,Panionios Nfc (Greece),Aris Thessaloniki FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Aek Athens FC,Diagoras Gs Rodos,1987-10-18,4,0,FALSE,greece,Aek Athens FC (Greece),Diagoras Gs Rodos (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
Ae Larisa,Ofi Heraklion FC,1987-10-18,3,1,FALSE,greece,Ae Larisa (Greece),Ofi Heraklion FC (Greece),greece,greece,GR,GR,Europe,Europe,Europe,national
