home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Carib Hurricane,Chantimelle,2007-06-17,4,0,F,grenada,Carib Hurricane (Grenada),Chantimelle (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Fontenoy United,Queens Park Rangers,2007-06-24,1,1,F,grenada,Fontenoy United (Grenada),Queens Park Rangers (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Eagles Super Strikers,South Stars,2007-06-24,5,5,F,grenada,Eagles Super Strikers (Grenada),South Stars (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Grenada Boys Secondary School,Police,2007-06-24,2,0,F,grenada,Grenada Boys Secondary School (Grenada),Police (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Hard Rock,Asoms Paradise,2007-06-24,0,2,F,grenada,Hard Rock (Grenada),Asoms Paradise (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Asoms Paradise,Eagles Super Strikers,2007-06-27,2,1,F,grenada,Asoms Paradise (Grenada),Eagles Super Strikers (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Police,Hard Rock,2007-06-27,2,3,F,grenada,Police (Grenada),Hard Rock (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Queens Park Rangers,Grenada Boys Secondary School,2007-06-27,0,0,F,grenada,Queens Park Rangers (Grenada),Grenada Boys Secondary School (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
South Stars,Carib Hurricane,2007-06-28,0,3,F,grenada,South Stars (Grenada),Carib Hurricane (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Fontenoy United,Carib Hurricane,2007-07-01,0,0,F,grenada,Fontenoy United (Grenada),Carib Hurricane (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Asoms Paradise,South Stars,2007-07-01,3,2,F,grenada,Asoms Paradise (Grenada),South Stars (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
Grenada Boys Secondary School,Chantimelle,2007-07-01,1,1,F,grenada,Grenada Boys Secondary School (Grenada),Chantimelle (Grenada),grenada,grenada,GD,GD,North America,North America,North America,national
