home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Red Star,Juventus De Sainte Anne,2001-09-09,0,0,F,guadeloupe,Red Star (Guadeloupe),Juventus De Sainte Anne (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
US Ansoise,As Dragon,2001-09-09,0,2,F,guadeloupe,US Ansoise (Guadeloupe),As Dragon (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Arsenal,Siroco Les Abymes,2001-09-09,4,0,F,guadeloupe,Arsenal (Guadeloupe),Siroco Les Abymes (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Racing Club,Phare Du Canal,2001-09-09,2,2,F,guadeloupe,Racing Club (Guadeloupe),Phare Du Canal (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Asociation Sportive Gosier,Fregate,2001-09-09,0,0,F,guadeloupe,Asociation Sportive Gosier (Guadeloupe),Fregate (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Ajcs,Etoile Morne A L Eau,2001-09-09,0,4,F,guadeloupe,Ajcs (Guadeloupe),Etoile Morne A L Eau (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Etoile Morne A L Eau,Asociation Sportive Gosier,2001-09-14,1,0,F,guadeloupe,Etoile Morne A L Eau (Guadeloupe),Asociation Sportive Gosier (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Fregate,US Ansoise,2001-09-14,4,1,F,guadeloupe,Fregate (Guadeloupe),US Ansoise (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Phare Du Canal,Arsenal,2001-09-14,1,1,F,guadeloupe,Phare Du Canal (Guadeloupe),Arsenal (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Siroco Les Abymes,Ajcs,2001-09-14,1,0,F,guadeloupe,Siroco Les Abymes (Guadeloupe),Ajcs (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Juventus De Sainte Anne,Racing Club,2001-09-14,1,2,F,guadeloupe,Juventus De Sainte Anne (Guadeloupe),Racing Club (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
As Dragon,Red Star,2001-09-14,0,1,F,guadeloupe,As Dragon (Guadeloupe),Red Star (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Asociation Sportive Gosier,Siroco Les Abymes,2001-09-30,0,0,F,guadeloupe,Asociation Sportive Gosier (Guadeloupe),Siroco Les Abymes (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Fregate,Etoile Morne A L Eau,2001-09-30,1,1,F,guadeloupe,Fregate (Guadeloupe),Etoile Morne A L Eau (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Arsenal,Juventus De Sainte Anne,2001-09-30,1,0,F,guadeloupe,Arsenal (Guadeloupe),Juventus De Sainte Anne (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Ajcs,Phare Du Canal,2001-09-30,2,3,F,guadeloupe,Ajcs (Guadeloupe),Phare Du Canal (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Racing Club,As Dragon,2001-09-30,2,0,F,guadeloupe,Racing Club (Guadeloupe),As Dragon (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Red Star,US Ansoise,2001-09-30,2,1,F,guadeloupe,Red Star (Guadeloupe),US Ansoise (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Phare Du Canal,Asociation Sportive Gosier,2001-10-14,0,0,F,guadeloupe,Phare Du Canal (Guadeloupe),Asociation Sportive Gosier (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
As Dragon,Arsenal,2001-10-14,2,1,F,guadeloupe,As Dragon (Guadeloupe),Arsenal (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Juventus De Sainte Anne,Ajcs,2001-10-14,1,1,F,guadeloupe,Juventus De Sainte Anne (Guadeloupe),Ajcs (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
US Ansoise,Racing Club,2001-10-14,0,3,F,guadeloupe,US Ansoise (Guadeloupe),Racing Club (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Red Star,Fregate,2001-10-14,3,5,F,guadeloupe,Red Star (Guadeloupe),Fregate (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Siroco Les Abymes,Etoile Morne A L Eau,2001-10-14,2,2,F,guadeloupe,Siroco Les Abymes (Guadeloupe),Etoile Morne A L Eau (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Racing Club,Red Star,2001-10-28,6,2,F,guadeloupe,Racing Club (Guadeloupe),Red Star (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Etoile Morne A L Eau,Phare Du Canal,2001-10-28,1,1,F,guadeloupe,Etoile Morne A L Eau (Guadeloupe),Phare Du Canal (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Arsenal,US Ansoise,2001-10-28,0,0,F,guadeloupe,Arsenal (Guadeloupe),US Ansoise (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Ajcs,As Dragon,2001-10-28,1,2,F,guadeloupe,Ajcs (Guadeloupe),As Dragon (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Fregate,Siroco Les Abymes,2001-10-28,1,1,F,guadeloupe,Fregate (Guadeloupe),Siroco Les Abymes (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Asociation Sportive Gosier,Juventus De Sainte Anne,2001-10-28,1,1,F,guadeloupe,Asociation Sportive Gosier (Guadeloupe),Juventus De Sainte Anne (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Racing Club,Fregate,2001-11-11,2,2,F,guadeloupe,Racing Club (Guadeloupe),Fregate (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Juventus De Sainte Anne,Etoile Morne A L Eau,2001-11-11,0,1,F,guadeloupe,Juventus De Sainte Anne (Guadeloupe),Etoile Morne A L Eau (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Red Star,Arsenal,2001-11-11,0,1,F,guadeloupe,Red Star (Guadeloupe),Arsenal (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
US Ansoise,Ajcs,2001-11-11,2,1,F,guadeloupe,US Ansoise (Guadeloupe),Ajcs (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Phare Du Canal,Siroco Les Abymes,2001-11-11,2,2,F,guadeloupe,Phare Du Canal (Guadeloupe),Siroco Les Abymes (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
As Dragon,Asociation Sportive Gosier,2001-11-11,2,0,F,guadeloupe,As Dragon (Guadeloupe),Asociation Sportive Gosier (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Arsenal,Racing Club,2001-11-18,0,1,F,guadeloupe,Arsenal (Guadeloupe),Racing Club (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Siroco Les Abymes,Juventus De Sainte Anne,2001-11-18,2,2,F,guadeloupe,Siroco Les Abymes (Guadeloupe),Juventus De Sainte Anne (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Ajcs,Red Star,2001-11-18,3,5,F,guadeloupe,Ajcs (Guadeloupe),Red Star (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Asociation Sportive Gosier,US Ansoise,2001-11-18,1,0,F,guadeloupe,Asociation Sportive Gosier (Guadeloupe),US Ansoise (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Etoile Morne A L Eau,As Dragon,2001-11-18,2,1,F,guadeloupe,Etoile Morne A L Eau (Guadeloupe),As Dragon (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Racing Club,Ajcs,2001-11-25,2,0,F,guadeloupe,Racing Club (Guadeloupe),Ajcs (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Juventus De Sainte Anne,Phare Du Canal,2001-11-25,2,2,F,guadeloupe,Juventus De Sainte Anne (Guadeloupe),Phare Du Canal (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
Red Star,Asociation Sportive Gosier,2001-11-25,0,0,F,guadeloupe,Red Star (Guadeloupe),Asociation Sportive Gosier (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
US Ansoise,Etoile Morne A L Eau,2001-11-25,1,0,F,guadeloupe,US Ansoise (Guadeloupe),Etoile Morne A L Eau (Guadeloupe),guadeloupe,guadeloupe,GP,GP,North America,North America,North America,national
