home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Guam Shipyard,No Ka Oi,2006-02-18,9,2,F,guam,Guam Shipyard (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Guam Shipyard,2006-03-08,2,1,F,guam,Quality Distributors (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Quality Distributors,2006-03-15,0,4,F,guam,No Ka Oi (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Quality Distributors,2006-04-12,4,1,F,guam,Guam Shipyard (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Quality Distributors,2006-04-19,2,3,F,guam,No Ka Oi (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,No Ka Oi,2006-04-26,6,0,F,guam,Guam Shipyard (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Guam Shipyard,2006-05-03,2,0,F,guam,Quality Distributors (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Guam Shipyard,2006-05-06,0,24,F,guam,No Ka Oi (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Paintco Strykers,2006-09-30,4,1,F,guam,Bank Of Guam Crushers (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Guam Shipyard,2006-09-30,2,2,F,guam,Quality Distributors (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Bank Of Guam Crushers,2006-10-07,2,1,F,guam,Quality Distributors (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Paintco Strykers,2006-10-07,3,5,F,guam,No Ka Oi (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Quality Distributors,2006-10-14,2,5,F,guam,Paintco Strykers (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,No Ka Oi,2006-10-14,6,5,F,guam,Guam Shipyard (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Quality Distributors,2006-10-21,1,9,F,guam,No Ka Oi (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Bank Of Guam Crushers,2006-10-21,4,0,F,guam,Guam Shipyard (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Guam Shipyard,2006-10-28,3,2,F,guam,Paintco Strykers (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,No Ka Oi,2006-10-28,3,3,F,guam,Bank Of Guam Crushers (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Quality Distributors,2006-11-04,0,2,F,guam,Guam Shipyard (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Bank Of Guam Crushers,2006-11-04,3,1,F,guam,Paintco Strykers (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Quality Distributors,2006-11-11,0,1,F,guam,Bank Of Guam Crushers (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,No Ka Oi,2006-11-11,4,2,F,guam,Paintco Strykers (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Paintco Strykers,2006-11-18,6,1,F,guam,Quality Distributors (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Guam Shipyard,2006-11-18,1,4,F,guam,No Ka Oi (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,No Ka Oi,2006-11-25,12,3,F,guam,Quality Distributors (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Guam Shipyard,2006-11-25,0,3,F,guam,Bank Of Guam Crushers (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Paintco Strykers,2006-12-02,3,1,F,guam,Guam Shipyard (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Bank Of Guam Crushers,2006-12-02,3,8,F,guam,No Ka Oi (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Paintco Strykers,2006-12-09,5,5,F,guam,Bank Of Guam Crushers (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Guam Shipyard,2006-12-09,0,2,F,guam,Quality Distributors (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Bank Of Guam Crushers,2006-12-16,2,1,F,guam,Quality Distributors (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Paintco Strykers,2006-12-16,4,7,F,guam,No Ka Oi (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Quality Distributors,2007-01-06,0,6,F,guam,Paintco Strykers (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,No Ka Oi,2007-01-06,5,1,F,guam,Guam Shipyard (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Quality Distributors,2007-01-13,1,4,F,guam,No Ka Oi (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Bank Of Guam Crushers,2007-01-13,6,1,F,guam,Guam Shipyard (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Guam Shipyard,2007-01-20,0,2,F,guam,Paintco Strykers (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,No Ka Oi,2007-01-20,4,3,F,guam,Bank Of Guam Crushers (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Quality Distributors,2007-01-27,3,4,F,guam,Guam Shipyard (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Bank Of Guam Crushers,2007-01-27,4,6,F,guam,Paintco Strykers (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Quality Distributors,2007-02-03,3,2,F,guam,Bank Of Guam Crushers (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,No Ka Oi,2007-02-03,2,7,F,guam,Paintco Strykers (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Paintco Strykers,2007-02-10,2,1,F,guam,Quality Distributors (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Guam Shipyard,2007-02-10,2,4,F,guam,No Ka Oi (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,No Ka Oi,2007-02-17,6,0,F,guam,Quality Distributors (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Guam Shipyard,2007-02-17,3,3,F,guam,Bank Of Guam Crushers (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Paintco Strykers,2007-02-24,5,2,F,guam,Guam Shipyard (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Bank Of Guam Crushers,2007-02-24,2,5,F,guam,No Ka Oi (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Paintco Strykers,2007-03-02,2,4,F,guam,Bank Of Guam Crushers (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Guam Shipyard,2007-03-02,2,2,F,guam,Quality Distributors (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Quality Distributors,Bank Of Guam Crushers,2007-03-09,1,2,F,guam,Quality Distributors (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Paintco Strykers,2007-03-09,3,6,F,guam,No Ka Oi (Guam),Paintco Strykers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Quality Distributors,2007-03-16,1,1,F,guam,Paintco Strykers (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,No Ka Oi,2007-03-16,4,1,F,guam,Guam Shipyard (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Quality Distributors,2007-03-30,1,12,F,guam,No Ka Oi (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Bank Of Guam Crushers,2007-03-30,3,1,F,guam,Guam Shipyard (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Guam Shipyard,2007-04-06,1,2,F,guam,Paintco Strykers (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,No Ka Oi,2007-04-06,2,9,F,guam,Bank Of Guam Crushers (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,No Ka Oi,2008-09-21,9,2,F,guam,Paintco Strykers (Guam),No Ka Oi (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Wild Bills Ii,Guam Shipyard,2008-09-21,0,5,F,guam,Wild Bills Ii (Guam),Guam Shipyard (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Bank Of Guam Crushers,Quality Distributors,2008-09-21,0,4,F,guam,Bank Of Guam Crushers (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Paintco Strykers,Quality Distributors,2008-09-28,1,9,F,guam,Paintco Strykers (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Guam Shipyard,Bank Of Guam Crushers,2008-09-28,1,2,F,guam,Guam Shipyard (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Wild Bills Ii,2008-09-28,3,7,F,guam,No Ka Oi (Guam),Wild Bills Ii (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
Wild Bills Ii,Bank Of Guam Crushers,2008-10-05,2,3,F,guam,Wild Bills Ii (Guam),Bank Of Guam Crushers (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
No Ka Oi,Quality Distributors,2008-10-05,0,8,F,guam,No Ka Oi (Guam),Quality Distributors (Guam),guam,guam,GU,GU,Oceania,Oceania,Oceania,national
