home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
CSd Municipal,Aurora Futbol Club,2000-07-29,2,0,F,guatemala,CSd Municipal (Guatemala),Aurora Futbol Club (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Xelaju MC,Club Deportivo Zacapa,2000-07-29,1,0,F,guatemala,Xelaju MC (Guatemala),Club Deportivo Zacapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Universidad De San Carlos,Carcha,2000-07-30,2,0,F,guatemala,Universidad De San Carlos (Guatemala),Carcha (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CD Malacateco,Antigua Gfc,2000-07-30,2,0,F,guatemala,CD Malacateco (Guatemala),Antigua Gfc (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Coban Imperial,Santa Lucia Cotz,2000-07-30,2,0,F,guatemala,Coban Imperial (Guatemala),Santa Lucia Cotz (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Achuapa,CSd Comunicaciones,2000-07-30,2,2,F,guatemala,Achuapa (Guatemala),CSd Comunicaciones (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Aurora Futbol Club,Coban Imperial,2000-08-05,0,0,F,guatemala,Aurora Futbol Club (Guatemala),Coban Imperial (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Comunicaciones,Universidad De San Carlos,2000-08-05,1,0,F,guatemala,CSd Comunicaciones (Guatemala),Universidad De San Carlos (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Santa Lucia Cotz,Xelaju MC,2000-08-06,1,1,F,guatemala,Santa Lucia Cotz (Guatemala),Xelaju MC (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Carcha,CD Malacateco,2000-08-06,0,1,F,guatemala,Carcha (Guatemala),CD Malacateco (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Antigua Gfc,Achuapa,2000-08-06,1,1,F,guatemala,Antigua Gfc (Guatemala),Achuapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Universidad De San Carlos,Achuapa,2000-08-19,1,1,F,guatemala,Universidad De San Carlos (Guatemala),Achuapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Xelaju MC,Coban Imperial,2000-08-19,1,0,F,guatemala,Xelaju MC (Guatemala),Coban Imperial (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Club Deportivo Zacapa,Aurora Futbol Club,2000-08-20,3,2,F,guatemala,Club Deportivo Zacapa (Guatemala),Aurora Futbol Club (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Municipal,Santa Lucia Cotz,2000-08-20,6,1,F,guatemala,CSd Municipal (Guatemala),Santa Lucia Cotz (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Carcha,Antigua Gfc,2000-08-20,1,0,F,guatemala,Carcha (Guatemala),Antigua Gfc (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CD Malacateco,CSd Comunicaciones,2000-08-20,1,3,F,guatemala,CD Malacateco (Guatemala),CSd Comunicaciones (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Universidad De San Carlos,CD Malacateco,2000-08-26,4,0,F,guatemala,Universidad De San Carlos (Guatemala),CD Malacateco (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Xelaju MC,CSd Municipal,2000-08-26,1,1,F,guatemala,Xelaju MC (Guatemala),CSd Municipal (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Santa Lucia Cotz,Aurora Futbol Club,2000-08-27,3,4,F,guatemala,Santa Lucia Cotz (Guatemala),Aurora Futbol Club (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Coban Imperial,Club Deportivo Zacapa,2000-08-27,3,1,F,guatemala,Coban Imperial (Guatemala),Club Deportivo Zacapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Achuapa,Carcha,2000-08-27,1,0,F,guatemala,Achuapa (Guatemala),Carcha (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Antigua Gfc,Universidad De San Carlos,2000-09-02,2,0,F,guatemala,Antigua Gfc (Guatemala),Universidad De San Carlos (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CD Malacateco,Achuapa,2000-09-02,2,1,F,guatemala,CD Malacateco (Guatemala),Achuapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Club Deportivo Zacapa,Santa Lucia Cotz,2000-09-02,3,0,F,guatemala,Club Deportivo Zacapa (Guatemala),Santa Lucia Cotz (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Aurora Futbol Club,Xelaju MC,2000-09-06,1,1,F,guatemala,Aurora Futbol Club (Guatemala),Xelaju MC (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Municipal,Coban Imperial,2000-09-06,4,0,F,guatemala,CSd Municipal (Guatemala),Coban Imperial (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Carcha,CSd Comunicaciones,2000-09-06,0,2,F,guatemala,Carcha (Guatemala),CSd Comunicaciones (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Antigua Gfc,Aurora Futbol Club,2000-09-09,2,0,F,guatemala,Antigua Gfc (Guatemala),Aurora Futbol Club (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Universidad De San Carlos,Xelaju MC,2000-09-09,2,1,F,guatemala,Universidad De San Carlos (Guatemala),Xelaju MC (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Club Deportivo Zacapa,Carcha,2000-09-10,5,1,F,guatemala,Club Deportivo Zacapa (Guatemala),Carcha (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Coban Imperial,Achuapa,2000-09-10,3,1,F,guatemala,Coban Imperial (Guatemala),Achuapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Municipal,CD Malacateco,2000-09-10,2,0,F,guatemala,CSd Municipal (Guatemala),CD Malacateco (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Santa Lucia Cotz,CSd Comunicaciones,2000-09-10,2,4,F,guatemala,Santa Lucia Cotz (Guatemala),CSd Comunicaciones (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Municipal,Club Deportivo Zacapa,2000-09-13,2,1,F,guatemala,CSd Municipal (Guatemala),Club Deportivo Zacapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Comunicaciones,Antigua Gfc,2000-09-13,2,1,F,guatemala,CSd Comunicaciones (Guatemala),Antigua Gfc (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Universidad De San Carlos,Club Deportivo Zacapa,2000-09-16,1,2,F,guatemala,Universidad De San Carlos (Guatemala),Club Deportivo Zacapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CD Malacateco,Aurora Futbol Club,2000-09-17,1,1,F,guatemala,CD Malacateco (Guatemala),Aurora Futbol Club (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Comunicaciones,Xelaju MC,2000-09-17,4,0,F,guatemala,CSd Comunicaciones (Guatemala),Xelaju MC (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Carcha,CSd Municipal,2000-09-17,1,0,F,guatemala,Carcha (Guatemala),CSd Municipal (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Antigua Gfc,Coban Imperial,2000-09-17,2,1,F,guatemala,Antigua Gfc (Guatemala),Coban Imperial (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Achuapa,Santa Lucia Cotz,2000-09-17,4,4,F,guatemala,Achuapa (Guatemala),Santa Lucia Cotz (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Municipal,Universidad De San Carlos,2000-09-20,1,0,F,guatemala,CSd Municipal (Guatemala),Universidad De San Carlos (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Xelaju MC,Carcha,2000-09-20,0,0,F,guatemala,Xelaju MC (Guatemala),Carcha (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Coban Imperial,CSd Comunicaciones,2000-09-20,1,1,F,guatemala,Coban Imperial (Guatemala),CSd Comunicaciones (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Santa Lucia Cotz,Antigua Gfc,2000-09-20,0,3,F,guatemala,Santa Lucia Cotz (Guatemala),Antigua Gfc (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Aurora Futbol Club,Achuapa,2000-09-20,1,0,F,guatemala,Aurora Futbol Club (Guatemala),Achuapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Club Deportivo Zacapa,CD Malacateco,2000-09-20,4,0,F,guatemala,Club Deportivo Zacapa (Guatemala),CD Malacateco (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Universidad De San Carlos,Coban Imperial,2000-09-23,2,1,F,guatemala,Universidad De San Carlos (Guatemala),Coban Imperial (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CSd Comunicaciones,Aurora Futbol Club,2000-09-24,3,1,F,guatemala,CSd Comunicaciones (Guatemala),Aurora Futbol Club (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
CD Malacateco,Xelaju MC,2000-09-24,2,2,F,guatemala,CD Malacateco (Guatemala),Xelaju MC (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Antigua Gfc,Club Deportivo Zacapa,2000-09-24,4,1,F,guatemala,Antigua Gfc (Guatemala),Club Deportivo Zacapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Achuapa,CSd Municipal,2000-09-24,2,1,F,guatemala,Achuapa (Guatemala),CSd Municipal (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Carcha,Santa Lucia Cotz,2000-09-24,3,0,F,guatemala,Carcha (Guatemala),Santa Lucia Cotz (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Club Deportivo Zacapa,Achuapa,2000-09-27,3,2,F,guatemala,Club Deportivo Zacapa (Guatemala),Achuapa (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Aurora Futbol Club,Universidad De San Carlos,2000-09-27,0,2,F,guatemala,Aurora Futbol Club (Guatemala),Universidad De San Carlos (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
Coban Imperial,Carcha,2000-09-27,1,2,F,guatemala,Coban Imperial (Guatemala),Carcha (Guatemala),guatemala,guatemala,GT,GT,North America,North America,North America,national
