home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Etoile De Guinee,As Bate Nafadji,2009-12-18,2,1,F,guinea,Etoile De Guinee (Guinea),As Bate Nafadji (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Club Espoir De Labe,As Des Forces Armees De Guinee,2009-12-19,1,0,F,guinea,Club Espoir De Labe (Guinea),As Des Forces Armees De Guinee (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Hafia FC,FC Baraka,2009-12-19,2,2,F,guinea,Hafia FC (Guinea),FC Baraka (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Mineurs,Ci Kamsar,2009-12-20,0,0,F,guinea,Mineurs (Guinea),Ci Kamsar (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Ashanti Golden Boys,Horoya Ac,2009-12-20,0,0,F,guinea,As Ashanti Golden Boys (Guinea),Horoya Ac (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Kaloum Star,Atletico Etoile De Coleah,2009-12-20,0,0,F,guinea,As Kaloum Star (Guinea),Atletico Etoile De Coleah (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Fello Star De Labe,Satellite,2009-12-20,1,0,F,guinea,Fello Star De Labe (Guinea),Satellite (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Club Espoir De Labe,Atletico Etoile De Coleah,2009-12-23,0,0,F,guinea,Club Espoir De Labe (Guinea),Atletico Etoile De Coleah (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Fello Star De Labe,Horoya Ac,2009-12-24,0,1,F,guinea,Fello Star De Labe (Guinea),Horoya Ac (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Ashanti Golden Boys,As Des Forces Armees De Guinee,2009-12-25,1,1,F,guinea,As Ashanti Golden Boys (Guinea),As Des Forces Armees De Guinee (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Bate Nafadji,Hafia FC,2009-12-25,1,0,F,guinea,As Bate Nafadji (Guinea),Hafia FC (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
FC Baraka,Mineurs,2009-12-26,1,1,F,guinea,FC Baraka (Guinea),Mineurs (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Satellite,Etoile De Guinee,2009-12-27,0,0,F,guinea,Satellite (Guinea),Etoile De Guinee (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Ci Kamsar,As Kaloum Star,2009-12-27,2,0,F,guinea,Ci Kamsar (Guinea),As Kaloum Star (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Club Espoir De Labe,Horoya Ac,2009-12-27,0,0,F,guinea,Club Espoir De Labe (Guinea),Horoya Ac (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Satellite,As Bate Nafadji,2010-01-02,2,1,F,guinea,Satellite (Guinea),As Bate Nafadji (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Ashanti Golden Boys,Fello Star De Labe,2010-01-02,0,1,F,guinea,As Ashanti Golden Boys (Guinea),Fello Star De Labe (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Hafia FC,Etoile De Guinee,2010-01-02,0,1,F,guinea,Hafia FC (Guinea),Etoile De Guinee (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Des Forces Armees De Guinee,Ci Kamsar,2010-01-02,2,1,F,guinea,As Des Forces Armees De Guinee (Guinea),Ci Kamsar (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
FC Baraka,Atletico Etoile De Coleah,2010-01-03,1,0,F,guinea,FC Baraka (Guinea),Atletico Etoile De Coleah (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Atletico Etoile De Coleah,Ci Kamsar,2010-01-06,1,1,F,guinea,Atletico Etoile De Coleah (Guinea),Ci Kamsar (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Fello Star De Labe,Etoile De Guinee,2010-01-09,0,0,F,guinea,Fello Star De Labe (Guinea),Etoile De Guinee (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Hafia FC,Club Espoir De Labe,2010-01-09,1,0,F,guinea,Hafia FC (Guinea),Club Espoir De Labe (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
FC Baraka,As Bate Nafadji,2010-01-09,0,0,F,guinea,FC Baraka (Guinea),As Bate Nafadji (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Kaloum Star,As Ashanti Golden Boys,2010-01-09,0,0,F,guinea,As Kaloum Star (Guinea),As Ashanti Golden Boys (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Horoya Ac,Satellite,2010-01-09,1,1,F,guinea,Horoya Ac (Guinea),Satellite (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Des Forces Armees De Guinee,Mineurs,2010-01-11,2,0,F,guinea,As Des Forces Armees De Guinee (Guinea),Mineurs (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Ci Kamsar,As Ashanti Golden Boys,2010-01-12,0,0,F,guinea,Ci Kamsar (Guinea),As Ashanti Golden Boys (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Kaloum Star,Club Espoir De Labe,2010-01-12,0,0,F,guinea,As Kaloum Star (Guinea),Club Espoir De Labe (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Etoile De Guinee,Horoya Ac,2010-01-14,0,3,F,guinea,Etoile De Guinee (Guinea),Horoya Ac (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Satellite,As Ashanti Golden Boys,2010-01-14,3,0,F,guinea,Satellite (Guinea),As Ashanti Golden Boys (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Bate Nafadji,Fello Star De Labe,2010-01-15,0,2,F,guinea,As Bate Nafadji (Guinea),Fello Star De Labe (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Club Espoir De Labe,Mineurs,2010-01-15,2,1,F,guinea,Club Espoir De Labe (Guinea),Mineurs (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
As Des Forces Armees De Guinee,Atletico Etoile De Coleah,2010-01-15,0,0,F,guinea,As Des Forces Armees De Guinee (Guinea),Atletico Etoile De Coleah (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Fello Star De Labe,Mineurs,2010-01-17,2,0,F,guinea,Fello Star De Labe (Guinea),Mineurs (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Etoile De Guinee,As Ashanti Golden Boys,2010-01-17,3,0,F,guinea,Etoile De Guinee (Guinea),As Ashanti Golden Boys (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
Club Espoir De Labe,As Bate Nafadji,2010-01-20,2,1,F,guinea,Club Espoir De Labe (Guinea),As Bate Nafadji (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
FC Baraka,Etoile De Guinee,2010-01-22,1,0,F,guinea,FC Baraka (Guinea),Etoile De Guinee (Guinea),guinea,guinea,GN,GN,Africa,Africa,Africa,national
