home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Victoria Kings,Rosignol United,2009-09-06,1,2,F,guyana,Victoria Kings (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Alpha United,2009-09-07,1,3,F,guyana,Camptown (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Buxton United,2009-09-13,2,0,F,guyana,Rosignol United (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Alpha United,2009-09-13,1,1,F,guyana,Seawall (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Liquid Gold,2009-09-14,0,1,F,guyana,Bakewell Top Xx (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Camptown,2009-09-14,1,1,F,guyana,Milerock (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Victoria Kings,2009-09-14,0,1,F,guyana,Guyana Defence Force (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Seawall,2009-09-20,0,2,F,guyana,Victoria Kings (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Milerock,2009-09-20,0,1,F,guyana,Liquid Gold (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Buxton United,2009-09-21,2,2,F,guyana,Alpha United (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Guyana Defence Force,2009-09-21,2,0,F,guyana,Camptown (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Rosignol United,2009-09-21,3,1,F,guyana,Bakewell Top Xx (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Rosignol United,2009-09-26,2,1,F,guyana,Liquid Gold (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Buxton United,Victoria Kings,2009-09-27,1,1,F,guyana,Buxton United (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Camptown,2009-09-27,1,1,F,guyana,Seawall (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Milerock,2009-09-28,4,1,F,guyana,Guyana Defence Force (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Bakewell Top Xx,2009-09-28,4,1,F,guyana,Alpha United (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Guyana Defence Force,2009-10-04,0,0,F,guyana,Liquid Gold (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Camptown,2009-10-04,2,1,F,guyana,Rosignol United (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Buxton United,2009-10-04,1,2,F,guyana,Seawall (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Victoria Kings,2009-10-05,3,0,F,guyana,Bakewell Top Xx (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Alpha United,2009-10-05,0,2,F,guyana,Milerock (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Buxton United,Guyana Defence Force,2009-10-11,0,1,F,guyana,Buxton United (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Alpha United,2009-10-11,0,6,F,guyana,Liquid Gold (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Bakewell Top Xx,2009-10-11,1,1,F,guyana,Seawall (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Milerock,2009-10-11,1,2,F,guyana,Rosignol United (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Camptown,2009-10-11,1,3,F,guyana,Victoria Kings (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Milerock,2009-10-18,2,0,F,guyana,Victoria Kings (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Alpha United,2009-10-18,1,2,F,guyana,Rosignol United (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Seawall,2009-10-18,1,2,F,guyana,Liquid Gold (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Buxton United,Camptown,2009-10-18,0,2,F,guyana,Buxton United (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Guyana Defence Force,2009-10-19,1,3,F,guyana,Bakewell Top Xx (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Liquid Gold,2009-10-25,4,4,F,guyana,Camptown (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Guyana Defence Force,2009-10-25,0,1,F,guyana,Rosignol United (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Victoria Kings,2009-10-25,2,0,F,guyana,Alpha United (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Buxton United,Bakewell Top Xx,2009-10-25,1,0,F,guyana,Buxton United (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Seawall,2009-10-26,1,0,F,guyana,Milerock (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Bakewell Top Xx,2009-10-30,1,1,F,guyana,Milerock (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Buxton United,Liquid Gold,2009-11-01,4,3,F,guyana,Buxton United (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Seawall,2009-11-05,2,0,F,guyana,Guyana Defence Force (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Buxton United,2009-11-06,2,0,F,guyana,Milerock (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Liquid Gold,2009-11-08,2,0,F,guyana,Victoria Kings (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Bakewell Top Xx,2009-11-08,4,1,F,guyana,Camptown (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Rosignol United,2009-11-08,4,0,F,guyana,Seawall (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Guyana Defence Force,2009-11-08,0,0,F,guyana,Alpha United (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Milerock,2009-11-15,3,2,F,guyana,Alpha United (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Camptown,2009-11-16,3,0,F,guyana,Guyana Defence Force (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Milerock,2009-11-29,2,1,F,guyana,Camptown (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Guyana Defence Force,2009-11-30,2,1,F,guyana,Alpha United (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Buxton United,2010-02-28,0,2,F,guyana,Milerock (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Victoria Kings,2010-02-28,2,0,F,guyana,Bakewell Top Xx (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Liquid Gold,2010-02-28,1,0,F,guyana,Guyana Defence Force (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Seawall,2010-02-28,1,0,F,guyana,Alpha United (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Rosignol United,2010-03-01,4,1,F,guyana,Camptown (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Bakewell Top Xx,2010-03-14,3,0,F,guyana,Liquid Gold (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Milerock,2010-03-14,0,1,F,guyana,Seawall (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Alpha United,2010-03-14,2,3,F,guyana,Victoria Kings (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Buxton United,Camptown,2010-03-14,2,1,F,guyana,Buxton United (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Rosignol United,2010-03-14,1,1,F,guyana,Guyana Defence Force (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Rosignol United,2010-03-21,1,0,F,guyana,Seawall (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Milerock,2010-03-21,0,1,F,guyana,Bakewell Top Xx (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Buxton United,2010-03-28,1,1,F,guyana,Liquid Gold (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Buxton United,2010-04-04,1,1,F,guyana,Victoria Kings (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Guyana Defence Force,2010-04-04,0,3,F,guyana,Milerock (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Liquid Gold,2010-04-10,5,1,F,guyana,Victoria Kings (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Rosignol United,2010-04-10,0,1,F,guyana,Bakewell Top Xx (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Camptown,2010-04-10,1,0,F,guyana,Milerock (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Buxton United,Alpha United,2010-04-10,1,8,F,guyana,Buxton United (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Seawall,2010-04-11,2,0,F,guyana,Guyana Defence Force (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Victoria Kings,2010-04-14,1,4,F,guyana,Camptown (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Buxton United,2010-04-18,5,4,F,guyana,Rosignol United (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Victoria Kings,2010-04-18,0,2,F,guyana,Seawall (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Guyana Defence Force,2010-04-18,2,2,F,guyana,Bakewell Top Xx (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Alpha United,2010-04-19,0,3,F,guyana,Milerock (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Liquid Gold,2010-04-23,2,0,F,guyana,Alpha United (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Guyana Defence Force,2010-04-23,3,2,F,guyana,Camptown (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Guyana Defence Force,2010-05-02,4,1,F,guyana,Alpha United (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Liquid Gold,2010-05-02,3,0,F,guyana,Rosignol United (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Buxton United,2010-05-02,0,2,F,guyana,Seawall (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Bakewell Top Xx,2010-05-07,3,0,F,guyana,Alpha United (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Victoria Kings,2010-05-09,0,0,F,guyana,Guyana Defence Force (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Alpha United,2010-05-09,1,1,F,guyana,Camptown (Guyana),Alpha United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Milerock,2010-05-09,3,2,F,guyana,Rosignol United (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Seawall,Liquid Gold,2010-05-09,0,2,F,guyana,Seawall (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Guyana Defence Force,Buxton United,2010-05-12,0,0,F,guyana,Guyana Defence Force (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Rosignol United,2010-05-12,2,2,F,guyana,Alpha United (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Seawall,2010-05-14,3,2,F,guyana,Camptown (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Victoria Kings,Rosignol United,2010-05-16,2,3,F,guyana,Victoria Kings (Guyana),Rosignol United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Liquid Gold,Milerock,2010-05-16,1,3,F,guyana,Liquid Gold (Guyana),Milerock (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Buxton United,2010-05-16,3,2,F,guyana,Bakewell Top Xx (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Seawall,2010-05-22,1,1,F,guyana,Bakewell Top Xx (Guyana),Seawall (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Bakewell Top Xx,Camptown,2010-05-26,1,3,F,guyana,Bakewell Top Xx (Guyana),Camptown (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Victoria Kings,2010-05-26,3,0,F,guyana,Milerock (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Liquid Gold,2010-06-05,4,0,F,guyana,Camptown (Guyana),Liquid Gold (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Rosignol United,Victoria Kings,2010-07-31,1,2,F,guyana,Rosignol United (Guyana),Victoria Kings (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Alpha United,Bakewell Top Xx,2010-07-31,2,0,F,guyana,Alpha United (Guyana),Bakewell Top Xx (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Camptown,Buxton United,2010-08-04,4,2,F,guyana,Camptown (Guyana),Buxton United (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
Milerock,Guyana Defence Force,2010-08-04,1,2,F,guyana,Milerock (Guyana),Guyana Defence Force (Guyana),guyana,guyana,GY,GY,South America,South America,South America,national
