home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Tempete FC,Valencia Of Leogane,2001-01-13,1,1,F,haiti,Tempete FC (Haiti),Valencia Of Leogane (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Baltimore SC,Roulado,2001-01-14,0,0,F,haiti,Baltimore SC (Haiti),Roulado (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Zenith FC,Racing Club Haitien,2001-01-14,2,0,F,haiti,Zenith FC (Haiti),Racing Club Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Don Bosco,Violette Ac,2001-01-14,3,1,F,haiti,Don Bosco (Haiti),Violette Ac (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Des Gonaives,As Capoise,2001-01-14,1,1,F,haiti,Racing Des Gonaives (Haiti),As Capoise (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Cavaly,Aigle Noir,2001-01-14,0,1,F,haiti,Cavaly (Haiti),Aigle Noir (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
As Capoise,Baltimore SC,2001-01-20,2,2,F,haiti,As Capoise (Haiti),Baltimore SC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Roulado,Racing Des Gonaives,2001-01-20,1,1,F,haiti,Roulado (Haiti),Racing Des Gonaives (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Aigle Noir,Zenith FC,2001-01-20,3,0,F,haiti,Aigle Noir (Haiti),Zenith FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Club Haitien,Cavaly,2001-01-20,2,0,F,haiti,Racing Club Haitien (Haiti),Cavaly (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Dynamite Ac,Carioca FC,2001-01-20,4,1,F,haiti,Dynamite Ac (Haiti),Carioca FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Valencia Of Leogane,Don Bosco,2001-01-20,0,0,F,haiti,Valencia Of Leogane (Haiti),Don Bosco (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Violette Ac,Tempete FC,2001-01-20,1,0,F,haiti,Violette Ac (Haiti),Tempete FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Baltimore SC,Dynamite Ac,2001-01-25,0,1,F,haiti,Baltimore SC (Haiti),Dynamite Ac (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Carioca FC,As Capoise,2001-01-25,3,0,F,haiti,Carioca FC (Haiti),As Capoise (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Des Gonaives,Fica Du Cap Haitien,2001-01-25,0,0,F,haiti,Racing Des Gonaives (Haiti),Fica Du Cap Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Zenith FC,Valencia Of Leogane,2001-01-25,2,0,F,haiti,Zenith FC (Haiti),Valencia Of Leogane (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Don Bosco,Aigle Noir,2001-01-25,2,1,F,haiti,Don Bosco (Haiti),Aigle Noir (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Cavaly,Violette Ac,2001-01-25,0,0,F,haiti,Cavaly (Haiti),Violette Ac (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Tempete FC,Racing Club Haitien,2001-01-25,1,1,F,haiti,Tempete FC (Haiti),Racing Club Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Valencia Of Leogane,Baltimore SC,2001-02-01,0,0,F,haiti,Valencia Of Leogane (Haiti),Baltimore SC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Dynamite Ac,Zenith FC,2001-02-01,0,1,F,haiti,Dynamite Ac (Haiti),Zenith FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Aigle Noir,Carioca FC,2001-02-01,1,1,F,haiti,Aigle Noir (Haiti),Carioca FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
As Capoise,Don Bosco,2001-02-01,1,1,F,haiti,As Capoise (Haiti),Don Bosco (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Violette Ac,Racing Des Gonaives,2001-02-01,1,2,F,haiti,Violette Ac (Haiti),Racing Des Gonaives (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Fica Du Cap Haitien,Cavaly,2001-02-01,3,0,F,haiti,Fica Du Cap Haitien (Haiti),Cavaly (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Roulado,Tempete FC,2001-02-01,2,2,F,haiti,Roulado (Haiti),Tempete FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Baltimore SC,Violette Ac,2001-02-08,0,0,F,haiti,Baltimore SC (Haiti),Violette Ac (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Des Gonaives,Valencia Of Leogane,2001-02-08,1,2,F,haiti,Racing Des Gonaives (Haiti),Valencia Of Leogane (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Zenith FC,Fica Du Cap Haitien,2001-02-08,1,0,F,haiti,Zenith FC (Haiti),Fica Du Cap Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Cavaly,Dynamite Ac,2001-02-08,2,0,F,haiti,Cavaly (Haiti),Dynamite Ac (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Club Haitien,Carioca FC,2001-02-08,2,2,F,haiti,Racing Club Haitien (Haiti),Carioca FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Don Bosco,Roulado,2001-02-08,1,1,F,haiti,Don Bosco (Haiti),Roulado (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Tempete FC,As Capoise,2001-02-08,1,0,F,haiti,Tempete FC (Haiti),As Capoise (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
As Capoise,Valencia Of Leogane,2001-02-13,1,0,F,haiti,As Capoise (Haiti),Valencia Of Leogane (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Des Gonaives,Zenith FC,2001-02-13,0,0,F,haiti,Racing Des Gonaives (Haiti),Zenith FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Dynamite Ac,Racing Club Haitien,2001-02-13,1,0,F,haiti,Dynamite Ac (Haiti),Racing Club Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Aigle Noir,Fica Du Cap Haitien,2001-02-13,2,2,F,haiti,Aigle Noir (Haiti),Fica Du Cap Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Violette Ac,Roulado,2001-02-13,1,1,F,haiti,Violette Ac (Haiti),Roulado (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Cavaly,Tempete FC,2001-02-13,1,1,F,haiti,Cavaly (Haiti),Tempete FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Don Bosco,Racing Des Gonaives,2001-02-13,5,0,F,haiti,Don Bosco (Haiti),Racing Des Gonaives (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Fica Du Cap Haitien,Dynamite Ac,2001-02-22,5,1,F,haiti,Fica Du Cap Haitien (Haiti),Dynamite Ac (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Violette Ac,Aigle Noir,2001-02-22,1,0,F,haiti,Violette Ac (Haiti),Aigle Noir (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Baltimore SC,Cavaly,2001-02-22,2,0,F,haiti,Baltimore SC (Haiti),Cavaly (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Zenith FC,Tempete FC,2001-02-22,1,0,F,haiti,Zenith FC (Haiti),Tempete FC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Club Haitien,Violette Ac,2001-02-22,0,0,F,haiti,Racing Club Haitien (Haiti),Violette Ac (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Roulado,As Capoise,2001-02-22,1,1,F,haiti,Roulado (Haiti),As Capoise (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Carioca FC,Don Bosco,2001-02-22,1,0,F,haiti,Carioca FC (Haiti),Don Bosco (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Carioca FC,Fica Du Cap Haitien,2001-03-02,1,1,F,haiti,Carioca FC (Haiti),Fica Du Cap Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Racing Club Haitien,Fica Du Cap Haitien,2001-03-08,0,1,F,haiti,Racing Club Haitien (Haiti),Fica Du Cap Haitien (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Tempete FC,Baltimore SC,2001-03-08,0,1,F,haiti,Tempete FC (Haiti),Baltimore SC (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
Roulado,Valencia Of Leogane,2001-03-08,2,1,F,haiti,Roulado (Haiti),Valencia Of Leogane (Haiti),haiti,haiti,HT,HT,North America,North America,North America,national
