home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Atletico Independiente,CD Marathon,1996-08-31,0,1,F,honduras,Atletico Independiente (Honduras),CD Marathon (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Real Patepluma,Platense FC,1996-08-31,0,2,F,honduras,Real Patepluma (Honduras),Platense FC (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Cdys Vida,CD Motagua,1996-08-31,2,1,F,honduras,Cdys Vida (Honduras),CD Motagua (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Universidad,CD Olimpia,1996-08-31,1,2,F,honduras,Universidad (Honduras),CD Olimpia (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Victoria,Real CD Espana,1996-08-31,2,1,F,honduras,CD Victoria (Honduras),Real CD Espana (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Olimpia,Real CD Espana,1996-09-07,0,0,F,honduras,CD Olimpia (Honduras),Real CD Espana (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Marathon,Universidad,1996-09-07,4,0,F,honduras,CD Marathon (Honduras),Universidad (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Victoria,Atletico Independiente,1996-09-07,1,0,F,honduras,CD Victoria (Honduras),Atletico Independiente (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Platense FC,CD Motagua,1996-09-07,1,1,F,honduras,Platense FC (Honduras),CD Motagua (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Real Patepluma,Cdys Vida,1996-09-07,1,2,F,honduras,Real Patepluma (Honduras),Cdys Vida (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Olimpia,CD Victoria,1996-09-13,2,1,F,honduras,CD Olimpia (Honduras),CD Victoria (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Motagua,CD Marathon,1996-09-13,2,1,F,honduras,CD Motagua (Honduras),CD Marathon (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Atletico Independiente,Cdys Vida,1996-09-13,2,0,F,honduras,Atletico Independiente (Honduras),Cdys Vida (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Real CD Espana,Real Patepluma,1996-09-13,1,1,F,honduras,Real CD Espana (Honduras),Real Patepluma (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Cdys Vida,Real CD Espana,1996-09-22,2,1,F,honduras,Cdys Vida (Honduras),Real CD Espana (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Platense FC,CD Marathon,1996-09-22,3,1,F,honduras,Platense FC (Honduras),CD Marathon (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Motagua,CD Victoria,1996-09-22,1,1,F,honduras,CD Motagua (Honduras),CD Victoria (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Real Patepluma,Universidad,1996-09-22,0,1,F,honduras,Real Patepluma (Honduras),Universidad (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Atletico Independiente,CD Olimpia,1996-09-22,1,0,F,honduras,Atletico Independiente (Honduras),CD Olimpia (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Marathon,CD Victoria,1996-09-29,1,3,F,honduras,CD Marathon (Honduras),CD Victoria (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Cdys Vida,CD Olimpia,1996-09-29,1,2,F,honduras,Cdys Vida (Honduras),CD Olimpia (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Platense FC,Real CD Espana,1996-09-29,2,1,F,honduras,Platense FC (Honduras),Real CD Espana (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Motagua,Real Patepluma,1996-09-29,1,2,F,honduras,CD Motagua (Honduras),Real Patepluma (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Universidad,Atletico Independiente,1996-09-29,1,1,F,honduras,Universidad (Honduras),Atletico Independiente (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Real CD Espana,Universidad,1996-10-05,2,1,F,honduras,Real CD Espana (Honduras),Universidad (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Cdys Vida,CD Victoria,1996-10-05,0,1,F,honduras,Cdys Vida (Honduras),CD Victoria (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Olimpia,CD Motagua,1996-10-05,0,0,F,honduras,CD Olimpia (Honduras),CD Motagua (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Real Patepluma,CD Marathon,1996-10-05,1,1,F,honduras,Real Patepluma (Honduras),CD Marathon (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Atletico Independiente,Platense FC,1996-10-05,0,0,F,honduras,Atletico Independiente (Honduras),Platense FC (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Marathon,CD Olimpia,1996-10-12,1,2,F,honduras,CD Marathon (Honduras),CD Olimpia (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Atletico Independiente,Real Patepluma,1996-10-12,2,0,F,honduras,Atletico Independiente (Honduras),Real Patepluma (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Platense FC,Cdys Vida,1996-10-12,1,1,F,honduras,Platense FC (Honduras),Cdys Vida (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
Universidad,CD Victoria,1996-10-12,1,1,F,honduras,Universidad (Honduras),CD Victoria (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Motagua,Real CD Espana,1996-10-12,0,1,F,honduras,CD Motagua (Honduras),Real CD Espana (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
CD Victoria,Platense FC,1996-10-19,1,0,F,honduras,CD Victoria (Honduras),Platense FC (Honduras),honduras,honduras,HN,HN,North America,North America,North America,national
