home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Happy Valley,Sun Hei SC,2003-08-30,4,2,F,hong-kong,Happy Valley (Hong Kong),Sun Hei SC (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Nancheng,Fire Services,2003-09-07,2,2,F,hong-kong,Nancheng (Hong Kong),Fire Services (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Fire Services,Happy Valley,2003-09-12,0,3,F,hong-kong,Fire Services (Hong Kong),Happy Valley (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Sun Hei SC,Sunray Cave,2003-09-12,3,0,F,hong-kong,Sun Hei SC (Hong Kong),Sunray Cave (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Fukien Ac,Sun Hei SC,2003-09-25,0,2,F,hong-kong,Fukien Ac (Hong Kong),Sun Hei SC (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Sunray Cave,Happy Valley,2003-09-25,0,2,F,hong-kong,Sunray Cave (Hong Kong),Happy Valley (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Hong Kong Rangers FC,Fire Services,2003-09-28,1,2,F,hong-kong,Hong Kong Rangers FC (Hong Kong),Fire Services (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
South China Aa,Nancheng,2003-09-28,1,0,F,hong-kong,South China Aa (Hong Kong),Nancheng (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Xiangxue,Kitchee SC,2003-10-05,1,0,F,hong-kong,Xiangxue (Hong Kong),Kitchee SC (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Fire Services,Sunray Cave,2003-10-09,0,2,F,hong-kong,Fire Services (Hong Kong),Sunray Cave (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Happy Valley,Fukien Ac,2003-10-09,2,0,F,hong-kong,Happy Valley (Hong Kong),Fukien Ac (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
Nancheng,Kitchee SC,2003-10-12,2,4,F,hong-kong,Nancheng (Hong Kong),Kitchee SC (Hong Kong),hong-kong,hong-kong,HK,HK,Asia,Asia,Asia,national
