home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Magyar AC,Ferencvarosi Tc,1919-08-31,3,3,F,hungary,Magyar AC (Hungary),Ferencvarosi Tc (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Mtk Budapest,Budapesti AK,1919-08-31,2,0,F,hungary,Mtk Budapest (Hungary),Budapesti AK (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Ujpest FC,Iii Keruleti Tue Upe,1919-08-31,2,0,F,hungary,Ujpest FC (Hungary),Iii Keruleti Tue Upe (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
33 FC,Ujpesti Torekves Se,1919-08-31,0,0,F,hungary,33 FC (Hungary),Ujpesti Torekves Se (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Nemzeti SC,Budapesti TC,1919-08-31,0,3,F,hungary,Nemzeti SC (Hungary),Budapesti TC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Budapest Honved,Muegyetemi AFC,1919-08-31,4,1,F,hungary,Budapest Honved (Hungary),Muegyetemi AFC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Terezvarosi TC,Budapesti Vasas,1919-08-31,0,0,F,hungary,Terezvarosi TC (Hungary),Budapesti Vasas (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Muegyetemi AFC,Mtk Budapest,1919-09-07,0,9,F,hungary,Muegyetemi AFC (Hungary),Mtk Budapest (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Budapest Honved,Budapesti TC,1919-09-07,3,2,F,hungary,Budapest Honved (Hungary),Budapesti TC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Budapesti AK,Torekves SE,1919-09-07,0,1,F,hungary,Budapesti AK (Hungary),Torekves SE (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Magyar AC,Terezvarosi TC,1919-09-07,0,1,F,hungary,Magyar AC (Hungary),Terezvarosi TC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Ferencvarosi Tc,Budapesti Vasas,1919-09-07,1,0,F,hungary,Ferencvarosi Tc (Hungary),Budapesti Vasas (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Ujpesti Torekves Se,Iii Keruleti Tue Upe,1919-09-07,0,2,F,hungary,Ujpesti Torekves Se (Hungary),Iii Keruleti Tue Upe (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Nemzeti SC,Mtk Budapest,1919-09-08,2,12,F,hungary,Nemzeti SC (Hungary),Mtk Budapest (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
33 FC,Ujpest FC,1919-09-08,0,3,F,hungary,33 FC (Hungary),Ujpest FC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Terezvarosi TC,Budapest Honved,1919-09-13,0,1,F,hungary,Terezvarosi TC (Hungary),Budapest Honved (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Ujpesti Torekves Se,Torekves SE,1919-09-13,1,3,F,hungary,Ujpesti Torekves Se (Hungary),Torekves SE (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Ferencvarosi Tc,Muegyetemi AFC,1919-09-14,2,0,F,hungary,Ferencvarosi Tc (Hungary),Muegyetemi AFC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
33 FC,Budapesti TC,1919-09-14,0,4,F,hungary,33 FC (Hungary),Budapesti TC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Iii Keruleti Tue Upe,Nemzeti SC,1919-09-14,1,1,F,hungary,Iii Keruleti Tue Upe (Hungary),Nemzeti SC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Magyar AC,Budapesti Vasas,1919-09-14,0,1,F,hungary,Magyar AC (Hungary),Budapesti Vasas (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Mtk Budapest,Ujpest FC,1919-09-14,1,1,F,hungary,Mtk Budapest (Hungary),Ujpest FC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Budapest Honved,Ujpest FC,1919-09-18,2,1,F,hungary,Budapest Honved (Hungary),Ujpest FC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Ferencvarosi Tc,Terezvarosi TC,1919-09-21,1,0,F,hungary,Ferencvarosi Tc (Hungary),Terezvarosi TC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Budapest Honved,Budapesti Vasas,1919-09-21,1,0,F,hungary,Budapest Honved (Hungary),Budapesti Vasas (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Budapesti TC,Budapesti AK,1919-09-21,3,1,F,hungary,Budapesti TC (Hungary),Budapesti AK (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
Iii Keruleti Tue Upe,33 FC,1919-09-21,2,0,F,hungary,Iii Keruleti Tue Upe (Hungary),33 FC (Hungary),hungary,hungary,HU,HU,Europe,Europe,Europe,national
