home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Knattspyrnufelagidh Valur,Knattspyrnudeild Fram Reykjavik,1955-06-12,0,0,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Knattspyrnudeild Fram Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Knattspyrnufelagidh Vikingur,1955-06-13,7,0,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Knattspyrnufelagidh Vikingur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Kf Throttur Reykjavik,1955-06-14,8,0,FALSE,iceland,Ia Akranes (Iceland),Kf Throttur Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Vikingur,Knattspyrnudeild Fram Reykjavik,1955-06-19,4,3,FALSE,iceland,Knattspyrnufelagidh Vikingur (Iceland),Knattspyrnudeild Fram Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Valur,Kf Throttur Reykjavik,1955-06-20,6,0,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Kf Throttur Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Knattspyrnufelagid Reykjavik,1955-06-22,1,4,FALSE,iceland,Ia Akranes (Iceland),Knattspyrnufelagid Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Kf Throttur Reykjavik,Knattspyrnudeild Fram Reykjavik,1955-06-23,1,3,FALSE,iceland,Kf Throttur Reykjavik (Iceland),Knattspyrnudeild Fram Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Knattspyrnufelagidh Valur,1955-07-27,1,1,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Knattspyrnufelagidh Valur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Knattspyrnufelagidh Vikingur,1955-07-28,6,1,FALSE,iceland,Ia Akranes (Iceland),Knattspyrnufelagidh Vikingur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Valur,Ia Akranes,1955-08-03,2,5,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Ia Akranes (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnudeild Fram Reykjavik,Ia Akranes,1955-08-10,0,3,FALSE,iceland,Knattspyrnudeild Fram Reykjavik (Iceland),Ia Akranes (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Kf Throttur Reykjavik,Knattspyrnufelagidh Vikingur,1955-08-21,0,4,FALSE,iceland,Kf Throttur Reykjavik (Iceland),Knattspyrnufelagidh Vikingur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnudeild Fram Reykjavik,Knattspyrnufelagid Reykjavik,1955-09-04,0,3,FALSE,iceland,Knattspyrnudeild Fram Reykjavik (Iceland),Knattspyrnufelagid Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Vikingur,Knattspyrnufelagidh Valur,1955-09-10,0,4,FALSE,iceland,Knattspyrnufelagidh Vikingur (Iceland),Knattspyrnufelagidh Valur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Kf Throttur Reykjavik,1955-09-11,6,1,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Kf Throttur Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnudeild Fram Reykjavik,Ib Akureyri,1956-06-10,2,0,FALSE,iceland,Knattspyrnudeild Fram Reykjavik (Iceland),Ib Akureyri (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Knattspyrnufelagidh Vikingur,1956-06-11,4,0,FALSE,iceland,Ia Akranes (Iceland),Knattspyrnufelagidh Vikingur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ib Akureyri,Knattspyrnufelagidh Valur,1956-06-12,0,1,FALSE,iceland,Ib Akureyri (Iceland),Knattspyrnufelagidh Valur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Valur,Knattspyrnufelagidh Vikingur,1956-06-21,4,1,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Knattspyrnufelagidh Vikingur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Knattspyrnudeild Fram Reykjavik,1956-06-22,2,0,FALSE,iceland,Ia Akranes (Iceland),Knattspyrnudeild Fram Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnudeild Fram Reykjavik,Knattspyrnufelagid Reykjavik,1956-06-25,2,3,FALSE,iceland,Knattspyrnudeild Fram Reykjavik (Iceland),Knattspyrnufelagid Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Vikingur,Ib Akureyri,1956-07-29,1,3,FALSE,iceland,Knattspyrnufelagidh Vikingur (Iceland),Ib Akureyri (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ib Akureyri,Ia Akranes,1956-07-31,0,6,FALSE,iceland,Ib Akureyri (Iceland),Ia Akranes (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Knattspyrnufelagidh Vikingur,1956-08-12,4,2,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Knattspyrnufelagidh Vikingur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Knattspyrnufelagidh Valur,1956-08-16,2,3,FALSE,iceland,Ia Akranes (Iceland),Knattspyrnufelagidh Valur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Ib Akureyri,1956-08-17,3,0,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Ib Akureyri (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Ia Akranes,1956-08-26,3,3,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Ia Akranes (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Vikingur,Knattspyrnudeild Fram Reykjavik,1956-08-26,2,4,FALSE,iceland,Knattspyrnufelagidh Vikingur (Iceland),Knattspyrnudeild Fram Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Valur,Knattspyrnudeild Fram Reykjavik,1956-09-16,5,2,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Knattspyrnudeild Fram Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Valur,Knattspyrnufelagid Reykjavik,1956-09-23,1,1,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Knattspyrnufelagid Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ithrottabandalag Hafnarfjardur,Ib Akureyri,1957-05-17,2,2,FALSE,iceland,Ithrottabandalag Hafnarfjardur (Iceland),Ib Akureyri (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Ib Akureyri,1957-05-19,3,0,FALSE,iceland,Ia Akranes (Iceland),Ib Akureyri (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Ithrottabandalag Hafnarfjardur,1957-05-21,1,0,FALSE,iceland,Ia Akranes (Iceland),Ithrottabandalag Hafnarfjardur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnudeild Fram Reykjavik,Knattspyrnufelagid Reykjavik,1957-06-12,1,0,FALSE,iceland,Knattspyrnudeild Fram Reykjavik (Iceland),Knattspyrnufelagid Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Ia Akranes,Knattspyrnufelagidh Valur,1957-06-13,4,1,FALSE,iceland,Ia Akranes (Iceland),Knattspyrnufelagidh Valur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Ib Akureyri,1957-06-16,2,2,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Ib Akureyri (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Valur,Ithrottabandalag Hafnarfjardur,1957-06-27,3,0,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Ithrottabandalag Hafnarfjardur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnudeild Fram Reykjavik,Ib Akureyri,1957-07-14,2,0,FALSE,iceland,Knattspyrnudeild Fram Reykjavik (Iceland),Ib Akureyri (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagidh Valur,Knattspyrnudeild Fram Reykjavik,1957-07-18,1,1,FALSE,iceland,Knattspyrnufelagidh Valur (Iceland),Knattspyrnudeild Fram Reykjavik (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnudeild Fram Reykjavik,Ithrottabandalag Hafnarfjardur,1957-07-21,2,0,FALSE,iceland,Knattspyrnudeild Fram Reykjavik (Iceland),Ithrottabandalag Hafnarfjardur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Ithrottabandalag Hafnarfjardur,1957-07-22,1,3,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Ithrottabandalag Hafnarfjardur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
Knattspyrnufelagid Reykjavik,Knattspyrnufelagidh Valur,1957-07-22,0,0,FALSE,iceland,Knattspyrnufelagid Reykjavik (Iceland),Knattspyrnufelagidh Valur (Iceland),iceland,iceland,IS,IS,Europe,Europe,Europe,national
