home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Jct FC,Mohun Bagan Ac,1999-01-05,0,0,F,india,Jct FC (India),Mohun Bagan Ac (India),india,india,IN,IN,Asia,Asia,Asia,national
Tollygunge Agragami,Air India,1999-01-06,3,0,F,india,Tollygunge Agragami (India),Air India (India),india,india,IN,IN,Asia,Asia,Asia,national
Dempo SC,Churchill Brothers,1999-01-06,0,0,F,india,Dempo SC (India),Churchill Brothers (India),india,india,IN,IN,Asia,Asia,Asia,national
Indian Telephone Ind,Indian Bank,1999-01-06,1,0,F,india,Indian Telephone Ind (India),Indian Bank (India),india,india,IN,IN,Asia,Asia,Asia,national
Salgaocar FC,Mahindra United,1999-01-07,3,0,F,india,Salgaocar FC (India),Mahindra United (India),india,india,IN,IN,Asia,Asia,Asia,national
East Bengal Club FC,FC Kochin,1999-01-07,2,0,F,india,East Bengal Club FC (India),FC Kochin (India),india,india,IN,IN,Asia,Asia,Asia,national
Dempo SC,Jct FC,1999-01-09,2,1,F,india,Dempo SC (India),Jct FC (India),india,india,IN,IN,Asia,Asia,Asia,national
Mohun Bagan Ac,Air India,1999-01-10,2,0,F,india,Mohun Bagan Ac (India),Air India (India),india,india,IN,IN,Asia,Asia,Asia,national
Tollygunge Agragami,Churchill Brothers,1999-01-10,1,1,F,india,Tollygunge Agragami (India),Churchill Brothers (India),india,india,IN,IN,Asia,Asia,Asia,national
Salgaocar FC,East Bengal Club FC,1999-01-10,0,0,F,india,Salgaocar FC (India),East Bengal Club FC (India),india,india,IN,IN,Asia,Asia,Asia,national
FC Kochin,Indian Bank,1999-01-10,5,1,F,india,FC Kochin (India),Indian Bank (India),india,india,IN,IN,Asia,Asia,Asia,national
Indian Telephone Ind,Mahindra United,1999-01-13,1,2,F,india,Indian Telephone Ind (India),Mahindra United (India),india,india,IN,IN,Asia,Asia,Asia,national
Air India,Jct FC,1999-01-14,2,3,F,india,Air India (India),Jct FC (India),india,india,IN,IN,Asia,Asia,Asia,national
Mohun Bagan Ac,Churchill Brothers,1999-01-14,1,1,F,india,Mohun Bagan Ac (India),Churchill Brothers (India),india,india,IN,IN,Asia,Asia,Asia,national
Tollygunge Agragami,Dempo SC,1999-01-15,1,0,F,india,Tollygunge Agragami (India),Dempo SC (India),india,india,IN,IN,Asia,Asia,Asia,national
Indian Bank,Mahindra United,1999-01-17,2,0,F,india,Indian Bank (India),Mahindra United (India),india,india,IN,IN,Asia,Asia,Asia,national
FC Kochin,Salgaocar FC,1999-01-17,2,2,F,india,FC Kochin (India),Salgaocar FC (India),india,india,IN,IN,Asia,Asia,Asia,national
