home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Persijatim Sriwijaya FC Palembang,Persipura Jayapura,2008-07-12,2,2,F,indonesia,Persijatim Sriwijaya FC Palembang (Indonesia),Persipura Jayapura (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Pelita Jaya,Persiba Balikpapan,2008-07-12,1,1,F,indonesia,Pelita Jaya (Indonesia),Persiba Balikpapan (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persita Tangerang,Arema Malang,2008-07-12,0,2,F,indonesia,Persita Tangerang (Indonesia),Arema Malang (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Psms Medan,Persiwa Wamena,2008-07-13,2,2,F,indonesia,Psms Medan (Indonesia),Persiwa Wamena (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persijap Jepara,Persik Kediri,2008-07-13,2,0,F,indonesia,Persijap Jepara (Indonesia),Persik Kediri (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Psis Semarang,Pupuk Kaltim,2008-07-13,1,1,F,indonesia,Psis Semarang (Indonesia),Pupuk Kaltim (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persib Bandung,Persela Lamongan,2008-07-13,5,2,F,indonesia,Persib Bandung (Indonesia),Persela Lamongan (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persitara Jakarta,Persija Pusat Jakarta,2008-07-14,1,3,F,indonesia,Persitara Jakarta (Indonesia),Persija Pusat Jakarta (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persijatim Sriwijaya FC Palembang,Persiwa Wamena,2008-07-18,3,1,F,indonesia,Persijatim Sriwijaya FC Palembang (Indonesia),Persiwa Wamena (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Pelita Jaya,Pupuk Kaltim,2008-07-18,1,0,F,indonesia,Pelita Jaya (Indonesia),Pupuk Kaltim (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persita Tangerang,Persik Kediri,2008-07-18,0,2,F,indonesia,Persita Tangerang (Indonesia),Persik Kediri (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persijap Jepara,Arema Malang,2008-07-19,1,2,F,indonesia,Persijap Jepara (Indonesia),Arema Malang (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Psm Makassar,Delta Putra Sidoarjo,2008-07-19,3,0,F,indonesia,Psm Makassar (Indonesia),Delta Putra Sidoarjo (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Psis Semarang,Persiba Balikpapan,2008-07-20,1,1,F,indonesia,Psis Semarang (Indonesia),Persiba Balikpapan (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persitara Jakarta,Persela Lamongan,2008-07-20,1,1,F,indonesia,Persitara Jakarta (Indonesia),Persela Lamongan (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Persib Bandung,Persija Pusat Jakarta,2008-07-20,2,3,F,indonesia,Persib Bandung (Indonesia),Persija Pusat Jakarta (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
Psms Medan,Persipura Jayapura,2008-07-21,0,1,F,indonesia,Psms Medan (Indonesia),Persipura Jayapura (Indonesia),indonesia,indonesia,ID,ID,Asia,Asia,Asia,national
