home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Samaraa,Al Mosul,2006-12-22,1,2,F,iraq,Samaraa (Iraq),Al Mosul (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Erbil,Duhok,2006-12-22,4,0,F,iraq,Erbil (Iraq),Duhok (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Sirwan Sulimaniya,Kirkuk,2006-12-22,1,0,F,iraq,Sirwan Sulimaniya (Iraq),Kirkuk (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Maysan,Shatra,2006-12-28,1,0,F,iraq,Maysan (Iraq),Shatra (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kirkuk,Erbil,2006-12-28,1,2,F,iraq,Kirkuk (Iraq),Erbil (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sulimaniya,Sirwan Sulimaniya,2006-12-28,1,1,F,iraq,Al Sulimaniya (Iraq),Sirwan Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Duhok,Samaraa,2006-12-28,2,1,F,iraq,Duhok (Iraq),Samaraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Karbala,Al Minaa,2006-12-29,1,1,F,iraq,Karbala (Iraq),Al Minaa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Najaf,Nafit Al Janob,2006-12-29,2,1,F,iraq,Al Najaf (Iraq),Nafit Al Janob (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Minaa,Shatra,2007-01-04,2,1,F,iraq,Al Minaa (Iraq),Shatra (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sulimaniya,Erbil,2007-01-04,1,2,F,iraq,Al Sulimaniya (Iraq),Erbil (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Duhok,Kirkuk,2007-01-04,1,0,F,iraq,Duhok (Iraq),Kirkuk (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Karbala,Al Najaf,2007-01-05,0,0,F,iraq,Karbala (Iraq),Al Najaf (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafit Al Janob,Furat,2007-01-05,1,0,F,iraq,Nafit Al Janob (Iraq),Furat (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Sirwan Sulimaniya,Al Mosul,2007-01-05,2,1,F,iraq,Sirwan Sulimaniya (Iraq),Al Mosul (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Maysan,Al Minaa,2007-01-11,0,1,F,iraq,Maysan (Iraq),Al Minaa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Furat,Karbala,2007-01-11,0,4,F,iraq,Furat (Iraq),Karbala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Shatra,Al Najaf,2007-01-12,1,2,F,iraq,Shatra (Iraq),Al Najaf (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kirkuk,Samaraa,2007-01-12,0,2,F,iraq,Kirkuk (Iraq),Samaraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Samaraa,Sirwan Sulimaniya,2007-01-18,0,1,F,iraq,Samaraa (Iraq),Sirwan Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafit Al Janob,Maysan,2007-01-19,2,1,F,iraq,Nafit Al Janob (Iraq),Maysan (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Najaf,Al Minaa,2007-01-19,1,0,F,iraq,Al Najaf (Iraq),Al Minaa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Furat,Shatra,2007-01-19,0,1,F,iraq,Furat (Iraq),Shatra (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Mosul,Duhok,2007-01-19,0,0,F,iraq,Al Mosul (Iraq),Duhok (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kirkuk,Al Sulimaniya,2007-01-19,0,1,F,iraq,Kirkuk (Iraq),Al Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafit Al Janob,Karbala,2007-01-25,1,1,F,iraq,Nafit Al Janob (Iraq),Karbala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Maysan,Al Najaf,2007-01-25,1,2,F,iraq,Maysan (Iraq),Al Najaf (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sulimaniya,Samaraa,2007-01-25,3,2,F,iraq,Al Sulimaniya (Iraq),Samaraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Mosul,Kirkuk,2007-01-25,0,1,F,iraq,Al Mosul (Iraq),Kirkuk (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Minaa,Furat,2007-01-26,4,0,F,iraq,Al Minaa (Iraq),Furat (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Erbil,Samaraa,2007-02-02,4,0,F,iraq,Erbil (Iraq),Samaraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Duhok,Sirwan Sulimaniya,2007-02-02,1,1,F,iraq,Duhok (Iraq),Sirwan Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sulimaniya,Al Mosul,2007-02-02,2,1,F,iraq,Al Sulimaniya (Iraq),Al Mosul (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Najaf,Furat,2007-02-08,4,0,F,iraq,Al Najaf (Iraq),Furat (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Karbala,Maysan,2007-02-09,2,2,F,iraq,Karbala (Iraq),Maysan (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Shatra,Nafit Al Janob,2007-02-09,0,3,F,iraq,Shatra (Iraq),Nafit Al Janob (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Sirwan Sulimaniya,Erbil,2007-02-09,1,1,F,iraq,Sirwan Sulimaniya (Iraq),Erbil (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Erbil,Al Mosul,2007-02-15,1,0,F,iraq,Erbil (Iraq),Al Mosul (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Zawraa,Nafut,2007-02-15,1,1,F,iraq,Al Zawraa (Iraq),Nafut (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Talaba,Kahrba,2007-02-15,0,2,F,iraq,Al Talaba (Iraq),Kahrba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Shorta,Al Jaish,2007-02-15,3,0,F,iraq,Al Shorta (Iraq),Al Jaish (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Furat,Maysan,2007-02-16,1,3,F,iraq,Furat (Iraq),Maysan (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Minaa,Nafit Al Janob,2007-02-16,2,1,F,iraq,Al Minaa (Iraq),Nafit Al Janob (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Shatra,Karbala,2007-02-17,0,1,F,iraq,Shatra (Iraq),Karbala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Zawraa,Kahrba,2007-02-18,2,0,F,iraq,Al Zawraa (Iraq),Kahrba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Talaba,Addala,2007-02-18,0,0,F,iraq,Al Talaba (Iraq),Addala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Quwa Al Jawiya,Al Jaish,2007-02-18,4,1,F,iraq,Al Quwa Al Jawiya (Iraq),Al Jaish (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Shorta,Al Sinaah,2007-02-18,1,0,F,iraq,Al Shorta (Iraq),Al Sinaah (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kahrba,Addala,2007-02-21,0,0,F,iraq,Kahrba (Iraq),Addala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafut,Al Talaba,2007-02-21,1,2,F,iraq,Nafut (Iraq),Al Talaba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Quwa Al Jawiya,Al Shorta,2007-02-21,0,1,F,iraq,Al Quwa Al Jawiya (Iraq),Al Shorta (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sinaah,Al Jaish,2007-02-21,1,0,F,iraq,Al Sinaah (Iraq),Al Jaish (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Zawraa,Addala,2007-02-24,2,0,F,iraq,Al Zawraa (Iraq),Addala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kahrba,Nafut,2007-02-24,0,0,F,iraq,Kahrba (Iraq),Nafut (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Quwa Al Jawiya,Al Sinaah,2007-02-24,0,0,F,iraq,Al Quwa Al Jawiya (Iraq),Al Sinaah (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Zawraa,Al Talaba,2007-02-27,0,0,F,iraq,Al Zawraa (Iraq),Al Talaba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Addala,Nafut,2007-02-27,0,2,F,iraq,Addala (Iraq),Nafut (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sulimaniya,Duhok,2007-03-02,0,1,F,iraq,Al Sulimaniya (Iraq),Duhok (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kirkuk,Sirwan Sulimaniya,2007-03-08,1,1,F,iraq,Kirkuk (Iraq),Sirwan Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Duhok,Erbil,2007-03-09,2,1,F,iraq,Duhok (Iraq),Erbil (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafut,Al Zawraa,2007-03-14,1,1,F,iraq,Nafut (Iraq),Al Zawraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Samaraa,Duhok,2007-03-16,1,1,F,iraq,Samaraa (Iraq),Duhok (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sulimaniya,Sirwan Sulimaniya,2007-03-16,2,1,F,iraq,Al Sulimaniya (Iraq),Sirwan Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kahrba,Al Talaba,2007-03-17,1,3,F,iraq,Kahrba (Iraq),Al Talaba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sinaah,Al Quwa Al Jawiya,2007-03-18,2,4,F,iraq,Al Sinaah (Iraq),Al Quwa Al Jawiya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Jaish,Al Shorta,2007-03-19,0,3,F,iraq,Al Jaish (Iraq),Al Shorta (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Addala,Al Talaba,2007-03-20,0,0,F,iraq,Addala (Iraq),Al Talaba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Jaish,Al Quwa Al Jawiya,2007-03-21,0,3,F,iraq,Al Jaish (Iraq),Al Quwa Al Jawiya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sinaah,Al Shorta,2007-03-22,0,2,F,iraq,Al Sinaah (Iraq),Al Shorta (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Kirkuk,Duhok,2007-03-23,0,1,F,iraq,Kirkuk (Iraq),Duhok (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Sirwan Sulimaniya,Al Mosul,2007-03-23,1,0,F,iraq,Sirwan Sulimaniya (Iraq),Al Mosul (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Erbil,Al Sulimaniya,2007-03-23,0,0,F,iraq,Erbil (Iraq),Al Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Addala,Kahrba,2007-03-24,0,1,F,iraq,Addala (Iraq),Kahrba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Talaba,Nafut,2007-03-25,2,1,F,iraq,Al Talaba (Iraq),Nafut (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Mosul,Samaraa,2007-03-26,0,0,F,iraq,Al Mosul (Iraq),Samaraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Erbil,Kirkuk,2007-03-26,2,1,F,iraq,Erbil (Iraq),Kirkuk (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Shorta,Al Quwa Al Jawiya,2007-03-26,2,1,F,iraq,Al Shorta (Iraq),Al Quwa Al Jawiya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Jaish,Al Sinaah,2007-03-27,0,0,F,iraq,Al Jaish (Iraq),Al Sinaah (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Addala,Al Zawraa,2007-03-28,0,2,F,iraq,Addala (Iraq),Al Zawraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafut,Kahrba,2007-03-29,3,1,F,iraq,Nafut (Iraq),Kahrba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Duhok,Al Sulimaniya,2007-03-30,2,1,F,iraq,Duhok (Iraq),Al Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Zawraa,Kahrba,2007-03-31,1,1,F,iraq,Al Zawraa (Iraq),Kahrba (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Mosul,Erbil,2007-03-31,1,2,F,iraq,Al Mosul (Iraq),Erbil (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Samaraa,Kirkuk,2007-04-01,1,2,F,iraq,Samaraa (Iraq),Kirkuk (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Talaba,Al Zawraa,2007-04-03,0,0,F,iraq,Al Talaba (Iraq),Al Zawraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafut,Addala,2007-04-04,0,1,F,iraq,Nafut (Iraq),Addala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Sulimaniya,Kirkuk,2007-04-06,1,0,F,iraq,Al Sulimaniya (Iraq),Kirkuk (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Duhok,Al Mosul,2007-04-06,0,0,F,iraq,Duhok (Iraq),Al Mosul (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Erbil,Sirwan Sulimaniya,2007-04-09,1,0,F,iraq,Erbil (Iraq),Sirwan Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Samaraa,Al Sulimaniya,2007-04-09,1,1,F,iraq,Samaraa (Iraq),Al Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Mosul,Kirkuk,2007-04-09,1,1,F,iraq,Al Mosul (Iraq),Kirkuk (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Shatra,Maysan,2007-04-13,4,0,F,iraq,Shatra (Iraq),Maysan (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Minaa,Karbala,2007-04-13,1,1,F,iraq,Al Minaa (Iraq),Karbala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Sirwan Sulimaniya,Samaraa,2007-04-13,0,0,F,iraq,Sirwan Sulimaniya (Iraq),Samaraa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Mosul,Al Sulimaniya,2007-04-16,1,1,F,iraq,Al Mosul (Iraq),Al Sulimaniya (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Sirwan Sulimaniya,Duhok,2007-04-16,2,1,F,iraq,Sirwan Sulimaniya (Iraq),Duhok (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Samaraa,Erbil,2007-04-16,1,1,F,iraq,Samaraa (Iraq),Erbil (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Shatra,Al Minaa,2007-04-16,1,1,F,iraq,Shatra (Iraq),Al Minaa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Furat,Nafit Al Janob,2007-04-17,2,1,F,iraq,Furat (Iraq),Nafit Al Janob (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Karbala,Furat,2007-04-20,3,0,F,iraq,Karbala (Iraq),Furat (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Al Minaa,Maysan,2007-04-21,2,0,F,iraq,Al Minaa (Iraq),Maysan (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Shatra,Furat,2007-04-23,1,2,F,iraq,Shatra (Iraq),Furat (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Maysan,Nafit Al Janob,2007-04-24,1,1,F,iraq,Maysan (Iraq),Nafit Al Janob (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Furat,Al Minaa,2007-04-27,0,1,F,iraq,Furat (Iraq),Al Minaa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Karbala,Nafit Al Janob,2007-04-27,1,1,F,iraq,Karbala (Iraq),Nafit Al Janob (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Maysan,Karbala,2007-04-30,0,1,F,iraq,Maysan (Iraq),Karbala (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafit Al Janob,Shatra,2007-04-30,0,0,F,iraq,Nafit Al Janob (Iraq),Shatra (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Furat,Al Najaf,2007-05-03,1,2,F,iraq,Furat (Iraq),Al Najaf (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Maysan,Furat,2007-05-07,1,1,F,iraq,Maysan (Iraq),Furat (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Karbala,Shatra,2007-05-07,2,0,F,iraq,Karbala (Iraq),Shatra (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
Nafit Al Janob,Al Minaa,2007-05-07,0,1,F,iraq,Nafit Al Janob (Iraq),Al Minaa (Iraq),iraq,iraq,IQ,IQ,Asia,Asia,Asia,national
