home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Dundalk FC,Uc Dublin,1981-09-12,2,0,F,ireland-republic,Dundalk FC (Ireland Republic),Uc Dublin (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Shamrock Rovers,Thurles Town FC,1981-09-12,7,0,F,ireland-republic,Shamrock Rovers (Ireland Republic),Thurles Town FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Athlone Town,Shelbourne FC,1981-09-12,3,0,F,ireland-republic,Athlone Town (Ireland Republic),Shelbourne FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Sligo Rovers,Bohemian FC,1981-09-12,0,2,F,ireland-republic,Sligo Rovers (Ireland Republic),Bohemian FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Limerick FC,Finn Harps,1981-09-12,2,2,F,ireland-republic,Limerick FC (Ireland Republic),Finn Harps (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
St Patricks Athletic,Albert Rovers FC,1981-09-12,1,3,F,ireland-republic,St Patricks Athletic (Ireland Republic),Albert Rovers FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Waterford United,Drogheda United,1981-09-12,2,0,F,ireland-republic,Waterford United (Ireland Republic),Drogheda United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Home Farm,Galway United,1981-09-12,3,3,F,ireland-republic,Home Farm (Ireland Republic),Galway United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Shelbourne FC,Limerick FC,1981-09-19,0,3,F,ireland-republic,Shelbourne FC (Ireland Republic),Limerick FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Bohemian FC,Shamrock Rovers,1981-09-19,3,1,F,ireland-republic,Bohemian FC (Ireland Republic),Shamrock Rovers (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Albert Rovers FC,Dundalk FC,1981-09-19,0,2,F,ireland-republic,Albert Rovers FC (Ireland Republic),Dundalk FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Drogheda United,Sligo Rovers,1981-09-19,6,1,F,ireland-republic,Drogheda United (Ireland Republic),Sligo Rovers (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Galway United,Athlone Town,1981-09-19,1,4,F,ireland-republic,Galway United (Ireland Republic),Athlone Town (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Thurles Town FC,Home Farm,1981-09-19,0,2,F,ireland-republic,Thurles Town FC (Ireland Republic),Home Farm (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Uc Dublin,Waterford United,1981-09-19,0,1,F,ireland-republic,Uc Dublin (Ireland Republic),Waterford United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Limerick FC,Galway United,1981-09-26,2,0,F,ireland-republic,Limerick FC (Ireland Republic),Galway United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Athlone Town,Thurles Town FC,1981-09-26,8,0,F,ireland-republic,Athlone Town (Ireland Republic),Thurles Town FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Albert Rovers FC,Uc Dublin,1981-09-26,1,0,F,ireland-republic,Albert Rovers FC (Ireland Republic),Uc Dublin (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Dundalk FC,Finn Harps,1981-09-26,3,0,F,ireland-republic,Dundalk FC (Ireland Republic),Finn Harps (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Home Farm,Bohemian FC,1981-09-26,0,1,F,ireland-republic,Home Farm (Ireland Republic),Bohemian FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Shamrock Rovers,Drogheda United,1981-09-26,1,0,F,ireland-republic,Shamrock Rovers (Ireland Republic),Drogheda United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Sligo Rovers,Waterford United,1981-09-26,1,0,F,ireland-republic,Sligo Rovers (Ireland Republic),Waterford United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
St Patricks Athletic,Shelbourne FC,1981-09-26,2,1,F,ireland-republic,St Patricks Athletic (Ireland Republic),Shelbourne FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Bohemian FC,Athlone Town,1981-10-03,1,0,F,ireland-republic,Bohemian FC (Ireland Republic),Athlone Town (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Waterford United,Shamrock Rovers,1981-10-03,0,1,F,ireland-republic,Waterford United (Ireland Republic),Shamrock Rovers (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Finn Harps,Albert Rovers FC,1981-10-03,3,0,F,ireland-republic,Finn Harps (Ireland Republic),Albert Rovers FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Uc Dublin,Sligo Rovers,1981-10-03,1,3,F,ireland-republic,Uc Dublin (Ireland Republic),Sligo Rovers (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Drogheda United,Home Farm,1981-10-03,3,1,F,ireland-republic,Drogheda United (Ireland Republic),Home Farm (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Thurles Town FC,Limerick FC,1981-10-03,0,3,F,ireland-republic,Thurles Town FC (Ireland Republic),Limerick FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Shelbourne FC,Dundalk FC,1981-10-03,0,3,F,ireland-republic,Shelbourne FC (Ireland Republic),Dundalk FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Limerick FC,Bohemian FC,1981-10-10,0,1,F,ireland-republic,Limerick FC (Ireland Republic),Bohemian FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Dundalk FC,Galway United,1981-10-10,4,0,F,ireland-republic,Dundalk FC (Ireland Republic),Galway United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Athlone Town,Drogheda United,1981-10-10,1,0,F,ireland-republic,Athlone Town (Ireland Republic),Drogheda United (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Shamrock Rovers,Sligo Rovers,1981-10-10,1,0,F,ireland-republic,Shamrock Rovers (Ireland Republic),Sligo Rovers (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
St Patricks Athletic,Thurles Town FC,1981-10-10,4,1,F,ireland-republic,St Patricks Athletic (Ireland Republic),Thurles Town FC (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
Finn Harps,Uc Dublin,1981-10-10,3,1,F,ireland-republic,Finn Harps (Ireland Republic),Uc Dublin (Ireland Republic),ireland-republic,ireland-republic,IRL,IRL,Europe,Europe,Europe,national
