home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Maccabi Haifa,Maccabi Jaffa,1995-08-26,3,1,F,israel,Maccabi Haifa (Israel),Maccabi Jaffa (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel Tel Aviv,Hapoel Beer Sheva,1995-08-26,3,2,F,israel,Hapoel Tel Aviv (Israel),Hapoel Beer Sheva (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel Petach Tikva,Hapoel KSar Saba FC,1995-08-26,3,1,F,israel,Hapoel Petach Tikva (Israel),Hapoel KSar Saba FC (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Beitar Jerusalem,Hapoel Haifa,1995-08-26,2,1,F,israel,Beitar Jerusalem (Israel),Hapoel Haifa (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Maccabi Herzliya,Ironi Rishon Lezion,1995-08-26,1,0,F,israel,Maccabi Herzliya (Israel),Ironi Rishon Lezion (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Zafririm Holon,Maccabi Petach Tikva,1995-08-26,4,4,F,israel,Zafririm Holon (Israel),Maccabi Petach Tikva (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel Beit Shean FC,Bnei Yehuda Tel Aviv,1995-08-26,2,1,F,israel,Hapoel Beit Shean FC (Israel),Bnei Yehuda Tel Aviv (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Beitar Tel Aviv FC,Maccabi Tel Aviv,1995-08-26,0,3,F,israel,Beitar Tel Aviv FC (Israel),Maccabi Tel Aviv (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel Beer Sheva,Maccabi Haifa,1995-09-09,1,1,F,israel,Hapoel Beer Sheva (Israel),Maccabi Haifa (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Maccabi Petach Tikva,Hapoel Petach Tikva,1995-09-09,3,1,F,israel,Maccabi Petach Tikva (Israel),Hapoel Petach Tikva (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Bnei Yehuda Tel Aviv,Beitar Tel Aviv FC,1995-09-09,2,2,F,israel,Bnei Yehuda Tel Aviv (Israel),Beitar Tel Aviv FC (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel KSar Saba FC,Beitar Jerusalem,1995-09-09,1,2,F,israel,Hapoel KSar Saba FC (Israel),Beitar Jerusalem (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel Haifa,Hapoel Beit Shean FC,1995-09-09,3,1,F,israel,Hapoel Haifa (Israel),Hapoel Beit Shean FC (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Maccabi Herzliya,Hapoel Tel Aviv,1995-09-09,0,2,F,israel,Maccabi Herzliya (Israel),Hapoel Tel Aviv (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Ironi Rishon Lezion,Maccabi Tel Aviv,1995-09-09,1,2,F,israel,Ironi Rishon Lezion (Israel),Maccabi Tel Aviv (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Maccabi Jaffa,Zafririm Holon,1995-09-09,4,2,F,israel,Maccabi Jaffa (Israel),Zafririm Holon (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Maccabi Haifa,Maccabi Herzliya,1995-09-16,2,0,F,israel,Maccabi Haifa (Israel),Maccabi Herzliya (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,1995-09-16,4,1,F,israel,Maccabi Tel Aviv (Israel),Bnei Yehuda Tel Aviv (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel Tel Aviv,Ironi Rishon Lezion,1995-09-16,2,1,F,israel,Hapoel Tel Aviv (Israel),Ironi Rishon Lezion (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Hapoel Petach Tikva,Maccabi Jaffa,1995-09-16,3,1,F,israel,Hapoel Petach Tikva (Israel),Maccabi Jaffa (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
Beitar Jerusalem,Maccabi Petach Tikva,1995-09-16,3,1,F,israel,Beitar Jerusalem (Israel),Maccabi Petach Tikva (Israel),israel,israel,IL,IL,Europe,Europe,Europe,national
