home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Juventus,Ssc Napoli,1929-10-06,3,2,F,italy,Juventus (Italy),Ssc Napoli (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Lazio Roma,Bologna FC,1929-10-06,3,0,F,italy,Lazio Roma (Italy),Bologna FC (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
As Livorno,Inter,1929-10-06,1,2,F,italy,As Livorno (Italy),Inter (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
AC Milan,Brescia Calcio,1929-10-06,4,1,F,italy,AC Milan (Italy),Brescia Calcio (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Calcio Padova,Modena FC,1929-10-06,1,3,F,italy,Calcio Padova (Italy),Modena FC (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Pro Patria,US Cremonese,1929-10-06,4,2,F,italy,Pro Patria (Italy),US Cremonese (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Pro Vercelli,Genoa CFc,1929-10-06,3,3,F,italy,Pro Vercelli (Italy),Genoa CFc (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Unione Triestina,Torino FC,1929-10-06,0,1,F,italy,Unione Triestina (Italy),Torino FC (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
US Alessandria 1912,As Roma,1929-10-06,3,1,F,italy,US Alessandria 1912 (Italy),As Roma (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Pro Vercelli,Inter,1929-10-13,1,0,F,italy,Pro Vercelli (Italy),Inter (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
As Roma,US Cremonese,1929-10-13,9,0,F,italy,As Roma (Italy),US Cremonese (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Ssc Napoli,Brescia Calcio,1929-10-13,1,1,F,italy,Ssc Napoli (Italy),Brescia Calcio (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
AC Milan,Modena FC,1929-10-13,1,0,F,italy,AC Milan (Italy),Modena FC (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Genoa CFc,Lazio Roma,1929-10-13,2,0,F,italy,Genoa CFc (Italy),Lazio Roma (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
US Alessandria 1912,Pro Patria,1929-10-13,0,0,F,italy,US Alessandria 1912 (Italy),Pro Patria (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Bologna FC,Unione Triestina,1929-10-13,2,2,F,italy,Bologna FC (Italy),Unione Triestina (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Torino FC,Calcio Padova,1929-10-13,3,1,F,italy,Torino FC (Italy),Calcio Padova (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
As Livorno,Juventus,1929-10-13,1,5,F,italy,As Livorno (Italy),Juventus (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Lazio Roma,US Alessandria 1912,1929-10-20,0,0,F,italy,Lazio Roma (Italy),US Alessandria 1912 (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Unione Triestina,As Roma,1929-10-20,1,1,F,italy,Unione Triestina (Italy),As Roma (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Torino FC,As Livorno,1929-10-20,3,0,F,italy,Torino FC (Italy),As Livorno (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Pro Patria,Genoa CFc,1929-10-20,0,1,F,italy,Pro Patria (Italy),Genoa CFc (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Modena FC,Pro Vercelli,1929-10-20,1,1,F,italy,Modena FC (Italy),Pro Vercelli (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
US Cremonese,Juventus,1929-10-20,0,0,F,italy,US Cremonese (Italy),Juventus (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Brescia Calcio,Calcio Padova,1929-10-20,3,2,F,italy,Brescia Calcio (Italy),Calcio Padova (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Inter,Bologna FC,1929-10-20,2,1,F,italy,Inter (Italy),Bologna FC (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
Ssc Napoli,AC Milan,1929-10-20,2,1,F,italy,Ssc Napoli (Italy),AC Milan (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
As Livorno,Modena FC,1929-10-27,2,2,F,italy,As Livorno (Italy),Modena FC (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
US Cremonese,Unione Triestina,1929-10-27,2,1,F,italy,US Cremonese (Italy),Unione Triestina (Italy),italy,italy,IT,IT,Europe,Europe,Europe,national
