home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Harbour View FC,Portmore United FC,2000-09-17,2,0,F,jamaica,Harbour View FC (Jamaica),Portmore United FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Arnett Gardens FC,Constant Spring FC,2000-09-17,1,2,F,jamaica,Arnett Gardens FC (Jamaica),Constant Spring FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Waterhouse FC,Tivoli Gardens FC,2000-09-17,1,0,F,jamaica,Waterhouse FC (Jamaica),Tivoli Gardens FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Reno FC,Montego Bay United FC,2000-09-17,1,2,F,jamaica,Reno FC (Jamaica),Montego Bay United FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Wadadah FC,Olympic Gardens FC,2000-09-17,1,1,F,jamaica,Wadadah FC (Jamaica),Olympic Gardens FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Tivoli Gardens FC,Arnett Gardens FC,2000-09-24,2,1,F,jamaica,Tivoli Gardens FC (Jamaica),Arnett Gardens FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Olympic Gardens FC,Harbour View FC,2000-09-24,0,4,F,jamaica,Olympic Gardens FC (Jamaica),Harbour View FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Constant Spring FC,Wadadah FC,2000-09-24,2,2,F,jamaica,Constant Spring FC (Jamaica),Wadadah FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Portmore United FC,Reno FC,2000-09-24,0,1,F,jamaica,Portmore United FC (Jamaica),Reno FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Montego Bay United FC,Waterhouse FC,2000-09-24,1,1,F,jamaica,Montego Bay United FC (Jamaica),Waterhouse FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Harbour View FC,Montego Bay United FC,2000-10-11,0,1,F,jamaica,Harbour View FC (Jamaica),Montego Bay United FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Waterhouse FC,Constant Spring FC,2000-10-11,2,1,F,jamaica,Waterhouse FC (Jamaica),Constant Spring FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Arnett Gardens FC,Portmore United FC,2000-10-11,1,0,F,jamaica,Arnett Gardens FC (Jamaica),Portmore United FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Olympic Gardens FC,Tivoli Gardens FC,2000-10-11,0,2,F,jamaica,Olympic Gardens FC (Jamaica),Tivoli Gardens FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Wadadah FC,Reno FC,2000-10-11,1,3,F,jamaica,Wadadah FC (Jamaica),Reno FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Reno FC,Constant Spring FC,2000-10-15,3,1,F,jamaica,Reno FC (Jamaica),Constant Spring FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Waterhouse FC,Wadadah FC,2000-10-15,1,0,F,jamaica,Waterhouse FC (Jamaica),Wadadah FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Harbour View FC,Tivoli Gardens FC,2000-10-15,0,0,F,jamaica,Harbour View FC (Jamaica),Tivoli Gardens FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Arnett Gardens FC,Montego Bay United FC,2000-10-15,2,1,F,jamaica,Arnett Gardens FC (Jamaica),Montego Bay United FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
Reno FC,Olympic Gardens FC,2000-10-18,5,3,F,jamaica,Reno FC (Jamaica),Olympic Gardens FC (Jamaica),jamaica,jamaica,JM,JM,North America,North America,North America,national
