home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Weehdat,Al Jazeera,2000-08-18,1,0,F,jordan,Al Weehdat (Jordan),Al Jazeera (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Fahis,Shabab El Hussein,2000-08-18,1,3,F,jordan,Al Fahis (Jordan),Shabab El Hussein (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Shabab El Hussein,Al Hussein,2000-08-18,0,2,F,jordan,Shabab El Hussein (Jordan),Al Hussein (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Ahly,Shabab Al Ordon,2000-08-18,2,1,F,jordan,Al Ahly (Jordan),Shabab Al Ordon (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Jazeera,Shabab El Hussein,2000-08-25,2,2,F,jordan,Al Jazeera (Jordan),Shabab El Hussein (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Fahis,Shabab Al Ordon,2000-08-25,1,5,F,jordan,Al Fahis (Jordan),Shabab Al Ordon (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Weehdat,Ramtha SC,2000-09-01,2,1,F,jordan,Al Weehdat (Jordan),Ramtha SC (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Hussein,Al Jazeera,2000-09-01,5,0,F,jordan,Al Hussein (Jordan),Al Jazeera (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Shabab El Hussein,Shabab Al Ordon,2000-09-01,1,2,F,jordan,Shabab El Hussein (Jordan),Shabab Al Ordon (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Shabab El Hussein,Al Ahly,2000-09-01,2,3,F,jordan,Shabab El Hussein (Jordan),Al Ahly (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Jazeera,Shabab Al Ordon,2000-09-08,1,1,F,jordan,Al Jazeera (Jordan),Shabab Al Ordon (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Fahis,Shabab El Hussein,2000-09-09,0,1,F,jordan,Al Fahis (Jordan),Shabab El Hussein (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Ramtha SC,Al Jazeera,2000-09-15,3,2,F,jordan,Ramtha SC (Jordan),Al Jazeera (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Ahly,Al Hussein,2000-09-15,0,1,F,jordan,Al Ahly (Jordan),Al Hussein (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Shabab El Hussein,Shabab El Hussein,2000-09-15,1,1,F,jordan,Shabab El Hussein (Jordan),Shabab El Hussein (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Al Weehdat,Al Fahis,2000-09-15,4,2,F,jordan,Al Weehdat (Jordan),Al Fahis (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
Shabab Al Ordon,Al Faysali,2000-09-15,0,2,F,jordan,Shabab Al Ordon (Jordan),Al Faysali (Jordan),jordan,jordan,JO,JO,Asia,Asia,Asia,national
