home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK CSKA Almaty,FC Ekibastuzets Ekibastuz,1999-04-28,2,1,FALSE,kazakhstan,FK CSKA Almaty (Kazakhstan),FC Ekibastuzets Ekibastuz (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kairat,FK Kyzyl-Zhar SK Petropavlovsk,1999-04-28,1,2,FALSE,kazakhstan,FK Kairat (Kazakhstan),FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Taraz,Irtysh Pavlodar,1999-04-28,0,0,FALSE,kazakhstan,FC Taraz (Kazakhstan),Irtysh Pavlodar (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Vostok Ust Kamenogorsk,Okzhetpes Kokshetau,1999-04-28,1,0,FALSE,kazakhstan,FC Vostok Ust Kamenogorsk (Kazakhstan),Okzhetpes Kokshetau (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Yelimai,Zhetysu Taldykorgan,1999-04-28,2,0,FALSE,kazakhstan,Yelimai (Kazakhstan),Zhetysu Taldykorgan (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Zhiger Shymkent,FC Zhenis Astana,1999-04-28,1,1,FALSE,kazakhstan,Zhiger Shymkent (Kazakhstan),FC Zhenis Astana (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Kaisar Kyzylorda,FC Shakhter Karagandy,1999-04-29,1,1,FALSE,kazakhstan,FC Kaisar Kyzylorda (Kazakhstan),FC Shakhter Karagandy (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Tomiris Shymkent,Tobyl Kostanay,1999-04-29,3,1,FALSE,kazakhstan,Tomiris Shymkent (Kazakhstan),Tobyl Kostanay (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK CSKA Almaty,Irtysh Pavlodar,1999-05-01,0,2,FALSE,kazakhstan,FK CSKA Almaty (Kazakhstan),Irtysh Pavlodar (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Taraz,FC Ekibastuzets Ekibastuz,1999-05-01,2,1,FALSE,kazakhstan,FC Taraz (Kazakhstan),FC Ekibastuzets Ekibastuz (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Vostok Ust Kamenogorsk,Zhetysu Taldykorgan,1999-05-01,1,2,FALSE,kazakhstan,FC Vostok Ust Kamenogorsk (Kazakhstan),Zhetysu Taldykorgan (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Yelimai,Okzhetpes Kokshetau,1999-05-01,2,1,FALSE,kazakhstan,Yelimai (Kazakhstan),Okzhetpes Kokshetau (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Kaisar Kyzylorda,Tobyl Kostanay,1999-05-02,2,0,FALSE,kazakhstan,FC Kaisar Kyzylorda (Kazakhstan),Tobyl Kostanay (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kairat,FC Zhenis Astana,1999-05-02,1,0,FALSE,kazakhstan,FK Kairat (Kazakhstan),FC Zhenis Astana (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Zhiger Shymkent,FK Kyzyl-Zhar SK Petropavlovsk,1999-05-02,0,6,FALSE,kazakhstan,Zhiger Shymkent (Kazakhstan),FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Tomiris Shymkent,FC Shakhter Karagandy,1999-05-03,3,0,FALSE,kazakhstan,Tomiris Shymkent (Kazakhstan),FC Shakhter Karagandy (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK CSKA Almaty,FC Taraz,1999-05-21,4,1,FALSE,kazakhstan,FK CSKA Almaty (Kazakhstan),FC Taraz (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kyzyl-Zhar SK Petropavlovsk,FC Kaisar Kyzylorda,1999-05-22,2,1,FALSE,kazakhstan,FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),FC Kaisar Kyzylorda (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Ekibastuzets Ekibastuz,FK Kairat,1999-05-22,0,3,FALSE,kazakhstan,FC Ekibastuzets Ekibastuz (Kazakhstan),FK Kairat (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Irtysh Pavlodar,Zhiger Shymkent,1999-05-22,2,1,FALSE,kazakhstan,Irtysh Pavlodar (Kazakhstan),Zhiger Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Shakhter Karagandy,FC Vostok Ust Kamenogorsk,1999-05-22,2,0,FALSE,kazakhstan,FC Shakhter Karagandy (Kazakhstan),FC Vostok Ust Kamenogorsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Tobyl Kostanay,Yelimai,1999-05-22,1,0,FALSE,kazakhstan,Tobyl Kostanay (Kazakhstan),Yelimai (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Zhenis Astana,Tomiris Shymkent,1999-05-22,3,0,FALSE,kazakhstan,FC Zhenis Astana (Kazakhstan),Tomiris Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kyzyl-Zhar SK Petropavlovsk,Tomiris Shymkent,1999-05-25,2,0,FALSE,kazakhstan,FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),Tomiris Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Okzhetpes Kokshetau,Zhetysu Taldykorgan,1999-05-25,1,1,FALSE,kazakhstan,Okzhetpes Kokshetau (Kazakhstan),Zhetysu Taldykorgan (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Ekibastuzets Ekibastuz,Zhiger Shymkent,1999-05-25,1,0,FALSE,kazakhstan,FC Ekibastuzets Ekibastuz (Kazakhstan),Zhiger Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Irtysh Pavlodar,FK Kairat,1999-05-25,1,0,FALSE,kazakhstan,Irtysh Pavlodar (Kazakhstan),FK Kairat (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Shakhter Karagandy,Yelimai,1999-05-25,1,1,FALSE,kazakhstan,FC Shakhter Karagandy (Kazakhstan),Yelimai (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Tobyl Kostanay,FC Vostok Ust Kamenogorsk,1999-05-25,0,0,FALSE,kazakhstan,Tobyl Kostanay (Kazakhstan),FC Vostok Ust Kamenogorsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Zhenis Astana,FC Kaisar Kyzylorda,1999-05-25,0,2,FALSE,kazakhstan,FC Zhenis Astana (Kazakhstan),FC Kaisar Kyzylorda (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kairat,FC Taraz,1999-06-08,1,0,FALSE,kazakhstan,FK Kairat (Kazakhstan),FC Taraz (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Zhiger Shymkent,FK CSKA Almaty,1999-06-08,2,1,FALSE,kazakhstan,Zhiger Shymkent (Kazakhstan),FK CSKA Almaty (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Okzhetpes Kokshetau,FC Shakhter Karagandy,1999-06-09,2,0,FALSE,kazakhstan,Okzhetpes Kokshetau (Kazakhstan),FC Shakhter Karagandy (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Kaisar Kyzylorda,FC Ekibastuzets Ekibastuz,1999-06-09,1,0,FALSE,kazakhstan,FC Kaisar Kyzylorda (Kazakhstan),FC Ekibastuzets Ekibastuz (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Tomiris Shymkent,Irtysh Pavlodar,1999-06-09,2,2,FALSE,kazakhstan,Tomiris Shymkent (Kazakhstan),Irtysh Pavlodar (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Vostok Ust Kamenogorsk,FC Zhenis Astana,1999-06-09,2,1,FALSE,kazakhstan,FC Vostok Ust Kamenogorsk (Kazakhstan),FC Zhenis Astana (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Yelimai,FK Kyzyl-Zhar SK Petropavlovsk,1999-06-09,1,0,FALSE,kazakhstan,Yelimai (Kazakhstan),FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Zhetysu Taldykorgan,Tobyl Kostanay,1999-06-09,2,1,FALSE,kazakhstan,Zhetysu Taldykorgan (Kazakhstan),Tobyl Kostanay (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Zhiger Shymkent,FC Taraz,1999-06-11,5,1,FALSE,kazakhstan,Zhiger Shymkent (Kazakhstan),FC Taraz (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Kaisar Kyzylorda,Irtysh Pavlodar,1999-06-12,0,0,FALSE,kazakhstan,FC Kaisar Kyzylorda (Kazakhstan),Irtysh Pavlodar (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Tomiris Shymkent,FC Ekibastuzets Ekibastuz,1999-06-12,3,2,FALSE,kazakhstan,Tomiris Shymkent (Kazakhstan),FC Ekibastuzets Ekibastuz (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Vostok Ust Kamenogorsk,FK Kyzyl-Zhar SK Petropavlovsk,1999-06-12,1,1,FALSE,kazakhstan,FC Vostok Ust Kamenogorsk (Kazakhstan),FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Okzhetpes Kokshetau,Tobyl Kostanay,1999-06-13,0,1,FALSE,kazakhstan,Okzhetpes Kokshetau (Kazakhstan),Tobyl Kostanay (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Zhenis Astana,Yelimai,1999-06-13,1,0,FALSE,kazakhstan,FC Zhenis Astana (Kazakhstan),Yelimai (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Zhetysu Taldykorgan,FC Shakhter Karagandy,1999-06-13,1,1,FALSE,kazakhstan,Zhetysu Taldykorgan (Kazakhstan),FC Shakhter Karagandy (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kairat,FK CSKA Almaty,1999-06-16,0,1,FALSE,kazakhstan,FK Kairat (Kazakhstan),FK CSKA Almaty (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kyzyl-Zhar SK Petropavlovsk,Zhetysu Taldykorgan,1999-06-23,2,0,FALSE,kazakhstan,FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),Zhetysu Taldykorgan (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Ekibastuzets Ekibastuz,Yelimai,1999-06-23,1,3,FALSE,kazakhstan,FC Ekibastuzets Ekibastuz (Kazakhstan),Yelimai (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Irtysh Pavlodar,FC Vostok Ust Kamenogorsk,1999-06-23,5,2,FALSE,kazakhstan,Irtysh Pavlodar (Kazakhstan),FC Vostok Ust Kamenogorsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Taraz,Tomiris Shymkent,1999-06-23,0,2,FALSE,kazakhstan,FC Taraz (Kazakhstan),Tomiris Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Zhenis Astana,Okzhetpes Kokshetau,1999-06-23,2,0,FALSE,kazakhstan,FC Zhenis Astana (Kazakhstan),Okzhetpes Kokshetau (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kyzyl-Zhar SK Petropavlovsk,Okzhetpes Kokshetau,1999-06-26,1,0,FALSE,kazakhstan,FK Kyzyl-Zhar SK Petropavlovsk (Kazakhstan),Okzhetpes Kokshetau (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Ekibastuzets Ekibastuz,FC Vostok Ust Kamenogorsk,1999-06-26,0,1,FALSE,kazakhstan,FC Ekibastuzets Ekibastuz (Kazakhstan),FC Vostok Ust Kamenogorsk (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Irtysh Pavlodar,Yelimai,1999-06-26,3,2,FALSE,kazakhstan,Irtysh Pavlodar (Kazakhstan),Yelimai (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK Kairat,Zhiger Shymkent,1999-06-26,2,0,FALSE,kazakhstan,FK Kairat (Kazakhstan),Zhiger Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Taraz,FC Kaisar Kyzylorda,1999-06-26,0,3,FALSE,kazakhstan,FC Taraz (Kazakhstan),FC Kaisar Kyzylorda (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Tobyl Kostanay,FC Shakhter Karagandy,1999-06-26,2,0,FALSE,kazakhstan,Tobyl Kostanay (Kazakhstan),FC Shakhter Karagandy (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Zhenis Astana,Zhetysu Taldykorgan,1999-06-26,1,0,FALSE,kazakhstan,FC Zhenis Astana (Kazakhstan),Zhetysu Taldykorgan (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK CSKA Almaty,FC Kaisar Kyzylorda,1999-06-29,1,2,FALSE,kazakhstan,FK CSKA Almaty (Kazakhstan),FC Kaisar Kyzylorda (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FK CSKA Almaty,Tomiris Shymkent,1999-07-02,1,1,FALSE,kazakhstan,FK CSKA Almaty (Kazakhstan),Tomiris Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
Okzhetpes Kokshetau,Irtysh Pavlodar,1999-07-09,1,2,FALSE,kazakhstan,Okzhetpes Kokshetau (Kazakhstan),Irtysh Pavlodar (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
FC Kaisar Kyzylorda,Zhiger Shymkent,1999-07-09,3,0,FALSE,kazakhstan,FC Kaisar Kyzylorda (Kazakhstan),Zhiger Shymkent (Kazakhstan),kazakhstan,kazakhstan,KZ,KZ,Europe,Europe,Europe,national
