home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Busan Ipark,Anyang,1991-03-30,1,1,F,korea-republic,Busan Ipark (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Jeju United FC,1991-03-30,1,2,F,korea-republic,Jeonnam Dragons (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Ulsan Horang I,1991-03-31,0,0,F,korea-republic,Pohang Steelers (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Anyang,1991-04-06,0,0,F,korea-republic,Jeju United FC (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Pohang Steelers,1991-04-06,0,1,F,korea-republic,Jeonnam Dragons (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Busan Ipark,1991-04-07,1,2,F,korea-republic,Ulsan Horang I (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Jeonnam Dragons,1991-04-13,0,0,F,korea-republic,Anyang (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Busan Ipark,Pohang Steelers,1991-04-13,2,0,F,korea-republic,Busan Ipark (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Jeju United FC,1991-04-14,0,0,F,korea-republic,Ulsan Horang I (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Busan Ipark,Jeju United FC,1991-04-20,1,0,F,korea-republic,Busan Ipark (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Ulsan Horang I,1991-04-20,0,2,F,korea-republic,Jeonnam Dragons (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Anyang,1991-04-20,4,3,F,korea-republic,Pohang Steelers (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Busan Ipark,Jeonnam Dragons,1991-04-24,2,2,F,korea-republic,Busan Ipark (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Pohang Steelers,1991-04-27,0,1,F,korea-republic,Jeju United FC (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Ulsan Horang I,1991-04-27,0,1,F,korea-republic,Anyang (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Busan Ipark,1991-05-04,3,2,F,korea-republic,Anyang (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Jeonnam Dragons,1991-05-04,1,1,F,korea-republic,Jeju United FC (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Pohang Steelers,1991-05-04,1,0,F,korea-republic,Ulsan Horang I (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Busan Ipark,Ulsan Horang I,1991-05-08,0,0,F,korea-republic,Busan Ipark (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Jeju United FC,1991-05-08,1,0,F,korea-republic,Anyang (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Jeonnam Dragons,1991-05-08,1,0,F,korea-republic,Pohang Steelers (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Anyang,1991-05-11,3,2,F,korea-republic,Ulsan Horang I (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Busan Ipark,1991-05-11,0,2,F,korea-republic,Jeonnam Dragons (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Jeju United FC,1991-05-11,0,1,F,korea-republic,Pohang Steelers (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Pohang Steelers,1991-05-15,2,2,F,korea-republic,Anyang (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Busan Ipark,1991-05-15,0,0,F,korea-republic,Jeju United FC (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Jeonnam Dragons,1991-05-15,2,0,F,korea-republic,Ulsan Horang I (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Anyang,1991-05-29,3,1,F,korea-republic,Jeonnam Dragons (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Ulsan Horang I,1991-05-29,0,0,F,korea-republic,Jeju United FC (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Anyang,1991-06-01,0,0,F,korea-republic,Pohang Steelers (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Ulsan Horang I,1991-06-01,1,0,F,korea-republic,Jeonnam Dragons (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Busan Ipark,1991-06-19,1,2,F,korea-republic,Pohang Steelers (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Anyang,1991-06-22,1,1,F,korea-republic,Jeonnam Dragons (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Ulsan Horang I,1991-06-22,1,2,F,korea-republic,Jeju United FC (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Busan Ipark,1991-06-22,0,2,F,korea-republic,Pohang Steelers (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Busan Ipark,1991-06-26,0,0,F,korea-republic,Ulsan Horang I (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Jeju United FC,1991-06-26,1,0,F,korea-republic,Anyang (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Jeonnam Dragons,1991-06-26,0,0,F,korea-republic,Pohang Steelers (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Jeju United FC,1991-06-29,2,1,F,korea-republic,Jeonnam Dragons (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Pohang Steelers,1991-06-29,1,1,F,korea-republic,Ulsan Horang I (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Busan Ipark,Anyang,1991-06-29,1,0,F,korea-republic,Busan Ipark (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Ulsan Horang I,1991-07-03,0,2,F,korea-republic,Anyang (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Busan Ipark,Jeonnam Dragons,1991-07-03,1,0,F,korea-republic,Busan Ipark (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Pohang Steelers,Jeju United FC,1991-07-03,2,1,F,korea-republic,Pohang Steelers (Korea Republic),Jeju United FC (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Busan Ipark,1991-07-06,1,1,F,korea-republic,Jeju United FC (Korea Republic),Busan Ipark (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Anyang,Pohang Steelers,1991-07-06,2,1,F,korea-republic,Anyang (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Ulsan Horang I,Jeonnam Dragons,1991-07-07,1,3,F,korea-republic,Ulsan Horang I (Korea Republic),Jeonnam Dragons (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeonnam Dragons,Pohang Steelers,1991-07-10,1,3,F,korea-republic,Jeonnam Dragons (Korea Republic),Pohang Steelers (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Busan Ipark,Ulsan Horang I,1991-07-10,0,0,F,korea-republic,Busan Ipark (Korea Republic),Ulsan Horang I (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
Jeju United FC,Anyang,1991-07-10,1,0,F,korea-republic,Jeju United FC (Korea Republic),Anyang (Korea Republic),korea-republic,korea-republic,KOR,KOR,Asia,Asia,Asia,national
