home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
KF Feronikeli,KF Trepca89,2013-08-16,0,4,F,kosovo,KF Feronikeli (Kosovo),KF Trepca89 (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Prishtina KF,KF Ferizaj,2013-08-17,1,0,F,kosovo,Prishtina KF (Kosovo),KF Ferizaj (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Hysi,Fushe Kosova,2013-08-18,2,1,F,kosovo,Hysi (Kosovo),Fushe Kosova (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Drita Gjilan,Besa Peje,2013-08-18,0,0,F,kosovo,KF Drita Gjilan (Kosovo),Besa Peje (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Hajvalia,Drenica SKenderaj,2013-08-18,4,1,F,kosovo,KF Hajvalia (Kosovo),Drenica SKenderaj (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Kosovo KS Trepca Mitrovice,Kosova Vushtrri,2013-08-18,0,0,F,kosovo,Kosovo KS Trepca Mitrovice (Kosovo),Kosova Vushtrri (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Feronikeli,Prishtina KF,2013-08-23,2,0,F,kosovo,KF Feronikeli (Kosovo),Prishtina KF (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Drenica SKenderaj,Kosovo KS Trepca Mitrovice,2013-08-24,1,0,F,kosovo,Drenica SKenderaj (Kosovo),Kosovo KS Trepca Mitrovice (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Besa Peje,KF Hajvalia,2013-08-24,1,0,F,kosovo,Besa Peje (Kosovo),KF Hajvalia (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Fushe Kosova,KF Drita Gjilan,2013-08-24,1,1,F,kosovo,Fushe Kosova (Kosovo),KF Drita Gjilan (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Trepca89,Kosova Vushtrri,2013-08-25,0,0,F,kosovo,KF Trepca89 (Kosovo),Kosova Vushtrri (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Ferizaj,Hysi,2013-08-25,3,1,F,kosovo,KF Ferizaj (Kosovo),Hysi (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Kosovo KS Trepca Mitrovice,Besa Peje,2013-08-31,2,0,F,kosovo,Kosovo KS Trepca Mitrovice (Kosovo),Besa Peje (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Prishtina KF,KF Trepca89,2013-09-01,1,0,F,kosovo,Prishtina KF (Kosovo),KF Trepca89 (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Hysi,KF Feronikeli,2013-09-01,0,0,F,kosovo,Hysi (Kosovo),KF Feronikeli (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Drita Gjilan,KF Ferizaj,2013-09-01,0,0,F,kosovo,KF Drita Gjilan (Kosovo),KF Ferizaj (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Hajvalia,Fushe Kosova,2013-09-01,1,1,F,kosovo,KF Hajvalia (Kosovo),Fushe Kosova (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Kosova Vushtrri,Drenica SKenderaj,2013-09-01,2,1,F,kosovo,Kosova Vushtrri (Kosovo),Drenica SKenderaj (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Fushe Kosova,Kosovo KS Trepca Mitrovice,2013-09-07,1,0,F,kosovo,Fushe Kosova (Kosovo),Kosovo KS Trepca Mitrovice (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Prishtina KF,Hysi,2013-09-07,1,2,F,kosovo,Prishtina KF (Kosovo),Hysi (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Trepca89,Drenica SKenderaj,2013-09-08,1,0,F,kosovo,KF Trepca89 (Kosovo),Drenica SKenderaj (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Besa Peje,Kosova Vushtrri,2013-09-08,1,2,F,kosovo,Besa Peje (Kosovo),Kosova Vushtrri (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Ferizaj,KF Hajvalia,2013-09-08,2,1,F,kosovo,KF Ferizaj (Kosovo),KF Hajvalia (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Feronikeli,KF Drita Gjilan,2013-09-08,2,3,F,kosovo,KF Feronikeli (Kosovo),KF Drita Gjilan (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Kosovo KS Trepca Mitrovice,KF Ferizaj,2013-09-13,2,2,F,kosovo,Kosovo KS Trepca Mitrovice (Kosovo),KF Ferizaj (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Hysi,KF Trepca89,2013-09-14,2,0,F,kosovo,Hysi (Kosovo),KF Trepca89 (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Kosova Vushtrri,Fushe Kosova,2013-09-14,4,0,F,kosovo,Kosova Vushtrri (Kosovo),Fushe Kosova (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
Drenica SKenderaj,Besa Peje,2013-09-14,0,2,F,kosovo,Drenica SKenderaj (Kosovo),Besa Peje (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Drita Gjilan,Prishtina KF,2013-09-15,1,1,F,kosovo,KF Drita Gjilan (Kosovo),Prishtina KF (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
KF Hajvalia,KF Feronikeli,2013-09-15,0,0,F,kosovo,KF Hajvalia (Kosovo),KF Feronikeli (Kosovo),kosovo,kosovo,XK,XK,Europe,Europe,Europe,national
