home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FC Dordoi Dynamo,Sher Ak Dan Bishkek,2010-03-27,9,0,F,kyrgyzstan,FC Dordoi Dynamo (Kyrgyzstan),Sher Ak Dan Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Abdish Ata Kant,FK Khimik Karabalta,2010-03-28,9,0,F,kyrgyzstan,FK Abdish Ata Kant (Kyrgyzstan),FK Khimik Karabalta (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Alga Bishkek,FK Khimik Karabalta,2010-04-03,3,0,F,kyrgyzstan,Alga Bishkek (Kyrgyzstan),FK Khimik Karabalta (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Abdish Ata Kant,FC Dordoi Dynamo,2010-04-04,4,3,F,kyrgyzstan,FK Abdish Ata Kant (Kyrgyzstan),FC Dordoi Dynamo (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FC Dordoi Dynamo,FK Khimik Karabalta,2010-04-25,2,0,F,kyrgyzstan,FC Dordoi Dynamo (Kyrgyzstan),FK Khimik Karabalta (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Abdish Ata Kant,FK Neftchi Kochkor Ata,2010-04-26,0,0,F,kyrgyzstan,FK Abdish Ata Kant (Kyrgyzstan),FK Neftchi Kochkor Ata (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Sher Ak Dan Bishkek,FK Neftchi Kochkor Ata,2010-04-29,1,1,F,kyrgyzstan,Sher Ak Dan Bishkek (Kyrgyzstan),FK Neftchi Kochkor Ata (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FC Dordoi Dynamo,FK Neftchi Kochkor Ata,2010-05-02,1,1,F,kyrgyzstan,FC Dordoi Dynamo (Kyrgyzstan),FK Neftchi Kochkor Ata (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FC Dordoi Dynamo,Alga Bishkek,2010-05-05,0,2,F,kyrgyzstan,FC Dordoi Dynamo (Kyrgyzstan),Alga Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Abdish Ata Kant,Sher Ak Dan Bishkek,2010-05-06,4,1,F,kyrgyzstan,FK Abdish Ata Kant (Kyrgyzstan),Sher Ak Dan Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Sher Ak Dan Bishkek,Alga Bishkek,2010-05-11,1,3,F,kyrgyzstan,Sher Ak Dan Bishkek (Kyrgyzstan),Alga Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Neftchi Kochkor Ata,FK Khimik Karabalta,2010-05-16,3,0,F,kyrgyzstan,FK Neftchi Kochkor Ata (Kyrgyzstan),FK Khimik Karabalta (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Abdish Ata Kant,Alga Bishkek,2010-05-16,1,1,F,kyrgyzstan,FK Abdish Ata Kant (Kyrgyzstan),Alga Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Alga Bishkek,FK Neftchi Kochkor Ata,2010-05-19,0,1,F,kyrgyzstan,Alga Bishkek (Kyrgyzstan),FK Neftchi Kochkor Ata (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Sher Ak Dan Bishkek,FK Khimik Karabalta,2010-05-20,0,0,F,kyrgyzstan,Sher Ak Dan Bishkek (Kyrgyzstan),FK Khimik Karabalta (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Neftchi Kochkor Ata,Alga Bishkek,2010-05-29,2,0,F,kyrgyzstan,FK Neftchi Kochkor Ata (Kyrgyzstan),Alga Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Khimik Karabalta,FK Abdish Ata Kant,2010-05-30,0,3,F,kyrgyzstan,FK Khimik Karabalta (Kyrgyzstan),FK Abdish Ata Kant (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Sher Ak Dan Bishkek,FC Dordoi Dynamo,2010-05-30,0,6,F,kyrgyzstan,Sher Ak Dan Bishkek (Kyrgyzstan),FC Dordoi Dynamo (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Alga Bishkek,Sher Ak Dan Bishkek,2010-06-05,3,3,F,kyrgyzstan,Alga Bishkek (Kyrgyzstan),Sher Ak Dan Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Khimik Karabalta,FK Neftchi Kochkor Ata,2010-06-05,0,3,F,kyrgyzstan,FK Khimik Karabalta (Kyrgyzstan),FK Neftchi Kochkor Ata (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FC Dordoi Dynamo,FK Abdish Ata Kant,2010-06-05,1,0,F,kyrgyzstan,FC Dordoi Dynamo (Kyrgyzstan),FK Abdish Ata Kant (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Khimik Karabalta,FC Dordoi Dynamo,2010-06-11,0,5,F,kyrgyzstan,FK Khimik Karabalta (Kyrgyzstan),FC Dordoi Dynamo (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Alga Bishkek,FK Abdish Ata Kant,2010-06-12,2,2,F,kyrgyzstan,Alga Bishkek (Kyrgyzstan),FK Abdish Ata Kant (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
Sher Ak Dan Bishkek,FK Abdish Ata Kant,2010-06-19,3,6,F,kyrgyzstan,Sher Ak Dan Bishkek (Kyrgyzstan),FK Abdish Ata Kant (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
FK Khimik Karabalta,Alga Bishkek,2010-06-19,1,0,F,kyrgyzstan,FK Khimik Karabalta (Kyrgyzstan),Alga Bishkek (Kyrgyzstan),kyrgyzstan,kyrgyzstan,KG,KG,Asia,Asia,Asia,national
