home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Friends Development,Ha Attapeu,2013-03-16,0,4,F,laos,Friends Development (Laos),Ha Attapeu (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Yotha FC,Eastern Star,2013-03-16,7,2,F,laos,Yotha FC (Laos),Eastern Star (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Ezra FC,Shb Champasak,2013-03-17,1,1,F,laos,Ezra FC (Laos),Shb Champasak (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Lao Lane Xang,Yotha FC,2013-03-23,2,2,F,laos,Lao Lane Xang (Laos),Yotha FC (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Ha Attapeu,Ezra FC,2013-03-23,1,0,F,laos,Ha Attapeu (Laos),Ezra FC (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Eastern Star,Lao Police Club,2013-03-24,1,3,F,laos,Eastern Star (Laos),Lao Police Club (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Shb Champasak,Friends Development,2013-03-24,6,0,F,laos,Shb Champasak (Laos),Friends Development (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Lao Police Club,Shb Champasak,2013-03-30,1,3,F,laos,Lao Police Club (Laos),Shb Champasak (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Ezra FC,Lao Lane Xang,2013-03-30,1,0,F,laos,Ezra FC (Laos),Lao Lane Xang (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Friends Development,Eastern Star,2013-03-31,1,5,F,laos,Friends Development (Laos),Eastern Star (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Yotha FC,Ha Attapeu,2013-03-31,4,7,F,laos,Yotha FC (Laos),Ha Attapeu (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
Lao Lane Xang,Friends Development,2013-04-06,7,0,F,laos,Lao Lane Xang (Laos),Friends Development (Laos),laos,laos,LA,LA,Asia,Asia,Asia,national
