home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
SK Blazma,Jurnieks Riga,1996-04-20,1,0,F,latvia,SK Blazma (Latvia),Jurnieks Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC Ii,Skonto FC,1996-04-20,0,5,F,latvia,Skonto FC Ii (Latvia),Skonto FC (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Liepajas Metalurgs,FK Saldus Broceni,1996-04-20,1,0,F,latvia,FK Liepajas Metalurgs (Latvia),FK Saldus Broceni (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FC Dinaburg,Lokomotive Daugavpils,1996-04-20,2,0,F,latvia,FC Dinaburg (Latvia),Lokomotive Daugavpils (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Riga,FK Jelgava,1996-04-20,2,1,F,latvia,FK Riga (Latvia),FK Jelgava (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Jelgava,SK Blazma,1996-04-27,0,3,F,latvia,FK Jelgava (Latvia),SK Blazma (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Lokomotive Daugavpils,FK Saldus Broceni,1996-04-27,2,2,F,latvia,Lokomotive Daugavpils (Latvia),FK Saldus Broceni (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Liepajas Metalurgs,Skonto FC,1996-04-27,0,1,F,latvia,FK Liepajas Metalurgs (Latvia),Skonto FC (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Jurnieks Riga,Skonto FC Ii,1996-04-27,1,0,F,latvia,Jurnieks Riga (Latvia),Skonto FC Ii (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Riga,FC Dinaburg,1996-04-27,2,2,F,latvia,FK Riga (Latvia),FC Dinaburg (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Saldus Broceni,FK Riga,1996-05-04,0,0,F,latvia,FK Saldus Broceni (Latvia),FK Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC Ii,SK Blazma,1996-05-04,0,3,F,latvia,Skonto FC Ii (Latvia),SK Blazma (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Lokomotive Daugavpils,Skonto FC,1996-05-04,0,5,F,latvia,Lokomotive Daugavpils (Latvia),Skonto FC (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Liepajas Metalurgs,Jurnieks Riga,1996-05-04,4,0,F,latvia,FK Liepajas Metalurgs (Latvia),Jurnieks Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FC Dinaburg,FK Jelgava,1996-05-04,0,0,F,latvia,FC Dinaburg (Latvia),FK Jelgava (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
SK Blazma,FK Liepajas Metalurgs,1996-05-11,0,0,F,latvia,SK Blazma (Latvia),FK Liepajas Metalurgs (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Jelgava,Skonto FC Ii,1996-05-11,4,0,F,latvia,FK Jelgava (Latvia),Skonto FC Ii (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Jurnieks Riga,Lokomotive Daugavpils,1996-05-11,1,1,F,latvia,Jurnieks Riga (Latvia),Lokomotive Daugavpils (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FC Dinaburg,FK Saldus Broceni,1996-05-11,5,0,F,latvia,FC Dinaburg (Latvia),FK Saldus Broceni (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Riga,Skonto FC,1996-05-11,0,1,F,latvia,FK Riga (Latvia),Skonto FC (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Saldus Broceni,FK Jelgava,1996-05-18,0,2,F,latvia,FK Saldus Broceni (Latvia),FK Jelgava (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC,FC Dinaburg,1996-05-18,7,0,F,latvia,Skonto FC (Latvia),FC Dinaburg (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Lokomotive Daugavpils,SK Blazma,1996-05-18,1,0,F,latvia,Lokomotive Daugavpils (Latvia),SK Blazma (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Liepajas Metalurgs,Skonto FC Ii,1996-05-18,1,0,F,latvia,FK Liepajas Metalurgs (Latvia),Skonto FC Ii (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Jurnieks Riga,FK Riga,1996-05-18,0,3,F,latvia,Jurnieks Riga (Latvia),FK Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
SK Blazma,FK Riga,1996-05-25,0,2,F,latvia,SK Blazma (Latvia),FK Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Saldus Broceni,Skonto FC,1996-05-25,2,1,F,latvia,FK Saldus Broceni (Latvia),Skonto FC (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC Ii,Lokomotive Daugavpils,1996-05-25,1,0,F,latvia,Skonto FC Ii (Latvia),Lokomotive Daugavpils (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Liepajas Metalurgs,FK Jelgava,1996-05-25,1,2,F,latvia,FK Liepajas Metalurgs (Latvia),FK Jelgava (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FC Dinaburg,Jurnieks Riga,1996-05-25,2,0,F,latvia,FC Dinaburg (Latvia),Jurnieks Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Saldus Broceni,Skonto FC Ii,1996-06-01,2,1,F,latvia,FK Saldus Broceni (Latvia),Skonto FC Ii (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC,SK Blazma,1996-06-01,6,0,F,latvia,Skonto FC (Latvia),SK Blazma (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Jelgava,Jurnieks Riga,1996-06-01,2,0,F,latvia,FK Jelgava (Latvia),Jurnieks Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Lokomotive Daugavpils,FK Riga,1996-06-01,1,5,F,latvia,Lokomotive Daugavpils (Latvia),FK Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Liepajas Metalurgs,FC Dinaburg,1996-06-01,0,3,F,latvia,FK Liepajas Metalurgs (Latvia),FC Dinaburg (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
SK Blazma,FC Dinaburg,1996-06-05,0,1,F,latvia,SK Blazma (Latvia),FC Dinaburg (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Jelgava,Skonto FC,1996-06-05,0,0,F,latvia,FK Jelgava (Latvia),Skonto FC (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Lokomotive Daugavpils,FK Liepajas Metalurgs,1996-06-05,1,2,F,latvia,Lokomotive Daugavpils (Latvia),FK Liepajas Metalurgs (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Jurnieks Riga,FK Saldus Broceni,1996-06-05,0,0,F,latvia,Jurnieks Riga (Latvia),FK Saldus Broceni (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Riga,Skonto FC Ii,1996-06-05,3,0,F,latvia,FK Riga (Latvia),Skonto FC Ii (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Saldus Broceni,SK Blazma,1996-06-08,3,6,F,latvia,FK Saldus Broceni (Latvia),SK Blazma (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC,Jurnieks Riga,1996-06-08,5,0,F,latvia,Skonto FC (Latvia),Jurnieks Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Jelgava,Lokomotive Daugavpils,1996-06-08,2,1,F,latvia,FK Jelgava (Latvia),Lokomotive Daugavpils (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FC Dinaburg,Skonto FC Ii,1996-06-08,1,2,F,latvia,FC Dinaburg (Latvia),Skonto FC Ii (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Riga,FK Liepajas Metalurgs,1996-06-08,1,1,F,latvia,FK Riga (Latvia),FK Liepajas Metalurgs (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
SK Blazma,Skonto FC,1996-06-15,0,5,F,latvia,SK Blazma (Latvia),Skonto FC (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC Ii,FK Saldus Broceni,1996-06-15,2,2,F,latvia,Skonto FC Ii (Latvia),FK Saldus Broceni (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Jurnieks Riga,FK Jelgava,1996-06-15,4,4,F,latvia,Jurnieks Riga (Latvia),FK Jelgava (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FC Dinaburg,FK Liepajas Metalurgs,1996-06-15,1,1,F,latvia,FC Dinaburg (Latvia),FK Liepajas Metalurgs (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Riga,Lokomotive Daugavpils,1996-06-15,1,0,F,latvia,FK Riga (Latvia),Lokomotive Daugavpils (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
FK Saldus Broceni,FK Liepajas Metalurgs,1996-06-23,0,2,F,latvia,FK Saldus Broceni (Latvia),FK Liepajas Metalurgs (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC,Skonto FC Ii,1996-06-23,4,1,F,latvia,Skonto FC (Latvia),Skonto FC Ii (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Lokomotive Daugavpils,FC Dinaburg,1996-06-23,0,1,F,latvia,Lokomotive Daugavpils (Latvia),FC Dinaburg (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Jurnieks Riga,SK Blazma,1996-06-23,0,2,F,latvia,Jurnieks Riga (Latvia),SK Blazma (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
SK Blazma,FK Jelgava,1996-06-25,1,2,F,latvia,SK Blazma (Latvia),FK Jelgava (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
Skonto FC Ii,Jurnieks Riga,1996-06-25,1,1,F,latvia,Skonto FC Ii (Latvia),Jurnieks Riga (Latvia),latvia,latvia,LV,LV,Europe,Europe,Europe,national
