home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Ahli Bourj Rehal,Al Ahed,2001-12-16,2,3,F,lebanon,Al Ahli Bourj Rehal (Lebanon),Al Ahed (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Salam Zgharta,Homenetmen,2001-12-16,3,0,F,lebanon,Salam Zgharta (Lebanon),Homenetmen (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Homenetmen,Al Ansar Beirut,2001-12-16,0,1,F,lebanon,Homenetmen (Lebanon),Al Ansar Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Akhaa Ahli,Tadamon Sporting Club Tyre,2001-12-16,1,1,F,lebanon,Akhaa Ahli (Lebanon),Tadamon Sporting Club Tyre (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Racing Beirut,Shabab Al Sahel Beirut,2001-12-17,0,2,F,lebanon,Racing Beirut (Lebanon),Shabab Al Sahel Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ahley Saida,Safa Sporting Club Beirut,2001-12-17,1,3,F,lebanon,Al Ahley Saida (Lebanon),Safa Sporting Club Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Nejmeh,Al Hikma Beirut   Club Sportif La Sagesse,2001-12-17,4,5,F,lebanon,Al Nejmeh (Lebanon),Al Hikma Beirut   Club Sportif La Sagesse (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Hikma Beirut   Club Sportif La Sagesse,Al Ahli Bourj Rehal,2001-12-22,2,2,F,lebanon,Al Hikma Beirut   Club Sportif La Sagesse (Lebanon),Al Ahli Bourj Rehal (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Homenetmen,Safa Sporting Club Beirut,2001-12-22,1,1,F,lebanon,Homenetmen (Lebanon),Safa Sporting Club Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ahed,Racing Beirut,2001-12-22,1,1,F,lebanon,Al Ahed (Lebanon),Racing Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ansar Beirut,Shabab Al Sahel Beirut,2001-12-22,1,1,F,lebanon,Al Ansar Beirut (Lebanon),Shabab Al Sahel Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Akhaa Ahli,Salam Zgharta,2001-12-23,1,3,F,lebanon,Akhaa Ahli (Lebanon),Salam Zgharta (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Homenetmen,Al Nejmeh,2001-12-23,0,0,F,lebanon,Homenetmen (Lebanon),Al Nejmeh (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Tadamon Sporting Club Tyre,Al Ahley Saida,2001-12-23,3,0,F,lebanon,Tadamon Sporting Club Tyre (Lebanon),Al Ahley Saida (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Hikma Beirut   Club Sportif La Sagesse,Racing Beirut,2001-12-26,3,2,F,lebanon,Al Hikma Beirut   Club Sportif La Sagesse (Lebanon),Racing Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Shabab Al Sahel Beirut,Homenetmen,2001-12-26,1,0,F,lebanon,Shabab Al Sahel Beirut (Lebanon),Homenetmen (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ahed,Al Ansar Beirut,2001-12-26,1,1,F,lebanon,Al Ahed (Lebanon),Al Ansar Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Tadamon Sporting Club Tyre,Safa Sporting Club Beirut,2001-12-26,0,1,F,lebanon,Tadamon Sporting Club Tyre (Lebanon),Safa Sporting Club Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Salam Zgharta,Al Ahley Saida,2001-12-27,1,1,F,lebanon,Salam Zgharta (Lebanon),Al Ahley Saida (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Homenetmen,Al Ahli Bourj Rehal,2001-12-27,0,1,F,lebanon,Homenetmen (Lebanon),Al Ahli Bourj Rehal (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Nejmeh,Akhaa Ahli,2001-12-27,3,0,F,lebanon,Al Nejmeh (Lebanon),Akhaa Ahli (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Homenetmen,Racing Beirut,2001-12-29,1,1,F,lebanon,Homenetmen (Lebanon),Racing Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Shabab Al Sahel Beirut,Al Ahed,2001-12-29,1,1,F,lebanon,Shabab Al Sahel Beirut (Lebanon),Al Ahed (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ansar Beirut,Al Hikma Beirut   Club Sportif La Sagesse,2001-12-29,3,4,F,lebanon,Al Ansar Beirut (Lebanon),Al Hikma Beirut   Club Sportif La Sagesse (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ahley Saida,Al Nejmeh,2001-12-30,0,3,F,lebanon,Al Ahley Saida (Lebanon),Al Nejmeh (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Safa Sporting Club Beirut,Salam Zgharta,2001-12-30,1,3,F,lebanon,Safa Sporting Club Beirut (Lebanon),Salam Zgharta (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ahli Bourj Rehal,Akhaa Ahli,2001-12-30,1,0,F,lebanon,Al Ahli Bourj Rehal (Lebanon),Akhaa Ahli (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Homenetmen,Tadamon Sporting Club Tyre,2001-12-30,0,2,F,lebanon,Homenetmen (Lebanon),Tadamon Sporting Club Tyre (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ahli Bourj Rehal,Al Ahley Saida,2002-01-05,3,0,F,lebanon,Al Ahli Bourj Rehal (Lebanon),Al Ahley Saida (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Homenetmen,Al Ahed,2002-01-05,1,3,F,lebanon,Homenetmen (Lebanon),Al Ahed (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Nejmeh,Safa Sporting Club Beirut,2002-01-05,1,0,F,lebanon,Al Nejmeh (Lebanon),Safa Sporting Club Beirut (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Racing Beirut,Akhaa Ahli,2002-01-06,0,1,F,lebanon,Racing Beirut (Lebanon),Akhaa Ahli (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Salam Zgharta,Tadamon Sporting Club Tyre,2002-01-06,1,1,F,lebanon,Salam Zgharta (Lebanon),Tadamon Sporting Club Tyre (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Al Ansar Beirut,Homenetmen,2002-01-06,3,2,F,lebanon,Al Ansar Beirut (Lebanon),Homenetmen (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
Shabab Al Sahel Beirut,Al Hikma Beirut   Club Sportif La Sagesse,2002-01-06,2,0,F,lebanon,Shabab Al Sahel Beirut (Lebanon),Al Hikma Beirut   Club Sportif La Sagesse (Lebanon),lebanon,lebanon,LB,LB,Asia,Asia,Asia,national
