home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Linare FC,Lesotho Mounted Police Service FC,2007-09-01,0,2,F,lesotho,Linare FC (Lesotho),Lesotho Mounted Police Service FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Joy FC,Mphatlalatsane FC,2007-09-01,1,1,F,lesotho,Joy FC (Lesotho),Mphatlalatsane FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Matlama,Maseru Naughty Boys,2007-09-02,2,1,F,lesotho,Matlama (Lesotho),Maseru Naughty Boys (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Mazenod Swallows FC,Lesotho Defence Force,2007-09-02,0,2,F,lesotho,Mazenod Swallows FC (Lesotho),Lesotho Defence Force (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Majantja FC,Lerotholi Polytechnic FC,2007-09-02,1,1,F,lesotho,Majantja FC (Lesotho),Lerotholi Polytechnic FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Likhopo,Lesotho Rovers FC,2007-09-02,0,0,F,lesotho,Likhopo (Lesotho),Lesotho Rovers FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Arsenal FC,Lioli FC,2007-09-02,2,1,F,lesotho,Arsenal FC (Lebanon),Lioli FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Qalo,Matlama,2007-09-08,1,4,F,lesotho,Qalo (Lesotho),Matlama (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Maseru Naughty Boys,Mazenod Swallows FC,2007-09-08,1,0,F,lesotho,Maseru Naughty Boys (Lesotho),Mazenod Swallows FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Lesotho Mounted Police Service FC,Lesotho Defence Force,2007-09-08,1,3,F,lesotho,Lesotho Mounted Police Service FC (Lesotho),Lesotho Defence Force (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Lerotholi Polytechnic FC,Linare FC,2007-09-09,0,0,F,lesotho,Lerotholi Polytechnic FC (Lesotho),Linare FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Majantja FC,Lesotho Rovers FC,2007-09-09,2,0,F,lesotho,Majantja FC (Lesotho),Lesotho Rovers FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Likhopo,Joy FC,2007-09-09,0,0,F,lesotho,Likhopo (Lesotho),Joy FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Arsenal FC,Mphatlalatsane FC,2007-09-09,1,3,F,lesotho,Arsenal FC (Lebanon),Mphatlalatsane FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Lesotho Correctional Service Maseru,Lioli FC,2007-09-09,2,1,F,lesotho,Lesotho Correctional Service Maseru (Lesotho),Lioli FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Mazenod Swallows FC,Lesotho Mounted Police Service FC,2007-09-22,0,0,F,lesotho,Mazenod Swallows FC (Lesotho),Lesotho Mounted Police Service FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Lesotho Rovers FC,Lesotho Correctional Service Maseru,2007-09-22,0,2,F,lesotho,Lesotho Rovers FC (Lesotho),Lesotho Correctional Service Maseru (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Matlama,Lerotholi Polytechnic FC,2007-09-23,3,1,F,lesotho,Matlama (Lesotho),Lerotholi Polytechnic FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Lesotho Defence Force,Majantja FC,2007-09-23,4,1,F,lesotho,Lesotho Defence Force (Lesotho),Majantja FC (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
Maseru Naughty Boys,Likhopo,2007-09-23,1,0,F,lesotho,Maseru Naughty Boys (Lesotho),Likhopo (Lesotho),lesotho,lesotho,LS,LS,Africa,Africa,Africa,national
