home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Lprc Oilers,Mb Angels,2013-02-03,1,0,F,liberia,Lprc Oilers (Liberia),Mb Angels (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Nimba United,Gede  Sons,2013-02-03,1,0,F,liberia,Nimba United (Liberia),Gede  Sons (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Byc,Invincible Eleven,2013-02-03,0,0,F,liberia,Byc (Liberia),Invincible Eleven (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Jubilee,Fatu,2013-02-03,0,1,F,liberia,Jubilee (Liberia),Fatu (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
MC Breweries,Watanga,2013-02-03,1,1,F,liberia,MC Breweries (Liberia),Watanga (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Gede  Sons,Liberia Ship Corporate Registry FC,2013-02-06,1,1,F,liberia,Gede  Sons (Liberia),Liberia Ship Corporate Registry FC (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
MC Breweries,Fatu,2013-02-06,1,0,F,liberia,MC Breweries (Liberia),Fatu (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Nimba United,Watanga,2013-02-06,0,0,F,liberia,Nimba United (Liberia),Watanga (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
International Black Stars,Mb Angels,2013-02-06,2,0,F,liberia,International Black Stars (Liberia),Mb Angels (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Byc,Jubilee,2013-02-06,1,1,F,liberia,Byc (Liberia),Jubilee (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Lprc Oilers,Invincible Eleven,2013-02-06,2,1,F,liberia,Lprc Oilers (Liberia),Invincible Eleven (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Gede  Sons,Watanga,2013-02-09,3,1,F,liberia,Gede  Sons (Liberia),Watanga (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
International Black Stars,Invincible Eleven,2013-02-09,1,1,F,liberia,International Black Stars (Liberia),Invincible Eleven (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Nimba United,Fatu,2013-02-09,1,1,F,liberia,Nimba United (Liberia),Fatu (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Lprc Oilers,Jubilee,2013-02-09,2,2,F,liberia,Lprc Oilers (Liberia),Jubilee (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Liberia Ship Corporate Registry FC,Mb Angels,2013-02-09,4,1,F,liberia,Liberia Ship Corporate Registry FC (Liberia),Mb Angels (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
MC Breweries,Byc,2013-02-09,0,2,F,liberia,MC Breweries (Liberia),Byc (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Gede  Sons,Fatu,2013-02-13,0,2,F,liberia,Gede  Sons (Liberia),Fatu (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Nimba United,Byc,2013-02-13,1,0,F,liberia,Nimba United (Liberia),Byc (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Lprc Oilers,MC Breweries,2013-02-13,2,2,F,liberia,Lprc Oilers (Liberia),MC Breweries (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
International Black Stars,Jubilee,2013-02-13,1,0,F,liberia,International Black Stars (Liberia),Jubilee (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Watanga,Fatu,2013-02-20,0,0,F,liberia,Watanga (Liberia),Fatu (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Nimba United,Lprc Oilers,2013-02-20,0,0,F,liberia,Nimba United (Liberia),Lprc Oilers (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
International Black Stars,MC Breweries,2013-02-20,0,0,F,liberia,International Black Stars (Liberia),MC Breweries (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Mb Angels,Jubilee,2013-02-20,1,2,F,liberia,Mb Angels (Liberia),Jubilee (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Gede  Sons,Byc,2013-02-20,0,2,F,liberia,Gede  Sons (Liberia),Byc (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Liberia Ship Corporate Registry FC,International Black Stars,2013-02-26,0,1,F,liberia,Liberia Ship Corporate Registry FC (Liberia),International Black Stars (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Fatu,Liberia Ship Corporate Registry FC,2013-03-06,1,3,F,liberia,Fatu (Liberia),Liberia Ship Corporate Registry FC (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Invincible Eleven,Jubilee,2013-03-06,2,2,F,liberia,Invincible Eleven (Liberia),Jubilee (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Mb Angels,MC Breweries,2013-03-06,2,4,F,liberia,Mb Angels (Liberia),MC Breweries (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Watanga,Byc,2013-03-06,0,1,F,liberia,Watanga (Liberia),Byc (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Gede  Sons,Lprc Oilers,2013-03-06,1,1,F,liberia,Gede  Sons (Liberia),Lprc Oilers (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Fatu,Byc,2013-03-09,0,1,F,liberia,Fatu (Liberia),Byc (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Mb Angels,Nimba United,2013-03-09,0,0,F,liberia,Mb Angels (Liberia),Nimba United (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
Liberia Ship Corporate Registry FC,Jubilee,2013-03-09,3,1,F,liberia,Liberia Ship Corporate Registry FC (Liberia),Jubilee (Liberia),liberia,liberia,LR,LR,Africa,Africa,Africa,national
