home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Olympic Azzaweya,Al Madina,2001-09-07,0,2,F,libya,Olympic Azzaweya (Libya),Al Madina (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Wefaq,Al Tirsana,2001-09-07,5,1,F,libya,Wefaq (Libya),Al Tirsana (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Tahaddi,Al Mourouje,2001-09-07,6,2,F,libya,Al Tahaddi (Libya),Al Mourouje (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Hilal,Al Sawaed,2001-09-07,1,0,F,libya,Al Hilal (Libya),Al Sawaed (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Rafeeq,Al Ittihad Tripolis,2001-09-07,2,2,F,libya,Rafeeq (Libya),Al Ittihad Tripolis (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Akhdar,Al Nasser,2001-09-07,0,4,F,libya,Al Akhdar (Libya),Al Nasser (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Sowaihili,Al Thahra,2001-09-07,0,2,F,libya,Al Sowaihili (Libya),Al Thahra (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Almahalla,Al Ahli Tripoli,2001-09-07,1,2,F,libya,Almahalla (Libya),Al Ahli Tripoli (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Olympic Azzaweya,Almahalla,2001-09-21,1,0,F,libya,Olympic Azzaweya (Libya),Almahalla (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Sowaihili,Al Ahli Tripoli,2001-09-21,1,1,F,libya,Al Sowaihili (Libya),Al Ahli Tripoli (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Rafeeq,Al Thahra,2001-09-21,1,0,F,libya,Rafeeq (Libya),Al Thahra (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Tahaddi,Al Ittihad Tripolis,2001-09-21,1,0,F,libya,Al Tahaddi (Libya),Al Ittihad Tripolis (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Wefaq,Al Mourouje,2001-09-21,1,2,F,libya,Wefaq (Libya),Al Mourouje (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Tirsana,Al Sawaed,2001-09-21,1,3,F,libya,Al Tirsana (Libya),Al Sawaed (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Hilal,Al Nasser,2001-09-21,0,3,F,libya,Al Hilal (Libya),Al Nasser (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Akhdar,Al Madina,2001-09-21,1,0,F,libya,Al Akhdar (Libya),Al Madina (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Sowaihili,Olympic Azzaweya,2001-09-28,0,0,F,libya,Al Sowaihili (Libya),Olympic Azzaweya (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Rafeeq,Al Ahli Tripoli,2001-09-28,1,1,F,libya,Rafeeq (Libya),Al Ahli Tripoli (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Tahaddi,Al Thahra,2001-09-28,1,1,F,libya,Al Tahaddi (Libya),Al Thahra (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Mourouje,Al Ittihad Tripolis,2001-09-28,1,4,F,libya,Al Mourouje (Libya),Al Ittihad Tripolis (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Wefaq,Al Sawaed,2001-09-28,0,1,F,libya,Wefaq (Libya),Al Sawaed (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Tirsana,Al Nasser,2001-09-28,0,2,F,libya,Al Tirsana (Libya),Al Nasser (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Hilal,Al Madina,2001-09-28,1,1,F,libya,Al Hilal (Libya),Al Madina (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Akhdar,Almahalla,2001-09-28,3,3,F,libya,Al Akhdar (Libya),Almahalla (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Sowaihili,Al Akhdar,2001-10-12,1,0,F,libya,Al Sowaihili (Libya),Al Akhdar (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Rafeeq,Olympic Azzaweya,2001-10-12,0,0,F,libya,Rafeeq (Libya),Olympic Azzaweya (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Ahli Tripoli,Al Tahaddi,2001-10-12,2,2,F,libya,Al Ahli Tripoli (Libya),Al Tahaddi (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Thahra,Al Mourouje,2001-10-12,0,1,F,libya,Al Thahra (Libya),Al Mourouje (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Wefaq,Al Ittihad Tripolis,2001-10-12,1,2,F,libya,Wefaq (Libya),Al Ittihad Tripolis (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Sawaed,Al Nasser,2001-10-12,1,2,F,libya,Al Sawaed (Libya),Al Nasser (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Tirsana,Al Madina,2001-10-12,1,2,F,libya,Al Tirsana (Libya),Al Madina (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Almahalla,Al Hilal,2001-10-12,1,3,F,libya,Almahalla (Libya),Al Hilal (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Akhdar,Rafeeq,2001-10-19,1,2,F,libya,Al Akhdar (Libya),Rafeeq (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Tahaddi,Olympic Azzaweya,2001-10-19,2,0,F,libya,Al Tahaddi (Libya),Olympic Azzaweya (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Mourouje,Al Ahli Tripoli,2001-10-19,1,0,F,libya,Al Mourouje (Libya),Al Ahli Tripoli (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
Al Ittihad Tripolis,Al Thahra,2001-10-19,2,1,F,libya,Al Ittihad Tripolis (Libya),Al Thahra (Libya),libya,libya,LY,LY,Africa,Africa,Africa,national
