home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FC Triesenberg,Usv Eschen Mauren Ii,2006-10-17,0,1,F,liechtenstein,FC Triesenberg (Liechtenstein),Usv Eschen Mauren Ii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan Azzurri,FC Ruggell,2006-10-17,2,3,F,liechtenstein,FC Schaan Azzurri (Liechtenstein),FC Ruggell (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan,FC Vaduz,2006-10-18,0,6,F,liechtenstein,FC Schaan (Liechtenstein),FC Vaduz (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Balzers,Usv Eschen Mauren,2006-11-18,2,3,F,liechtenstein,FC Balzers (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Usv Eschen Mauren Ii,FC Ruggell,2007-04-07,0,2,F,liechtenstein,Usv Eschen Mauren Ii (Liechtenstein),FC Ruggell (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Usv Eschen Mauren,FC Vaduz,2007-04-11,1,3,F,liechtenstein,Usv Eschen Mauren (Liechtenstein),FC Vaduz (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz,FC Ruggell,2007-05-01,8,0,F,liechtenstein,FC Vaduz (Liechtenstein),FC Ruggell (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan Azzurri,FC Vaduz,2007-10-23,0,5,F,liechtenstein,FC Schaan Azzurri (Liechtenstein),FC Vaduz (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan,Usv Eschen Mauren,2007-10-31,1,4,F,liechtenstein,FC Schaan (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Ruggell,FC Balzers Ii,2007-10-31,1,0,F,liechtenstein,FC Ruggell (Liechtenstein),FC Balzers Ii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Usv Eschen Mauren Ii,FC Balzers,2007-11-07,0,8,F,liechtenstein,Usv Eschen Mauren Ii (Liechtenstein),FC Balzers (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Ruggell,FC Vaduz,2008-04-01,0,9,F,liechtenstein,FC Ruggell (Liechtenstein),FC Vaduz (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Usv Eschen Mauren,FC Balzers,2008-04-02,0,0,P,liechtenstein,Usv Eschen Mauren (Liechtenstein),FC Balzers (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz,FC Balzers,2008-05-01,4,0,F,liechtenstein,FC Vaduz (Liechtenstein),FC Balzers (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Ruggell,Usv Eschen Mauren,2008-10-21,0,5,F,liechtenstein,FC Ruggell (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Balzers Ii,FC Vaduz,2008-10-22,0,8,F,liechtenstein,FC Balzers Ii (Liechtenstein),FC Vaduz (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan Azzurri,FC Balzers,2008-10-28,0,1,F,liechtenstein,FC Schaan Azzurri (Liechtenstein),FC Balzers (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz Ii,FC Schaan,2008-10-29,0,8,F,liechtenstein,FC Vaduz Ii (Liechtenstein),FC Schaan (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan,Usv Eschen Mauren,2009-04-28,0,5,F,liechtenstein,FC Schaan (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz,FC Balzers,2009-04-29,5,0,F,liechtenstein,FC Vaduz (Liechtenstein),FC Balzers (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz,Usv Eschen Mauren,2009-05-21,2,1,F,liechtenstein,FC Vaduz (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan Azzurri,FC Triesenberg I,2009-09-15,0,3,F,liechtenstein,FC Schaan Azzurri (Liechtenstein),FC Triesenberg I (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Triesen Ii,FC Balzers Ii,2009-09-15,0,3,F,liechtenstein,FC Triesen Ii (Liechtenstein),FC Balzers Ii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz Ii,FC Ruggell,2009-09-16,1,9,F,liechtenstein,FC Vaduz Ii (Liechtenstein),FC Ruggell (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Balzers Iii,Usv Eschen Mauren Ii,2009-09-23,0,6,F,liechtenstein,FC Balzers Iii (Liechtenstein),Usv Eschen Mauren Ii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Balzers Ii,FC Vaduz,2009-10-20,0,8,F,liechtenstein,FC Balzers Ii (Liechtenstein),FC Vaduz (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Usv Eschen Mauren Ii,FC Schaan,2009-10-21,1,0,F,liechtenstein,Usv Eschen Mauren Ii (Liechtenstein),FC Schaan (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Ruggell,FC Balzers,2009-10-27,2,4,F,liechtenstein,FC Ruggell (Liechtenstein),FC Balzers (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Triesenberg I,Usv Eschen Mauren,2009-10-28,0,3,F,liechtenstein,FC Triesenberg I (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Usv Eschen Mauren Ii,Usv Eschen Mauren,2010-04-06,2,6,F,liechtenstein,Usv Eschen Mauren Ii (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Balzers,FC Vaduz,2010-04-06,0,4,F,liechtenstein,FC Balzers (Liechtenstein),FC Vaduz (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz,Usv Eschen Mauren,2010-05-13,1,1,P,liechtenstein,FC Vaduz (Liechtenstein),Usv Eschen Mauren (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Eschen Mauren  Iii,FC Triesenberg,2010-08-17,5,1,F,liechtenstein,Eschen Mauren  Iii (Liechtenstein),FC Triesenberg (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Balzers Iii,FC Ruggel Ii,2010-08-17,4,2,F,liechtenstein,FC Balzers Iii (Liechtenstein),FC Ruggel Ii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Vaduz Ii,FC Triesen Ii,2010-08-17,1,3,F,liechtenstein,FC Vaduz Ii (Liechtenstein),FC Triesen Ii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Vaduz Iii,FC Triesen,2010-08-18,0,5,F,liechtenstein,Vaduz Iii (Liechtenstein),FC Triesen (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan Azzurri,FC Balzers Ii,2010-08-18,5,2,F,liechtenstein,FC Schaan Azzurri (Liechtenstein),FC Balzers Ii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Schaan Azzurri,FC Ruggell,2010-09-14,1,2,F,liechtenstein,FC Schaan Azzurri (Liechtenstein),FC Ruggell (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
FC Triesen Ii,FC Balzers Iii,2010-09-14,1,4,F,liechtenstein,FC Triesen Ii (Liechtenstein),FC Balzers Iii (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
Eschen Mauren  Iii,FC Triesen,2010-09-15,1,4,F,liechtenstein,Eschen Mauren  Iii (Liechtenstein),FC Triesen (Liechtenstein),liechtenstein,liechtenstein,LI,LI,Europe,Europe,Europe,national
