home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK Zalgiris,Alytis Alytus,1991-08-16,1,0,F,lithuania,FK Zalgiris (Lithuania),Alytis Alytus (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
Banga Gargzdai,FK Mazeikiai,1991-08-16,0,0,F,lithuania,Banga Gargzdai (Lithuania),FK Mazeikiai (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Ekranas,SM Vienybe Ukmerge,1991-08-16,4,1,F,lithuania,FK Ekranas (Lithuania),SM Vienybe Ukmerge (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
JR Klaipeda,FK Tauras Taurage,1991-08-16,1,1,F,lithuania,JR Klaipeda (Lithuania),FK Tauras Taurage (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Atlantas,FK Panerys Vilnius,1991-08-17,2,1,F,lithuania,FK Atlantas (Lithuania),FK Panerys Vilnius (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
Inkaras Kaunas,FK Siauliai,1991-08-17,2,0,F,lithuania,Inkaras Kaunas (Lithuania),FK Siauliai (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
AFK Neris Vilnius,FK Tauras Taurage,1991-08-17,3,0,F,lithuania,AFK Neris Vilnius (Lithuania),FK Tauras Taurage (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Mazeikiai,FK Ekranas,1991-08-23,1,1,F,lithuania,FK Mazeikiai (Lithuania),FK Ekranas (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Tauras Taurage,Banga Gargzdai,1991-08-23,0,2,F,lithuania,FK Tauras Taurage (Lithuania),Banga Gargzdai (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
SM Vienybe Ukmerge,JR Klaipeda,1991-08-23,0,0,F,lithuania,SM Vienybe Ukmerge (Lithuania),JR Klaipeda (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Zalgiris,AFK Neris Vilnius,1991-08-24,0,0,F,lithuania,FK Zalgiris (Lithuania),AFK Neris Vilnius (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Tauras Taurage,Inkaras Kaunas,1991-08-24,1,0,F,lithuania,FK Tauras Taurage (Lithuania),Inkaras Kaunas (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Siauliai,FK Atlantas,1991-08-24,0,0,F,lithuania,FK Siauliai (Lithuania),FK Atlantas (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
Alytis Alytus,FK Panerys Vilnius,1991-08-24,1,1,F,lithuania,Alytis Alytus (Lithuania),FK Panerys Vilnius (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
Banga Gargzdai,FK Zalgiris,1991-08-30,1,2,F,lithuania,Banga Gargzdai (Lithuania),FK Zalgiris (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Ekranas,FK Tauras Taurage,1991-08-30,2,0,F,lithuania,FK Ekranas (Lithuania),FK Tauras Taurage (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
AFK Neris Vilnius,Alytis Alytus,1991-08-30,1,1,F,lithuania,AFK Neris Vilnius (Lithuania),Alytis Alytus (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
JR Klaipeda,FK Mazeikiai,1991-08-30,4,0,F,lithuania,JR Klaipeda (Lithuania),FK Mazeikiai (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Atlantas,FK Tauras Taurage,1991-08-31,2,0,F,lithuania,FK Atlantas (Lithuania),FK Tauras Taurage (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
Inkaras Kaunas,SM Vienybe Ukmerge,1991-08-31,1,0,F,lithuania,Inkaras Kaunas (Lithuania),SM Vienybe Ukmerge (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Panerys Vilnius,FK Siauliai,1991-08-31,4,1,F,lithuania,FK Panerys Vilnius (Lithuania),FK Siauliai (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Zalgiris,FK Ekranas,1991-09-06,0,1,F,lithuania,FK Zalgiris (Lithuania),FK Ekranas (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Tauras Taurage,FK Panerys Vilnius,1991-09-07,0,3,F,lithuania,FK Tauras Taurage (Lithuania),FK Panerys Vilnius (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
AFK Neris Vilnius,Banga Gargzdai,1991-09-07,2,2,F,lithuania,AFK Neris Vilnius (Lithuania),Banga Gargzdai (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Mazeikiai,Inkaras Kaunas,1991-09-07,2,1,F,lithuania,FK Mazeikiai (Lithuania),Inkaras Kaunas (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Siauliai,Alytis Alytus,1991-09-07,0,0,F,lithuania,FK Siauliai (Lithuania),Alytis Alytus (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
FK Tauras Taurage,JR Klaipeda,1991-09-07,1,4,F,lithuania,FK Tauras Taurage (Lithuania),JR Klaipeda (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
SM Vienybe Ukmerge,FK Atlantas,1991-09-07,1,1,F,lithuania,SM Vienybe Ukmerge (Lithuania),FK Atlantas (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
Banga Gargzdai,Alytis Alytus,1991-09-14,3,1,F,lithuania,Banga Gargzdai (Lithuania),Alytis Alytus (Lithuania),lithuania,lithuania,LT,LT,Europe,Europe,Europe,national
