home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Union Luxembourg,Avenir Beggen,2000-08-12,1,1,F,luxembourg,Union Luxembourg (Luxembourg),Avenir Beggen (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
F91 Dudelange,FC Wiltz 71,2000-08-13,2,0,F,luxembourg,F91 Dudelange (Luxembourg),FC Wiltz 71 (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
CS Hobscheid,Etzella Ettelbruck,2000-08-13,1,3,F,luxembourg,CS Hobscheid (Luxembourg),Etzella Ettelbruck (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
FC Sporting Mertzig,Jeunesse Esch,2000-08-13,4,0,F,luxembourg,FC Sporting Mertzig (Luxembourg),Jeunesse Esch (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
FC Mondercange,US Rumelange,2000-08-13,2,1,F,luxembourg,FC Mondercange (Luxembourg),US Rumelange (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
FC Rodange 91,CS Grevenmacher,2000-08-13,0,3,F,luxembourg,FC Rodange 91 (Luxembourg),CS Grevenmacher (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
Jeunesse Esch,Union Luxembourg,2000-08-19,1,1,F,luxembourg,Jeunesse Esch (Luxembourg),Union Luxembourg (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
FC Wiltz 71,Etzella Ettelbruck,2000-08-19,1,2,F,luxembourg,FC Wiltz 71 (Luxembourg),Etzella Ettelbruck (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
Avenir Beggen,FC Rodange 91,2000-08-20,0,1,F,luxembourg,Avenir Beggen (Luxembourg),FC Rodange 91 (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
F91 Dudelange,FC Mondercange,2000-08-20,4,1,F,luxembourg,F91 Dudelange (Luxembourg),FC Mondercange (Luxembourg),luxembourg,luxembourg,LU,LU,Europe,Europe,Europe,national
