home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Cd Alfandega,Va Luen,2005-01-04,2,2,F,macao,Cd Alfandega (Macao),Va Luen (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Monte Carlo,Heng Tai,2005-01-04,4,2,F,macao,Monte Carlo (Macao),Heng Tai (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Kuan Tai,Policia De Seguranca Publica,2005-01-07,0,3,F,macao,Kuan Tai (Macao),Policia De Seguranca Publica (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Lam Pak,Kei Lun,2005-01-07,2,0,F,macao,Lam Pak (Macao),Kei Lun (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Monte Carlo,Va Luen,2005-01-11,1,2,F,macao,Monte Carlo (Macao),Va Luen (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Kuan Tai,Cd Alfandega,2005-01-11,1,2,F,macao,Kuan Tai (Macao),Cd Alfandega (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Kei Lun,Policia De Seguranca Publica,2005-01-14,0,7,F,macao,Kei Lun (Macao),Policia De Seguranca Publica (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Lam Pak,Heng Tai,2005-01-14,2,0,F,macao,Lam Pak (Macao),Heng Tai (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Lam Pak,Monte Carlo,2005-01-18,2,2,F,macao,Lam Pak (Macao),Monte Carlo (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Kei Lun,Cd Alfandega,2005-01-18,0,3,F,macao,Kei Lun (Macao),Cd Alfandega (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
Kuan Tai,Va Luen,2005-01-21,2,2,F,macao,Kuan Tai (Macao),Va Luen (Macao),macao,macao,MO,MO,Asia,Asia,Asia,national
