home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK Pobeda,FK Balkan,1997-08-10,3,0,F,macedonia-fyr,FK Pobeda (Macedonia Fyr),FK Balkan (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Sloga Jugomagnat,Sileks Kratovo,1997-08-10,2,1,F,macedonia-fyr,FK Sloga Jugomagnat (Macedonia Fyr),Sileks Kratovo (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
Vardar SKopje,FK Belasica,1997-08-10,2,0,F,macedonia-fyr,Vardar SKopje (Macedonia Fyr),FK Belasica (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Makedonija SKopje,FK Borec Mhk,1997-08-10,0,3,F,macedonia-fyr,FK Makedonija SKopje (Macedonia Fyr),FK Borec Mhk (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK SKopje,Cementarnica SKopje,1997-08-10,3,0,F,macedonia-fyr,FK SKopje (Macedonia Fyr),Cementarnica SKopje (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Bregalnica Delcevo,FK Pelister,1997-08-10,0,2,F,macedonia-fyr,FK Bregalnica Delcevo (Macedonia Fyr),FK Pelister (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Sasa,FK Tikves,1997-08-10,1,1,F,macedonia-fyr,FK Sasa (Macedonia Fyr),FK Tikves (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
Cementarnica SKopje,FK Borec Mhk,1997-08-24,3,0,F,macedonia-fyr,Cementarnica SKopje (Macedonia Fyr),FK Borec Mhk (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
Sileks Kratovo,FK SKopje,1997-08-24,2,3,F,macedonia-fyr,Sileks Kratovo (Macedonia Fyr),FK SKopje (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Tikves,FK Belasica,1997-08-24,0,0,F,macedonia-fyr,FK Tikves (Macedonia Fyr),FK Belasica (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Pelister,FK Pobeda,1997-08-24,2,0,F,macedonia-fyr,FK Pelister (Macedonia Fyr),FK Pobeda (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Makedonija SKopje,FK Bregalnica Delcevo,1997-08-24,6,0,F,macedonia-fyr,FK Makedonija SKopje (Macedonia Fyr),FK Bregalnica Delcevo (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Balkan,Vardar SKopje,1997-08-24,0,1,F,macedonia-fyr,FK Balkan (Macedonia Fyr),Vardar SKopje (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Sasa,FK Sloga Jugomagnat,1997-08-24,1,0,F,macedonia-fyr,FK Sasa (Macedonia Fyr),FK Sloga Jugomagnat (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Belasica,FK Balkan,1997-08-31,0,0,F,macedonia-fyr,FK Belasica (Macedonia Fyr),FK Balkan (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Pobeda,FK Makedonija SKopje,1997-08-31,1,0,F,macedonia-fyr,FK Pobeda (Macedonia Fyr),FK Makedonija SKopje (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
Sileks Kratovo,FK Borec Mhk,1997-08-31,2,0,F,macedonia-fyr,Sileks Kratovo (Macedonia Fyr),FK Borec Mhk (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Sloga Jugomagnat,FK Tikves,1997-08-31,0,0,F,macedonia-fyr,FK Sloga Jugomagnat (Macedonia Fyr),FK Tikves (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
Vardar SKopje,FK Pelister,1997-08-31,1,1,F,macedonia-fyr,Vardar SKopje (Macedonia Fyr),FK Pelister (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK SKopje,FK Sasa,1997-08-31,4,1,F,macedonia-fyr,FK SKopje (Macedonia Fyr),FK Sasa (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
FK Bregalnica Delcevo,Cementarnica SKopje,1997-08-31,1,2,F,macedonia-fyr,FK Bregalnica Delcevo (Macedonia Fyr),Cementarnica SKopje (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
Cementarnica SKopje,FK Pobeda,1997-09-13,0,2,F,macedonia-fyr,Cementarnica SKopje (Macedonia Fyr),FK Pobeda (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
Sileks Kratovo,FK Bregalnica Delcevo,1997-09-13,2,1,F,macedonia-fyr,Sileks Kratovo (Macedonia Fyr),FK Bregalnica Delcevo (Macedonia Fyr),macedonia-fyr,macedonia-fyr,MAC,MAC,Europe,Europe,Europe,national
