home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ascum De Boeny,Herita Antsohihy,2010-09-15,1,1,F,madagascar,Ascum De Boeny (Madagascar),Herita Antsohihy (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
FC Mania Ambositra,AS Jirama Fianarantsoa,2010-09-15,0,2,F,madagascar,FC Mania Ambositra (Madagascar),AS Jirama Fianarantsoa (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Fils Elephant Fort Dauphin,3fb Toliara,2010-09-15,0,2,F,madagascar,Fils Elephant Fort Dauphin (Madagascar),3fb Toliara (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Racing Club Nosy Be,FC Joel Sava,2010-09-15,2,0,F,madagascar,Racing Club Nosy Be (Madagascar),FC Joel Sava (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Herita Antsohihy,Racing Club Nosy Be,2010-09-17,1,2,F,madagascar,Herita Antsohihy (Madagascar),Racing Club Nosy Be (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Ajsm Melaky,Tana FC Formation,2010-09-17,2,1,F,madagascar,Ajsm Melaky (Madagascar),Tana FC Formation (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Academie Ny Antsika,FC Grand Olympique De Menabe,2010-09-17,6,0,F,madagascar,Academie Ny Antsika (Madagascar),FC Grand Olympique De Menabe (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
FC Real Vatovavy Fitovinany,AS Jirama Fianarantsoa,2010-09-17,0,3,F,madagascar,FC Real Vatovavy Fitovinany (Madagascar),AS Jirama Fianarantsoa (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
FC Ilakaka,Fils Elephant Fort Dauphin,2010-09-17,1,0,F,madagascar,FC Ilakaka (Madagascar),Fils Elephant Fort Dauphin (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
AS Fortior Toamasina,FC Esperance Vavatenina,2010-09-17,2,0,F,madagascar,AS Fortior Toamasina (Madagascar),FC Esperance Vavatenina (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Ascum De Boeny,FC Joel Sava,2010-09-17,0,1,F,madagascar,Ascum De Boeny (Madagascar),FC Joel Sava (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Bongolava Amitie Sportif Tsiroanomamandidy,Cnaps Sport,2010-09-17,0,4,F,madagascar,Bongolava Amitie Sportif Tsiroanomamandidy (Madagascar),Cnaps Sport (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Japan Actuels FC,FC Maeva De Betsiboka,2010-09-17,3,0,F,madagascar,Japan Actuels FC (Madagascar),FC Maeva De Betsiboka (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Voromaherinalaotra,As Adema,2010-09-17,0,0,F,madagascar,Voromaherinalaotra (Madagascar),As Adema (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
FC Joel Sava,Herita Antsohihy,2010-09-19,2,2,F,madagascar,FC Joel Sava (Madagascar),Herita Antsohihy (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Bongolava Amitie Sportif Tsiroanomamandidy,Tana FC Formation,2010-09-19,1,1,F,madagascar,Bongolava Amitie Sportif Tsiroanomamandidy (Madagascar),Tana FC Formation (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
FC Grand Olympique De Menabe,Japan Actuels FC,2010-09-19,0,3,F,madagascar,FC Grand Olympique De Menabe (Madagascar),Japan Actuels FC (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
FC Real Vatovavy Fitovinany,FC Mania Ambositra,2010-09-19,1,0,F,madagascar,FC Real Vatovavy Fitovinany (Madagascar),FC Mania Ambositra (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
FC Ilakaka,3fb Toliara,2010-09-19,0,0,F,madagascar,FC Ilakaka (Madagascar),3fb Toliara (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
As Adema,AS Fortior Toamasina,2010-09-19,1,1,F,madagascar,As Adema (Madagascar),AS Fortior Toamasina (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Ascum De Boeny,Racing Club Nosy Be,2010-09-19,2,0,F,madagascar,Ascum De Boeny (Madagascar),Racing Club Nosy Be (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Cnaps Sport,Ajsm Melaky,2010-09-19,2,0,F,madagascar,Cnaps Sport (Madagascar),Ajsm Melaky (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
Academie Ny Antsika,FC Maeva De Betsiboka,2010-09-19,6,0,F,madagascar,Academie Ny Antsika (Madagascar),FC Maeva De Betsiboka (Madagascar),madagascar,madagascar,MG,MG,Africa,Africa,Africa,national
