home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Cobbe Barracks,Red Lions FC,2006-04-30,0,2,F,malawi,Cobbe Barracks (Malawi),Red Lions FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Nchalo United,Tigers FC,2006-04-30,1,2,F,malawi,Nchalo United (Malawi),Tigers FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Red Lions FC,Mtl Wanderers,2006-05-01,2,1,F,malawi,Red Lions FC (Malawi),Mtl Wanderers (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Big Bullets FC,Escom United,2006-05-01,2,0,F,malawi,Big Bullets FC (Malawi),Escom United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Moyale Barracks FC,Mzuzu,2006-05-01,1,0,F,malawi,Moyale Barracks FC (Malawi),Mzuzu (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Nchalo United,Sammys United,2006-05-01,2,1,F,malawi,Nchalo United (Malawi),Sammys United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Eagle Beaks,Silver Strikers FC,2006-05-01,2,3,F,malawi,Eagle Beaks (Malawi),Silver Strikers FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Dwangwa United,Civo United,2006-05-01,0,0,F,malawi,Dwangwa United (Malawi),Civo United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Blue Eagles FC,Big Bullets FC,2006-05-06,0,1,F,malawi,Blue Eagles FC (Malawi),Big Bullets FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Moyale Barracks FC,Sammys United,2006-05-06,2,2,F,malawi,Moyale Barracks FC (Malawi),Sammys United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Civo United,Cobbe Barracks,2006-05-06,1,0,F,malawi,Civo United (Malawi),Cobbe Barracks (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Red Lions FC,Nchalo United,2006-05-06,1,0,F,malawi,Red Lions FC (Malawi),Nchalo United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Tigers FC,Escom United,2006-05-06,0,1,F,malawi,Tigers FC (Malawi),Escom United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Dwangwa United,Silver Strikers FC,2006-05-06,1,1,F,malawi,Dwangwa United (Malawi),Silver Strikers FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Tigers FC,Mtl Wanderers,2006-05-07,0,3,F,malawi,Tigers FC (Malawi),Mtl Wanderers (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Eagle Beaks,Big Bullets FC,2006-05-07,0,1,F,malawi,Eagle Beaks (Malawi),Big Bullets FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Mzuzu,Sammys United,2006-05-07,1,0,F,malawi,Mzuzu (Malawi),Sammys United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Silver Strikers FC,Cobbe Barracks,2006-05-07,1,0,F,malawi,Silver Strikers FC (Malawi),Cobbe Barracks (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Escom United,Red Lions FC,2006-05-07,2,0,F,malawi,Escom United (Malawi),Red Lions FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Big Bullets FC,Civo United,2006-05-13,1,1,F,malawi,Big Bullets FC (Malawi),Civo United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Escom United,Eagle Beaks,2006-05-13,3,0,F,malawi,Escom United (Malawi),Eagle Beaks (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Nchalo United,Dwangwa United,2006-05-13,2,1,F,malawi,Nchalo United (Malawi),Dwangwa United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Silver Strikers FC,Mzuzu,2006-05-13,3,0,F,malawi,Silver Strikers FC (Malawi),Mzuzu (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Blue Eagles FC,Moyale Barracks FC,2006-05-13,1,0,F,malawi,Blue Eagles FC (Malawi),Moyale Barracks FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Cobbe Barracks,Dwangwa United,2006-05-14,2,1,F,malawi,Cobbe Barracks (Malawi),Dwangwa United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Red Lions FC,Eagle Beaks,2006-05-14,3,0,F,malawi,Red Lions FC (Malawi),Eagle Beaks (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Sammys United,Civo United,2006-05-14,2,2,F,malawi,Sammys United (Malawi),Civo United (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Nchalo United,Mtl Wanderers,2006-05-14,1,3,F,malawi,Nchalo United (Malawi),Mtl Wanderers (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Blue Eagles FC,Mzuzu,2006-05-14,0,0,F,malawi,Blue Eagles FC (Malawi),Mzuzu (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Civo United,Silver Strikers FC,2006-05-20,0,1,F,malawi,Civo United (Malawi),Silver Strikers FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Mtl Wanderers,Cobbe Barracks,2006-05-20,5,2,F,malawi,Mtl Wanderers (Malawi),Cobbe Barracks (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Mzuzu,Big Bullets FC,2006-05-20,0,1,F,malawi,Mzuzu (Malawi),Big Bullets FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
Tigers FC,Blue Eagles FC,2006-05-20,0,0,F,malawi,Tigers FC (Malawi),Blue Eagles FC (Malawi),malawi,malawi,MW,MW,Africa,Africa,Africa,national
